"Name","ISOCode","Type"
"Andhra Pradesh","AP","S"
"Arunachal Pradesh","AR","S"
"Assam","AS","S"
"Bihar","BR","S"
"Chhattisgarh","CT","S"
"Goa","GA","S"
"Gujarat","GJ","S"
"Haryana","HR","S"
"Himachal Pradesh","HP","S"
"Jammu and Kashmir","JK","S"
"Jharkhand","JH","S"
"Karnataka","KA","S"
"Kerala","KL","S"
"Madhya Pradesh","MP","S"
"Maharashtra","MH","S"
"Manipur","MN","S"
"Meghalaya","ML","S"
"Mizoram","MZ","S"
"Nagaland","NL","S"
"Odisha","OR","S"
"Punjab","PB","S"
"Rajasthan","RJ","S"
"Sikkim","SK","S"
"Tamil Nadu","TN","S"
"Telangana","TG","S"
"Tripura","TR","S"
"Uttar Pradesh","UP","S"
"Uttarakhand","UT","S"
"West Bengal","WB","S"
"Andaman and Nicobar Islands","AN","U"
"Chandigarh","CH","U"
"Dadra and Nagar Haveli","DN","U"
"Daman and Diu","DD","U"
"Lakshadweep","LD","U"
"National Capital Territory of Delhi","DL","U"
"Puducherry","PY","U"
