,Sno_df1,Candidate_df1,Constituency _df1,Party_df1,Criminal Case_df1,Education_df1,Total Assets_df1,Liabilities_df1,id_df2,name_df2,person_name_df2,designation_df2
0,4,harin pathak,Ahmedabad,BJP,1,Graduate Professional,"Rs 1,02,87,931
~ 1 Crore+","Rs 0
~",14852,ABG Shipyard Ltd,arun phatak,Executive Director
1,4,harin pathak,Ahmedabad,BJP,1,Graduate Professional,"Rs 1,02,87,931
~ 1 Crore+","Rs 0
~",14852,ABG Shipyard Ltd,arun phatak,Addi.Direct.& Executive Direc
2,9,bijendra singh,Aligarh,INC,0,Graduate,"Rs 28,92,600
~ 28 Lacs+","Rs 0
~",23875,Shree Renuka Sugars Ltd,vijendra singh,WTD & Additional Director
3,9,bijendra singh,Aligarh,INC,0,Graduate,"Rs 28,92,600
~ 28 Lacs+","Rs 0
~",24711,Kudos Chemie Ltd,jitendra singh,Managing Director
4,9,bijendra singh,Aligarh,INC,0,Graduate,"Rs 28,92,600
~ 28 Lacs+","Rs 0
~",25350,National Agricultural Co-Op Mktg Fedn of India,bijender singh,Director
5,13,karan singh yadav,Alwar,INC,0,Post Graduate,"Rs 40,23,529
~ 40 Lacs+","Rs 10,22,864
~ 10 Lacs+",24955,Indiabulls Financial Services Ltd,karan singh,Director
6,29,kanti singh,Arrah,RJD,0,Graduate,"Rs 1,16,02,840
~ 1 Crore+","Rs 33,797
~ 33 Thou+",2970,Trident Ltd,kavita singh,Director
7,29,kanti singh,Arrah,RJD,0,Graduate,"Rs 1,16,02,840
~ 1 Crore+","Rs 33,797
~ 33 Thou+",13869,THDC India Ltd,manjit singh,Nominee (Govt)
8,29,kanti singh,Arrah,RJD,0,Graduate,"Rs 1,16,02,840
~ 1 Crore+","Rs 33,797
~ 33 Thou+",20631,Dish TV India Ltd,ranjit singh,Company Secretary
9,29,kanti singh,Arrah,RJD,0,Graduate,"Rs 1,16,02,840
~ 1 Crore+","Rs 33,797
~ 33 Thou+",247,Hindustan Motors Ltd,kranti sinha,Director
10,29,kanti singh,Arrah,RJD,0,Graduate,"Rs 1,16,02,840
~ 1 Crore+","Rs 33,797
~ 33 Thou+",1056,Polyplex Corporation Ltd,ranjit singh,Whole Time Director & COO
11,29,kanti singh,Arrah,RJD,0,Graduate,"Rs 1,16,02,840
~ 1 Crore+","Rs 33,797
~ 33 Thou+",23296,India Infoline Ltd,kranti sinha,Director
12,34,nikhil kumar,Aurangabad,INC,0,Post Graduate,"Rs 7,44,89,984
~ 7 Crore+","Rs 12,20,000
~ 12 Lacs+",5056,Relaxo Footwears Ltd,nikhil dua,Whole-time Director
13,41,ajit singh,Baghpat,RLD,0,Post Graduate,"Rs 1,34,23,683
~ 1 Crore+","Rs 14,56,567
~ 14 Lacs+",237,Hero MotoCorp Ltd,analjit singh,Director
14,41,ajit singh,Baghpat,RLD,0,Post Graduate,"Rs 1,34,23,683
~ 1 Crore+","Rs 14,56,567
~ 14 Lacs+",557,Tata Global Beverages Ltd,analjit singh,Director
15,41,ajit singh,Baghpat,RLD,0,Post Graduate,"Rs 1,34,23,683
~ 1 Crore+","Rs 14,56,567
~ 14 Lacs+",2966,Motherson Sumi Systems Ltd,amarjit singh,Director
16,41,ajit singh,Baghpat,RLD,0,Post Graduate,"Rs 1,34,23,683
~ 1 Crore+","Rs 14,56,567
~ 14 Lacs+",2970,Trident Ltd,kavita singh,Director
17,41,ajit singh,Baghpat,RLD,0,Post Graduate,"Rs 1,34,23,683
~ 1 Crore+","Rs 14,56,567
~ 14 Lacs+",3392,Dabur India Ltd,analjit singh,Director
18,41,ajit singh,Baghpat,RLD,0,Post Graduate,"Rs 1,34,23,683
~ 1 Crore+","Rs 14,56,567
~ 14 Lacs+",6890,DLF Ltd,rajiv singh,Vice Chairman
19,41,ajit singh,Baghpat,RLD,0,Post Graduate,"Rs 1,34,23,683
~ 1 Crore+","Rs 14,56,567
~ 14 Lacs+",6890,DLF Ltd,rajiv singh,Vice Chairman
20,41,ajit singh,Baghpat,RLD,0,Post Graduate,"Rs 1,34,23,683
~ 1 Crore+","Rs 14,56,567
~ 14 Lacs+",27581,C & C Constructions Ltd,rajbir singh,Whole-time Director
21,41,ajit singh,Baghpat,RLD,0,Post Graduate,"Rs 1,34,23,683
~ 1 Crore+","Rs 14,56,567
~ 14 Lacs+",3356,Rana Sugars Ltd,baljit singh,Director
22,41,ajit singh,Baghpat,RLD,0,Post Graduate,"Rs 1,34,23,683
~ 1 Crore+","Rs 14,56,567
~ 14 Lacs+",5458,GVK Industries Ltd,ajit singh,Director
23,45,suraj singh,Balia,LJNSP,17,Literate,"Rs 15,16,070
~ 15 Lacs+","Rs 60,024
~ 60 Thou+",12196,EMC Ltd,suraj mall singhi,Director
24,46,chandra shekhar,Ballia,Samajwadi Janata Party (Rashtriya),0,Post Graduate,"Rs 40,35,983
~ 40 Lacs+","Rs 11,45,552
~ 11 Lacs+",3029,Chambal Fertilisers & Chemicals Ltd,chandra shekhar nopany,Director
