,Candidate,Candidate ID,Party,State,dir_id,dir_name,dir_state,position
0,Jayadev Galla,8183,TDP,andhra pradesh,2110,Jayadev Galla,andhra pradesh,Managing Director
1,S.P.Y Reddy,8211,Yuvajana Sramika Rythu Congress Party,andhra pradesh,14222,P S Reddy,andhra pradesh,Director
2,Inderjit Singh,1046,BJP,haryana,13675,Inderjit Walia,haryana,Director
3,Ashwini Kumar,1052,BJP,haryana,20287,Arun Kumar,haryana,Additional Director
4,Ramesh Kaushik,91,BJP,haryana,1318,Ramesh C Vaish,haryana,Director
5,Ananth Kumar,189,BJP,karnataka,2298,Anil Kumar,karnataka,Chairman & Managing Director
6,Ananth Kumar,189,BJP,karnataka,2298,Anurag Kumar,karnataka,Director(Parttime Non-officia)
7,M B Rajesh,1889,CPI(M),kerala,24769,A Rajesh,kerala,Company Secretary
8,Kamal Nath,766,INC,madhya pradesh,251,Kamal Gupta,madhya pradesh,Director
9,Raju Shetty,3501,Swabhimani Paksha,maharashtra,5586,Gaurang Shetty,maharashtra,Additional Director
10,Sri Baijayant Panda,3287,BJD,orissa,5807,Baijayant Panda,orissa,Vice Chairman
11,Bahadur Singh,4225,BJP,rajasthan,3029,Radha Singh,rajasthan,Director
12,Rahul Kaswan,2312,BJP,rajasthan,2650,Rahul Raisurana,rajasthan,Nominee
13,C R Choudhary,3452,BJP,rajasthan,700,A N Choudhury,rajasthan,Director
14,P P Choudhary,3464,BJP,rajasthan,700,A N Choudhury,rajasthan,Director
15,S.R. Vijayakumar,6846,AIADMK,tamil nadu,5704,I Vijayakumar,tamil nadu,Chairman & Managing Director
16,S.R. Vijayakumar,6846,AIADMK,tamil nadu,13586,C Vijayakumar,tamil nadu,Company Secretary
17,S.R. Vijayakumar,6846,AIADMK,tamil nadu,15228,K Vijaykumar,tamil nadu,Managing Director & CEO
18,S.R. Vijayakumar,6846,AIADMK,tamil nadu,18569,M P Vijayakumar,tamil nadu,Director
19,S.R. Vijayakumar,6846,AIADMK,tamil nadu,57,M P Vijayakumar,tamil nadu,Additional Director
20,S.R. Vijayakumar,6846,AIADMK,tamil nadu,155,B Vijayakumar,tamil nadu,Director
21,S.R. Vijayakumar,6846,AIADMK,tamil nadu,1927,B Vijayakumar,tamil nadu,Chairman & Managing Director
22,Radhakrishnan P.,7015,BJP,tamil nadu,2038,M N Radhakrishnan,tamil nadu,Director
23,Thambidurai.M,3947,AIADMK,tamil nadu,12421,K Thambithurai,tamil nadu,Whole-time Director
24,R.Gopalakrishnan,3965,AIADMK,tamil nadu,270,G Balakrishnan,tamil nadu,President & Company Secretary
25,R.Gopalakrishnan,3965,AIADMK,tamil nadu,539,R Ramakrishnan,tamil nadu,Director
26,R.Gopalakrishnan,3965,AIADMK,tamil nadu,8029,R Ramakrishnan,tamil nadu,Director
27,R.Gopalakrishnan,3965,AIADMK,tamil nadu,1093,C P Gopalkrishnan,tamil nadu,Deputy Managing Director & CS
28,R.Gopalakrishnan,3965,AIADMK,tamil nadu,1908,V Ramakrishnan,tamil nadu,Director
29,R.Gopalakrishnan,3965,AIADMK,tamil nadu,4402,S Ramakrishnan,tamil nadu,Director
30,R.Gopalakrishnan,3965,AIADMK,tamil nadu,24429,R Ramakrishnan,tamil nadu,Director
31,Gopalakrishnan- C.,7106,AIADMK,tamil nadu,270,G Balakrishnan,tamil nadu,President & Company Secretary
32,Gopalakrishnan- C.,7106,AIADMK,tamil nadu,1093,C P Gopalkrishnan,tamil nadu,Deputy Managing Director & CS
33,Prabakaran.K.R.P,7586,AIADMK,tamil nadu,1927,P Prabakaran,tamil nadu,Deputy Managing Director
34,S. Rajendran,3930,AIADMK,tamil nadu,346,R Rajendran,tamil nadu,Director (Finance)
35,S. Rajendran,3930,AIADMK,tamil nadu,540,S Ravindran,tamil nadu,Director
36,S. Rajendran,3930,AIADMK,tamil nadu,155,S Raveendar,tamil nadu,Company Secretary
37,Radhakrishnan,7530,AIADMK,tamil nadu,270,G Balakrishnan,tamil nadu,President & Company Secretary
38,Radhakrishnan,7530,AIADMK,tamil nadu,357,A Ramakrishna,tamil nadu,Director
39,Radhakrishnan,7530,AIADMK,tamil nadu,539,R Ramakrishnan,tamil nadu,Director
40,Radhakrishnan,7530,AIADMK,tamil nadu,2038,M N Radhakrishnan,tamil nadu,Director
41,Radhakrishnan,7530,AIADMK,tamil nadu,8029,R Ramakrishnan,tamil nadu,Director
42,Radhakrishnan,7530,AIADMK,tamil nadu,16138,J Radha Krishnan,tamil nadu,Director
43,Radhakrishnan,7530,AIADMK,tamil nadu,1908,V Ramakrishnan,tamil nadu,Director
44,Radhakrishnan,7530,AIADMK,tamil nadu,4402,S Ramakrishnan,tamil nadu,Director
45,Radhakrishnan,7530,AIADMK,tamil nadu,24429,R Ramakrishnan,tamil nadu,Director
46,Radhakrishnan,7530,AIADMK,tamil nadu,28369,S R Ramakrishnan,tamil nadu,Director
47,Satish Kumar,682,BJP,uttar pradesh,849,Suresh Kumar,uttar pradesh,Director
48,Rahul Gandhi,8022,INC,uttar pradesh,2626,Rahul Bedi,uttar pradesh,Director
49,Virendra Singh,8054,BJP,uttar pradesh,592,Surendra Singh,uttar pradesh,Director
50,Mahendra Nath,9227,BJP,uttar pradesh,22118,Mahendra Mohan Gupta,uttar pradesh,Chairman & Managing Director
51,Rajvir Singh,4277,BJP,uttar pradesh,15293,Ranvijay singh,uttar pradesh,Whole-time Director
52,Rajvir Singh,4277,BJP,uttar pradesh,15293,Ranvijay singh,uttar pradesh,Whole-time Director
53,Ashok Kumar Doharey,4279,BJP,uttar pradesh,17136,Ashok Sharma,uttar pradesh,Director
54,Lallu Singh,8397,BJP,uttar pradesh,1615,Gurpal Singh,uttar pradesh,Deputy Managing Director
55,Rajesh Kumar,5018,BJP,uttar pradesh,849,Suresh Kumar,uttar pradesh,Director
56,Rajesh Kumar,5018,BJP,uttar pradesh,15293,Rahul Kumar,uttar pradesh,Whole Time Director & CFO
57,Bhanu Pratap Singh,5540,BJP,uttar pradesh,14057,Arun Pratap Singh,uttar pradesh,Company Secretary
58,Vinod Kumar,8080,BJP,uttar pradesh,15293,Viney Kumar,uttar pradesh,Nominee (IDBI)
59,Ajay Kumar,3107,BJP,uttar pradesh,14548,Ajay Kaul,uttar pradesh,Whole Time Director & CEO
60,Pankaj,9282,BJP,uttar pradesh,849,Pankaj Gaur,uttar pradesh,Director
61,Pankaj,9282,BJP,uttar pradesh,15293,Pankaj Gaur,uttar pradesh,Joint Managing Director
62,Pankaj,9282,BJP,uttar pradesh,15293,Pankaj Gaur,uttar pradesh,Joint Managing Director
63,Rajendra Agarwal,667,BJP,uttar pradesh,3049,Sharda Agarwal,uttar pradesh,Executive Director
64,Rajendra Agarwal,667,BJP,uttar pradesh,14057,Surendra Agarwal,uttar pradesh,Director
65,Krishna Raj,3206,BJP,uttar pradesh,4019,Krishan Lall,uttar pradesh,Director
66,Rajesh Kumar Singh,5798,BJP,uttar pradesh,1846,Rajesh K Tripathi,uttar pradesh,Company Secretary
67,Narendra Modi,9769,BJP,uttar pradesh,1846,Nripendra Misra,uttar pradesh,Additional Director
68,Arpita Ghosh,4828,AITC,west bengal,732,Amit Ghosh,west bengal,Company Secretary
69,Arpita Ghosh,4828,AITC,west bengal,3898,Avijit Ghosh,west bengal,Director (Mining)
70,Arpita Ghosh,4828,AITC,west bengal,5482,Abhijit Ghosh,west bengal,Director (Finance)
71,Sunil Kumar Mondal,6007,AITC,west bengal,2787,Sunil Kanoria,west bengal,Vice Chairman
72,Sunil Kumar Mondal,6007,AITC,west bengal,6423,Sushil Kumar Goenka,west bengal,Managing Director
73,Sunil Kumar Mondal,6007,AITC,west bengal,13819,Sunil Kumar Agrawal,west bengal,Whole-time Director
74,Saugata Roy,9356,AITC,west bengal,665,Sougata Ray,west bengal,Director
75,Saugata Roy,9356,AITC,west bengal,565,Sougata Ray,west bengal,Additional Director
76,Saugata Roy,9356,AITC,west bengal,15783,Santanu Ray,west bengal,Independent Director
77,Prasun Banerjee,6048,AITC,west bengal,99,Sumantra Banerjee,west bengal,Managing Director
78,Prasun Banerjee,6048,AITC,west bengal,12581,Mrinal Banerjee,west bengal,Chairman
79,Abhijit Mukherjee,4831,INC,west bengal,2846,Ashim Mukherjee,west bengal,Director
80,Pratima Mondal,9380,AITC,west bengal,413,Pramod Mittal,west bengal,Director
