Sno,Candidate,Constituency ,Party,Criminal Case,Education,Total Assets,Liabilities
1,MADHUSUDHAN REDDY THAKKALA,Adilabad,TRS,0,Graduate Professional,"Rs 75,50,000
~ 75 Lacs+","Rs 1,20,000
~ 1 Lacs+"
2,CHENGARA SURENDRAN,Adoor,CPI,0,Graduate,"Rs 6,274
~ 6 Thou+","Rs 41,438
~ 41 Thou+"
3,RAJ BABBAR,Agra,SP,2,Graduate,"Rs 2,23,26,400
~ 2 Crore+","Rs 10,00,000
~ 10 Lacs+"
4,HARIN PATHAK,Ahmedabad,BJP,1,Graduate Professional,"Rs 1,02,87,931
~ 1 Crore+","Rs 0
~"
5,GADAKH TUKARAM GANGADHAR,Ahmednagar,NCP,2,Graduate,"Rs 2,34,46,680
~ 2 Crore+","Rs 46,80,000
~ 46 Lacs+"
6,RASA SINGH RAWAT,Ajmer,BJP,0,Post Graduate,"Rs 14,71,446
~ 14 Lacs+","Rs 0
~"
7,MAYAWATI,Akbarpur,BSP,1,Graduate Professional,"Rs 11,35,44,000
~ 11 Crore+","Rs 0
~"
8,DHOTRE SANJAY SHAMRAO,Akola,BJP,0,Graduate Professional,"Rs 1,22,89,645
~ 1 Crore+","Rs 24,08,285
~ 24 Lacs+"
9,BIJENDRA SINGH,Aligarh,INC,0,Graduate,"Rs 28,92,600
~ 28 Lacs+","Rs 0
~"
10,Joachim Baxla,Alipurduars,RSP,0,Graduate,"Rs 4,85,800
~ 4 Lacs+","Rs 0
~"
11,KUNWAR REWATI RAMAN SINGH URF MANI JI,Allahabad,SP,1,Graduate Professional,"Rs 2,28,37,000
~ 2 Crore+","Rs 10,50,000
~ 10 Lacs+"
12,DR. K. S. MANOJ,Alleppey,CPM,0,Doctorate,"Rs 8,00,231
~ 8 Lacs+","Rs 54,317
~ 54 Thou+"
13,DR. KARAN SINGH YADAV,Alwar,INC,0,Post Graduate,"Rs 40,23,529
~ 40 Lacs+","Rs 10,22,864
~ 10 Lacs+"
14,SELJA,Ambala,INC,0,Post Graduate,"Rs 71,76,087
~ 71 Lacs+","Rs 0
~"
15,RAHUL GANDHI,Amethi,INC,0,Post Graduate,"Rs 55,38,123
~ 55 Lacs+","Rs 0
~"
16,ANANT GUDHE,Amravati,SHS,0,Graduate,"Rs 35,32,477
~ 35 Lacs+","Rs 2,17,263
~ 2 Lacs+"
17,VIRJIBHAI THUMMAR,Amreli,INC,1,Graduate,"Rs 1,52,27,334
~ 1 Crore+","Rs 87,000
~ 87 Thou+"
18,NAVJOT SINGH SIDHU,Amritsar,BJP,1,Graduate,"Rs 6,42,11,374
~ 6 Crore+","Rs 3,98,529
~ 3 Lacs+"
19,HARISH NAGPAL,Amroha,IND,0,10th Pass,"Rs 6,72,34,623
~ 6 Crore+","Rs 0
~"
20,CHALAPATHIRAO PAPPALA,Anakapalli,TDP,0,Graduate,"Rs 53,96,505
~ 53 Lacs+","Rs 2,46,000
~ 2 Lacs+"
21,SOLANKI BHARATSINH MADHAVSINH,Anand,INC,0,Graduate Professional,"Rs 9,96,308
~ 9 Lacs+","Rs 0
~"
22,ANANTHA VENKATA RAMI REDDY,Anantapur,INC,0,Post Graduate,"Rs 38,90,000
~ 38 Lacs+","Rs 4,37,636
~ 4 Lacs+"
23,MEHBOOBA MUFTI,Anantnag,JKPDP,0,Graduate Professional,"Rs 4,50,000
~ 4 Lacs+","Rs 0
~"
24,MANORANJAN BHAKTA,Andaman & Nicobar Islands,INC,0,Post Graduate,"Rs 59,26,740
~ 59 Lacs+","Rs 2,72,061
~ 2 Lacs+"
25,KUNWAR SARVRAJ SINGH,Aonla,JD(U),1,Graduate Professional,"Rs 1,42,81,673
~ 1 Crore+","Rs 0
~"
26,"VELU, R.",Arakkonam,PMK,0,Post Graduate,"Rs 46,10,868
~ 46 Lacs+","Rs 97,947
~ 97 Thou+"
27,Anil Basu,Arambagh,CPM,0,Literate,"Rs 10,42,327
~ 10 Lacs+","Rs 0
~"
28,SUKDEO PASWAN,Araria,BJP,1,10th Pass,"Rs 59,34,736
~ 59 Lacs+","Rs 5,71,481
~ 5 Lacs+"
29,KANTI SINGH,Arrah,RJD,0,Graduate,"Rs 1,16,02,840
~ 1 Crore+","Rs 33,797
~ 33 Thou+"
30,TAPIR GAO,Arunachal East,BJP,0,Post Graduate,"Rs 55,16,640
~ 55 Lacs+","Rs 50,000
~ 50 Thou+"
31,KHIREN RIJIJU,Arunachal West,BJP,0,Graduate,"Rs 65,11,344
~ 65 Lacs+","Rs 0
~"
32,Bikash Chowdhury,Asansol,CPM,0,Not Given,"Rs 29,12,206
~ 29 Lacs+","Rs 0
~"
33,HARI HAR SWAIN,Aska,BJD,0,12th Pass,"Rs 1,21,92,000
~ 1 Crore+","Rs 15,86,478
~ 15 Lacs+"
34,NIKHIL KUMAR,Aurangabad,INC,0,Post Graduate,"Rs 7,44,89,984
~ 7 Crore+","Rs 12,20,000
~ 12 Lacs+"
35,CHANDRAKANT KHAIRE,Aurangabad,SHS,13,Graduate,"Rs 93,33,773
~ 93 Lacs+","Rs 60,43,722
~ 60 Lacs+"
36,BIREN SINGH ENGTI,Autonomous District,INC,0,Post Graduate,"Rs 53,89,194
~ 53 Lacs+","Rs 0
~"
37,RAMAKANT YADAV,Azamgarh,BSP,9,10th Pass,"Rs 1,73,58,777
~ 1 Crore+","Rs 2,00,000
~ 2 Lacs+"
38,P. SATHEEDEVI,Badagara,CPM,1,Graduate Professional,"Rs 13,31,000
~ 13 Lacs+","Rs 0
~"
39,KAILASH BAITHA,Bagaha,JD(U),0,10th Pass,"Rs 49,000
~ 49 Thou+","Rs 35,000
~ 35 Thou+"
40,GADDIGOUDAR PARVATAGOUDA CHANDANAGOUDA,Bagalkot,BJP,0,Graduate Professional,"Rs 53,75,000
~ 53 Lacs+","Rs 10,00,000
~ 10 Lacs+"
41,AJIT SINGH,Baghpat,RLD,0,Post Graduate,"Rs 1,34,23,683
~ 1 Crore+","Rs 14,56,567
~ 14 Lacs+"
42,RUBAB SAYEDA,Bahraich,SP,0,Post Graduate,"Rs 1,53,46,459
~ 1 Crore+","Rs 0
~"
43,GAURI SHANKAR CHATURBHUJ BISEN,Balaghat,BJP,0,Post Graduate,"Rs 96,67,350
~ 96 Lacs+","Rs 14,91,190
~ 14 Lacs+"
44,MAHAMEGHA BAHAN AIRA KHARBELA SWAIN,Balasore,BJP,0,Post Graduate,"Rs 10,10,000
~ 10 Lacs+","Rs 0
~"
45,SURAJ SINGH,Balia,LJNSP,17,Literate,"Rs 15,16,070
~ 15 Lacs+","Rs 60,024
~ 60 Thou+"
46,CHANDRA SHEKHAR,Ballia,Samajwadi Janata Party (Rashtriya),0,Post Graduate,"Rs 40,35,983
~ 40 Lacs+","Rs 11,45,552
~ 11 Lacs+"
47,BRIJ BHUSHAN SHARAN SINGH,Balrampur,BJP,2,Graduate Professional,"Rs 3,58,10,577
~ 3 Crore+","Rs 0
~"
48,Ranen Barman,Balurghat,RSP,0,10th Pass,"Rs 9,68,333
~ 9 Lacs+","Rs 0
~"
49,CHAVDA HARISINHAJI PRATAPSINHAJI,Banaskantha,INC,1,10th Pass,"Rs 1,76,93,895
~ 1 Crore+","Rs 0
~"
50,SHYAMA CHARAN GUPT,Banda,SP,0,Graduate Professional,"Rs 11,24,56,867
~ 11 Crore+","Rs 0
~"
51,DR. H.T. SANGLIANA,Bangalore North,BJP,0,Graduate,"Rs 76,66,050
~ 76 Lacs+","Rs 0
~"
52,GIRIDHARI YADAV,Banka,RJD,0,Post Graduate,"Rs 28,41,000
~ 28 Lacs+","Rs 3,51,513
~ 3 Lacs+"
53,Acharia Basudeb,Bankura,CPM,0,Post Graduate,"Rs 17,08,375
~ 17 Lacs+","Rs 0
~"
54,MAHAVEER PRASAD,Bansgaon,INC,0,Post Graduate,"Rs 89,44,794
~ 89 Lacs+","Rs 0
~"
55,DHAN SINGH RAWAT,Banswara,BJP,2,Graduate Professional,"Rs 19,05,788
~ 19 Lacs+","Rs 2,50,000
~ 2 Lacs+"
56,DAGGUBATI PURANDARESWARI,Bapatla,INC,0,Others,"Rs 4,09,07,640
~ 4 Crore+","Rs 52,12,201
~ 52 Lacs+"
57,KAMLA PRASAD,Bara Banki,BSP,0,Graduate,"Rs 46,99,000
~ 46 Lacs+","Rs 5,00,000
~ 5 Lacs+"
