Sno,Candidate,Constituency,Party,Criminal Case,Education,Total Assets,Liabilities
1,A.T. NANA PATIL,Jalgaon,BJP,0,Graduate,"Rs 10,38,39,607
~ 10 Crore+","Rs 92,00,000
~ 92 Lacs+"
2,AARON RASHID.J.M,Theni,INC,0,12th Pass,"Rs 24,89,74,573
~ 24 Crore+","Rs 21,91,815
~ 21 Lacs+"
3,AAWALE JAYWANT GANGARAM,Latur,INC,1,10th Pass,"Rs 3,04,85,766
~ 3 Crore+","Rs 0
~"
4,ABDUL MANNAN HOSSAIN,Murshidabad,INC,1,Graduate,"Rs 17,09,788
~ 17 Lacs+","Rs 10,06,391
~ 10 Lacs+"
5,ABDUL RAHMAN,Vellore,DMK,0,Graduate,"Rs 1,25,47,128
~ 1 Crore+","Rs 32,97,328
~ 32 Lacs+"
6,Abu Hasem Khan Choudhury,Maldaha Dakshin,INC,0,Doctorate,"Rs 87,82,797
~ 87 Lacs+","Rs 0
~"
7,Acharia Basudeb,Bankura,CPM,0,Post Graduate,"Rs 32,49,037
~ 32 Lacs+","Rs 0
~"
8,AD.KAMAT GURUDAS VASANT,Mumbai North West,INC,0,Graduate Professional,"Rs 6,39,26,963
~ 6 Crore+","Rs 0
~"
9,ADAGUR H. VISWANATH,Mysore,INC,0,Graduate Professional,"Rs 2,82,91,172
~ 2 Crore+","Rs 73,67,061
~ 73 Lacs+"
10,ADHALRAO SHIVAJI DATTATRAY,Shirur,SHS,4,Post Graduate,"Rs 12,71,13,134
~ 12 Crore+","Rs 1,62,21,275
~ 1 Crore+"
11,ADHIKARI SISIR KUMAR,Kanthi,AITC,1,12th Pass,"Rs 10,83,159
~ 10 Lacs+","Rs 0
~"
12,ADHIKARI SUVENDU,Tamluk,AITC,3,Graduate,"Rs 47,51,934
~ 47 Lacs+","Rs 0
~"
13,ADHIR RANJAN CHOWDHURY,Baharampur,INC,4,10th Pass,"Rs 2,99,43,557
~ 2 Crore+","Rs 19,26,083
~ 19 Lacs+"
14,ADITYA NATH,Gorakhpur,BJP,2,Graduate,"Rs 21,82,212
~ 21 Lacs+","Rs 0
~"
15,ADSUL ANANDRAO VITHOBA,Amravati,SHS,1,Graduate,"Rs 1,77,08,418
~ 1 Crore+","Rs 0
~"
16,Adv A Sampath,Attingal,CPM,2,Post Graduate,"Rs 89,99,000
~ 89 Lacs+","Rs 21,50,029
~ 21 Lacs+"
17,Adv P T Thomas,Idukki,INC,0,Post Graduate,"Rs 39,84,094
~ 39 Lacs+","Rs 4,48,284
~ 4 Lacs+"
18,ADV. DUDHGAONKAR GANESHRAO NAGORAO,Parbhani,SHS,0,Graduate Professional,"Rs 2,81,11,720
~ 2 Crore+","Rs 0
~"
19,AGATHA K. SANGMA,Tura,NCP,0,Post Graduate,"Rs 66,44,295
~ 66 Lacs+","Rs 0
~"
20,AHIR HANSARAJ GANGARAM,Chandrapur,BJP,30,10th Pass,"Rs 80,84,050
~ 80 Lacs+","Rs 2,62,243
~ 2 Lacs+"
21,AJAY MAKAN,New Delhi,INC,1,Post Graduate,"Rs 4,01,48,040
~ 4 Crore+","Rs 97,120
~ 97 Thou+"
22,AJIT SINGH,Baghpat,RLD,0,Post Graduate,"Rs 5,82,32,462
~ 5 Crore+","Rs 13,077
~ 13 Thou+"
23,AKHILESH YADAV,Firozabad,SP,0,Graduate Professional,"Rs 4,44,09,557
~ 4 Crore+","Rs 77,26,354
~ 77 Lacs+"
