Status,cin,company,id,name,regdate,regplace,url
 Active ,U36912MH1994PLC083644,RIDDISIDDHI BULLIONS LIMITED,25126,Riddisiddhi Bullions Ltd,1994-12-09," Maharashtra, India ",https://www.quickcompany.in/company/riddisiddhi-bullions-limited
 Active ,U72200KA1997PTC022727,HEWLETT-PACKARD INDIA SALES PRIVATE LIMITED,12664,Hewlett-Packard India Sales Pvt Ltd,1997-09-02," Karnataka, India ",https://www.quickcompany.in/company/hewlett-packard-india-sales-private-limited
 Active ,U34101KA1997PTC022858,TOYOTA KIRLOSKAR MOTOR PRIVATE LIMITED,19403,Toyota Kirloskar Motor Ltd,1997-10-06," Karnataka, India ",https://www.quickcompany.in/company/toyota-kirloskar-motor-private-limited
 Active ,U15209DL2000PTC104671,MOTHER DAIRY FRUIT AND VEGETABLE PRIVATE LIMITED,25590,Mother Dairy Fruit & Vegetables Ltd,2000-03-24," Delhi, India ",https://www.quickcompany.in/company/mother-dairy-fruit-and-vegetable-private-limited
 Active ,U15549HR1994PTC033754,PEPSICO INDIA HOLDINGS PRIVATE LIMITED,13840,Pepsico India Holdings Pvt Ltd,1994-01-28," Haryana, India ",https://www.quickcompany.in/company/pepsico-india-holdings-private-limited
 Active ,U52110CH1974SGC003404,PUNJAB STATE CIVIL SUPPLIES CORPORATION LIMITED,25007,Punjab State Civil Supplies Corpn Ltd,1974-02-14," Chandigarh, India ",https://www.quickcompany.in/company/punjab-state-civil-supplies
 Amalgamated ,U33111TN1986PLC013119,SIVA VENTURES LIMITED,25501,Siva Ventures Ltd,1986-06-23," Tamil Nadu, India ",https://www.quickcompany.in/company/siva-ventures-limited
 Active ,U28113MH1996PLC096835,VIRAJ PROFILES LIMITED,25082,Viraj Profiles Ltd,1996-02-02," Maharashtra, India ",https://www.quickcompany.in/company/viraj-profiles-limited
 Active ,U85110KA1970SGC001919,KARNATAKA POWER CORPORATION LIMITED,12054,Karnataka Power Corporation Ltd,1970-07-20," Karnataka, India ",https://www.quickcompany.in/company/karnataka-power-corporationlimited
 Active ,U31909KA1999PTC025698,ACER INDIA PRIVATE LIMITED,20697,Acer India Pvt Ltd,1999-09-09," Karnataka, India ",https://www.quickcompany.in/company/acer-india-private-limited
 Active ,U72200TG2000PTC033858,HSBC ELECTRONIC DATA PROCESSING INDIA PRIVATE LIMITED,21126,HSBC Electronic Data Processing India Ltd,2000-03-14," Telangana, India ",https://www.quickcompany.in/company/hsbc-electronic-data-processing-india-private-limited
 Active ,U26911WB1962PLC025691,RUNGTA MINES LIMITED,27841,Rungta Mines Ltd,1962-12-01," West Bengal, India ",https://www.quickcompany.in/company/rungta-mines-limited
 Active ,U15200MH1994PTC138918,HEINZ INDIA PRIVATE LIMITED,12467,Heinz India Pvt Ltd,1994-06-14," Maharashtra, India ",https://www.quickcompany.in/company/heinz-india-private-limited
 Active ,U74899DL1993PTC055062,Pernod Ricard India Private Limited,16875,Pernod Ricard India Pvt Ltd,1993-09-03," Delhi, India ",https://www.quickcompany.in/company/pernod-ricard-india-private-limited
 Active ,U80903PN1984PLC032945,SERUM INSTITUTE OF INDIA LIMITED,20841,Serum Institute of India Ltd,1984-05-22," Maharashtra, India ",https://www.quickcompany.in/company/serum-institute-of-india-limited
 Active ,U74899DL1988PTC032549,MICROSOFT CORPORATION (INDIA) PVT LTD,13068,Microsoft Corporation India Pvt Ltd,1988-07-22," Delhi, India ",https://www.quickcompany.in/company/microsoft-corporation-india-pvt-ltd
 Active ,U45309TN1998PTC046270,SCHWING STETTER (INDIA) PRIVATE LIMITED,22061,Schwing Stetter India Pvt Ltd,1998-06-18," Tamil Nadu, India ",https://www.quickcompany.in/company/schwing-stetter-india-private-limited-0c62a5e4-fb7d-4061-8825-c89d46a3fb02
 Active ,U27101WB1941PLC010497,CONCAST ISPAT LTD,25525,Concast Ispat Ltd,1941-04-17," West Bengal, India ",https://www.quickcompany.in/company/concast-ispat-ltd
 Active ,U45201UP2005PLC030918,Sahara India Real Estate Corporation Limited,8044,Sahara India Real Estate Corporation Ltd,2005-10-28," Uttar Pradesh, India ",https://www.quickcompany.in/company/sahara-india-real-estate-corporation-limited
 Amalgamated ,U21010DL1993PLC052866,BILT GRAPHIC PAPERS LIMITED,24961,Bilt Graphic Papers Ltd (Merged),1993-04-02," Delhi, India ",https://www.quickcompany.in/company/bilt-graphic-papers-limited
 Active ,U22210GJ1981PTC047207,WRITERS AND PUBLISHERS Private LIMITED,24637,Writers and Publishers Pvt Ltd,1981-01-13," Gujarat, India ",https://www.quickcompany.in/company/writers-and-publishers-private-limited
