,Cname,Name,Party,State,designation,dir_name
0,Nestle India Ltd,"nathwani, shri parimal",IND.,Jharkhand,Director,swati a piramal
1,Hindustan Construction Company Ltd,"raja, shri d.",CPI,Tamil Nadu,Director,rajas r doshi
2,Bajaj Hindusthan Ltd,"sanjiv kumar, shri",JMM,Jharkhand,Director(Legal & Cor. Affairs),sanjeev kumar
3,Bajaj Hindusthan Ltd,"selja, kumari",INC,Haryana,Director(Legal & Cor. Affairs),sanjeev kumar
4,Hindalco Industries Ltd,"bhattacharya, shri p.",INC,West Bengal,Managing Director,d bhattacharya
5,Akzo Nobel India Ltd,"sanjiv kumar, shri",JMM,Jharkhand,Director,sanjiv misra
6,Piramal Healthcare Ltd,"nathwani, shri parimal",IND.,Jharkhand,Executive Director,swati a piramal
7,Ruchi Soya Industries Ltd,"sanjiv kumar, shri",JMM,Jharkhand,Director,sanjeev kumar asthana
8,Indo Gulf Corporation Ltd (Merged),"bhattacharya, shri p.",INC,West Bengal,Managing Director,d bhattacharya
9,Ruchi Infrastructure Ltd,"mahendra prasad, dr.",JD(U),Bihar,Whole-time Director,mahendra prasad sharma
10,Apar Industries Ltd,"sanjiv kumar, shri",JMM,Jharkhand,Additional Director,sanjiv maheshwari
11,Pidilite Industries Ltd,"bhattacharya, shri p.",INC,West Bengal,Director,d bhattacharya
12,JMC Projects (India) Ltd,"mahendra prasad, dr.",JD(U),Bihar,Director,mahendra g punatar
13,JMC Projects (India) Ltd,"sanjiv kumar, shri",JMM,Jharkhand,Executive Director,manoj kumar singh
14,Kalpataru Power Transmission Ltd,"mahendra prasad, dr.",JD(U),Bihar,Director,mahendra g punatar
15,Matrix Laboratories Ltd,"sanjiv kumar, shri",JMM,Jharkhand,Director,sanjeev kumar sethi
16,Era Infra Engineering Ltd,"sanjiv kumar, shri",JMM,Jharkhand,Company Secretary,rajiv kumar
17,Coca-Cola India Pvt Ltd,"sanjiv kumar, shri",JMM,Jharkhand,Director,sanjeev kumar
18,Coca-Cola India Pvt Ltd,"selja, kumari",INC,Haryana,Director,sanjeev kumar
19,KRBL Ltd,"ashwani kumar, shri",INC,Punjab,Director,ashwani dua
20,KRBL Ltd,"ashwani kumar, shri",INC,Punjab,Director,ashwani dua
21,SJVN Ltd,"ramesh, shri jairam",INC,Andhra Pradesh,Whole Time Director (Civil),ramesh narain misra
22,Eastern Coalfields Ltd,"bhattacharya, shri p.",INC,West Bengal,Director,s bhattacharya
23,ABG Shipyard Ltd,"ashwani kumar, shri",INC,Punjab,Director,ashwani kumar
24,IBM India Pvt Ltd,"chandrasekhar, shri rajeev",IND.,Karnataka,Director,chandrasekhar sripada
25,Essel Mining & Industries Ltd,"ashwani kumar, shri",INC,Punjab,Director,ashwin kumar kothari
26,Alstom Projects India Ltd,"anand sharma, shri",INC,Rajasthan,Chairman,sunand sharma
27,SPS Steels Rolling Mills Ltd,"ashwani kumar, shri",INC,Punjab,Nominee (IDBI),swapan kumar bagchi
28,Indiabulls Financial Services Ltd,"karan singh, dr.",INC,National Capital Territory of Delhi,Director,karan singh
29,Adhunik Metaliks Ltd,"jugul kishore, shri",BSP,Uttar Pradesh,Director,jugal kishore agarwal
30,Adhunik Metaliks Ltd,"jugul kishore, shri",BSP,Uttar Pradesh,Director,jugal kishore agarwal
31,Adhunik Metaliks Ltd,"anand sharma, shri",INC,Rajasthan,Company Secretary,anand sharma
32,Adhunik Metaliks Ltd,"anand sharma, shri",INC,Rajasthan,Company Secretary,anand sharma
33,SEL Manufacturing Company Ltd,"ashwani kumar, shri",INC,Punjab,Director,ashwani kumar
34,Hindustan Motors Ltd,"sanjiv kumar, shri",JMM,Jharkhand,Nominee (LIC),vijay kumar sharma
35,Sona Koyo Steering Systems Ltd,"ramesh, shri c.m.",TDP,Telangana,Director,ramesh suri
36,Sona Koyo Steering Systems Ltd,"ramesh, shri jairam",INC,Andhra Pradesh,Director,ramesh suri
37,Subros Ltd,"ramesh, shri c.m.",TDP,Telangana,Chairman,ramesh suri
38,Subros Ltd,"ramesh, shri jairam",INC,Andhra Pradesh,Chairman,ramesh suri
39,Omax Autos Ltd,"sanjiv kumar, shri",JMM,Jharkhand,Company Secretary,sanjeev kumar
