,Candidate,Candidate ID,Party,State,dir_id,dir_name,dir_state,position
0,anu aga,3,NOM.,nominated,2298,anurag kumar,karnataka,Director(Parttime Non-officia)
1,anu aga,3,NOM.,nominated,3219,sanjeev aga,maharashtra,Additional Director
2,anu aga,3,NOM.,nominated,4767,anu aga,maharashtra,Director
3,anu aga,3,NOM.,nominated,12350,arun agarwal,new delhi,Part Time Non Official Ind.Dir
4,anu aga,3,NOM.,nominated,22197,ankineedu maganti,maharashtra,Director
5,anu aga,3,NOM.,nominated,23040,sanjeev aga,gujarat,Director
6,anu aga,3,NOM.,nominated,184,anshul bhargava,maharashtra,Company Secretary
7,anu aga,3,NOM.,nominated,12466,anup bagchi,maharashtra,Executive Director
8,anu aga,3,NOM.,nominated,23633,anju bansal,new delhi,Whole-time Director
9,naresh agrawal,4,SP,uttar pradesh,14057,surendra agarwal,uttar pradesh,Director
10,naresh agrawal,4,SP,uttar pradesh,5135,sandeep agarwal,uttar pradesh,Managing Director & CEO
11,javed akhtar,6,NOM.,nominated,4144,jayesh d thakkar,gujarat,Director
12,javed akhtar,6,NOM.,nominated,5586,javed akhtar,maharashtra,Director
13,anand sharma,8,INC,rajasthan,4335,anita k sharma,rajasthan,Company Secretary
14,anand sharma,8,INC,rajasthan,18363,govind sharma,rajasthan,Director
15,ashwani kumar,14,INC,punjab,27662,ashwani kumar,punjab,Director
16,ashwani kumar,14,INC,punjab,12498,sanjay kumar,punjab,Whole-time Director
17,shadi lal batra,25,INC,haryana,42,hira lal bhatia,haryana,Director
18,p. bhattacharya,27,INC,west bengal,2897,n n bhattacharyya,west bengal,Director
19,p. bhattacharya,27,INC,west bengal,4640,sujit bhattacharya,west bengal,Director
20,p. bhattacharya,27,INC,west bengal,12328,s bhattacharya,west bengal,Director
21,p. bhattacharya,27,INC,west bengal,20207,s bhattacharyya,west bengal,Nominee (EXIM)
22,vandana chavan,35,NCP,maharashtra,577,anand mahajan,maharashtra,Director
23,jogen chowdhury,38,AITC,west bengal,281,g ray chowdhury,west bengal,Company Secretary
24,husain dalwai,41,INC,maharashtra,20392,shanaz diwan,maharashtra,Whole-time Director
25,anil desai,46,SS,maharashtra,34,ina dani,maharashtra,Director
26,anil desai,46,SS,maharashtra,88,anil d ambani,maharashtra,Chairman
27,anil desai,46,SS,maharashtra,135,anil sachdev,maharashtra,Director
28,anil desai,46,SS,maharashtra,313,atul desai,maharashtra,Director
29,anil desai,46,SS,maharashtra,2467,anil harish,maharashtra,Director
30,anil desai,46,SS,maharashtra,18105,samir desai,maharashtra,Director
31,anil desai,46,SS,maharashtra,18105,samir t desai,maharashtra,Director
32,anil desai,46,SS,maharashtra,23244,nilesh jain,maharashtra,Company Secretary
33,anil desai,46,SS,maharashtra,27206,anil d ambani,maharashtra,Chairman
34,anil desai,46,SS,maharashtra,3750,anil harish,maharashtra,Chairman
35,rajkumar dhoot,48,SS,maharashtra,12002,rajkumar ghosh,maharashtra,Director (Refineries)
36,ashok s. ganguly,55,NOM.,nominated,365,a s ganguly,maharashtra,Director
37,ashok s. ganguly,55,NOM.,nominated,435,ashok goyal,west bengal,Managing Director & CEO
38,ashok s. ganguly,55,NOM.,nominated,614,ashok ganguly,karnataka,Director
39,ashok s. ganguly,55,NOM.,nominated,664,ashok ganguly,maharashtra,Director
40,ashok s. ganguly,55,NOM.,nominated,815,ashok sekhar ganguly,andhra pradesh,Director
41,kunal kumar ghosh,57,AITC,west bengal,20946,kunal kanti ghosh,west bengal,Director
42,kunal kumar ghosh,57,AITC,west bengal,12374,kalyan kumar ghosh,west bengal,Director (Finance)
43,naresh gujral,64,SAD,punjab,231,naresh dayal,punjab,Director
44,vivek gupta,66,AITC,west bengal,2846,i sengupta,west bengal,Director
45,b. jayashree,81,NOM.,nominated,19611,jayasree k,kerala,Company Secretary
46,prabhakar kore,99,BJP,karnataka,29776,prabhakara kore,karnataka,Director
47,r. lakshmanan,103,AIADMK,tamil nadu,539,r ramakrishnan,tamil nadu,Director
48,r. lakshmanan,103,AIADMK,tamil nadu,8029,h lakshmanan,tamil nadu,Director
49,r. lakshmanan,103,AIADMK,tamil nadu,8029,r ramakrishnan,tamil nadu,Director
50,r. lakshmanan,103,AIADMK,tamil nadu,103,m lakshminarayan,tamil nadu,Director
51,r. lakshmanan,103,AIADMK,tamil nadu,267,h lakshmanan,tamil nadu,Director
52,r. lakshmanan,103,AIADMK,tamil nadu,24429,r ramakrishnan,tamil nadu,Director
