Candidate,Criminal Cases,Education,ID,Party,Total Assets,Total Liabilities,ConstituencyID
Kaushal Yadav,8,Post Graduate,148,JD(U),154566136,2604969,88
Aditya Narayan,0,Graduate,1015,IND,15770000,0,88
Ajad Geeta Prasad Sharma,0,12th Pass,150,IND,7080000,0,88
Ashok Kumar,1,Literate,621,Rajnaitik Vikalp Party,3116000,0,88
Giriraj Singh,1,Graduate,149,BJP,50054771,0,88
Manish Kumar,2,Graduate,396,IND,1798755,428000,88
Mohammad Jahid Husain,0,Graduate,1017,AITC,1657448,0,88
Parmendra Kumar Yadav,0,12th Pass,623,Bharatiya Ekta Dal,1030800,0,88
Rajballabh Prasad,3,10th Pass,147,RJD,83137973,1387290,88
Rajendra Singh,0,Graduate Professional,1016,AAP,1455858,858745,88
Safdar Ismail,0,Graduate Professional,151,IND,8605000,25000,88
Satish Kumar,0,10th Pass,619,IND,11610000,0,88
Sohail Anwer,0,Literate,153,BSP,415000,85000,88
Sulochana Devi,0,Literate,1014,IND,7275000,800000,88
Surendra Rajvanshi,0,Graduate,152,SP,3385189,0,88
Umakant Rahi,0,Post Graduate,154,Shoshit Samaj Dal,2610034,0,88
Vijay Ram,1,10th Pass,395,Moolniwasi Samaj Party,221500,0,88
M. Aamir Rashadi,1,Others,9496,Rashtriya Ulama Council,2191523,0,474
Arvind Kumar Jaiswal,0,Graduate Professional,9212,INC,5587537,0,474
Durg Vijay Yadav,0,Graduate Professional,9492,Bahujan Mukti Party,49750,0,474
Kiran Sharma,0,8th Pass,9487,Bhartiya Shakti Chetna Party,3509407,325000,474
Madan,0,10th Pass,9494,AITC,3955000,0,474
Mulayam Singh Yadav,0,Post Graduate,9210,SP,159671544,0,474
Prakash Chandra,0,10th Pass,9491,Sanatan Sanskriti Raksha Dal,90300,0,474
Pramod Singh,0,12th Pass,9497,IND,1690000,0,474
Rajdhari,0,10th Pass,9499,Moolniwasi Samaj Party,36266,0,474
Rajesh Yadav,1,Graduate Professional,9211,AAP,2662066,0,474
Ram Singh Chauhan,2,8th Pass,9490,IND,244000,0,474
Ramakant Yadav,5,10th Pass,9209,BJP,28145423,0,474
Sanjay Chauhan,1,Post Graduate,9488,IND,1292500,294000,474
Sanjay Kumar Chaturvedi,0,Graduate,9495,Indian Savarn Samaj Party,1636500,0,474
Santosh Kumar Gautam,0,Others,9489,Manavtawadi Samaj Party,511500,195000,474
Shah Alam Alias Guddu Jamali,0,Post Graduate,9208,BSP,702918903,41500000,474
Shamshad Ahmad,0,Literate,9482,IND,150400,0,474
Sugriv Chauhan,0,10th Pass,9483,IND,2370000,0,474
(Kuppal)G.Devadoss,0,8th Pass,6912,IND,3630000,850000,368
A. Irudayadass,0,Graduate,6929,IND,551640,0,368
A. Jaiganesh,0,Graduate,6913,Lok Satta Party,5855905,0,368
A. Magesh,0,Graduate,6943,IND,6894841,66500,368
B. Kumar Sri Sri,0,Not Given,6939,IND,50000,0,368
Bhavani Janakiram,0,Post Graduate,6940,IND,425000,350000,368
Colonel Kadar Basha,0,Others,6916,IND,9991131,0,368
Dr. J. Jayavardhan,0,Graduate Professional,6917,AIADMK,33959072,10981100,368
Ganesan S,0,Graduate Professional,6910,SUCI(C),32901000,0,368
J.S. Mahalingam,0,Graduate Professional,6931,IND,142321,0,368
Jahir Hussain. M,0,10th Pass,6926,AAP,15040363,1332793,368
Joseph Gunasekar,0,Graduate Professional,6948,IND,2325000,0,368
K. Mani,0,5th Pass,6933,JD(U),2723000,0,368
K.R.Ramaswamy@Traffic Ramaswamy,0,Others,6911,IND,29530,0,368
