,cid,did
1917,195,1
1918,2598,2
1919,94,3
1920,566,4
1921,4439,5
1922,28591,6
1923,20695,7
1924,60,8
1925,3663,9
0,16166.0,10.0
1926,1742,10
1927,3627,12
1,20076,13
1928,12584,13
1929,1341,15
1930,3219,16
1931,23961,17
1932,704,18
1933,25093,19
1934,24937,20
1935,3348,21
1936,2461,22
1937,16233,23
2,856,24
3,27419,24
1938,209,24
1939,104,27
1940,41,28
1941,361,29
1942,2305,30
1943,22054,31
4,848,32
1944,525,32
1945,2718,34
1946,17576,35
1947,18363,36
1948,7620,37
1949,12328,38
1950,345,39
1951,4506,40
1952,2897,41
1953,12288,42
1954,1250,43
1955,2598,44
1956,12288,45
1957,28591,46
1958,5452,47
1959,12584,48
1960,6437,49
1961,1341,50
1962,292,51
1963,5458,52
5,21,53
6,554,53
7,171,53
1964,25353,53
1965,1196,57
1966,2401,58
1967,563,59
8,14556,60
1968,13869,60
1969,12607,63
1970,20561,64
9,554,65
10,2291,65
11,13279,65
1971,1140,65
1972,12288,69
1973,13819,70
1974,5540,71
12,12020,72
1975,12178,72
1976,1076,74
1977,308,75
1978,497,76
1979,31,77
13,242,78
14,227,78
1980,2227,78
1981,2846,81
1982,12008,82
1983,20051,83
15,18593,84
16,13397,84
1984,2626,84
17,2299,87
1985,14266,87
18,2626,89
1986,1021,89
1987,1056,91
19,5420,92
1988,6068,92
20,41,94
21,93,94
1989,85,94
22,665,97
23,348,97
24,3617,97
25,23244,97
1990,308,97
26,3392,102
27,4490,102
1991,51,105
1992,17560,106
1993,6423,107
28,213,108
29,217,108
30,226,108
1994,24065,108
1995,14705,112
1996,12350,113
1997,16966,114
1998,2415,115
1999,1220,116
2000,12584,117
2001,1057,118
31,22387,119
2002,1879,119
32,4926,121
2003,2338,121
2004,22221,123
2005,5671,124
2006,2295,125
33,5423,126
2007,111,126
34,19611,128
2008,16996,128
35,365,130
2009,22071,130
2010,2299,132
2011,57,133
36,23296,134
37,27206,134
38,23,134
39,12029,134
2012,13369,134
40,256,139
2013,62,139
2014,1119,141
2015,12001,142
41,2496,144
2016,12019,144
2017,14252,146
2018,23220,147
42,27271,148
2019,4335,150
2020,15293,151
2021,24268,153
2022,2324,154
2023,28443,155
43,13166,156
44,12001,156
2024,23257,156
45,12328,159
46,12019,159
2025,1076,162
47,26485,163
48,24585,163
2026,2304,163
49,7247,166
2027,23753,166
2028,5498,168
2029,544,169
2030,20944,170
2031,5497,171
2032,27419,172
2033,12734,173
50,1474,174
2034,2831,174
2035,578,176
51,12421,177
2036,23884,177
2037,5200,179
2038,14057,180
52,12002,181
2039,20099,181
2040,18105,183
53,348,184
2041,28009,186
2042,459,187
2043,213,188
2044,21960,189
2045,4666,190
