Sno,name,party,state
1,"Abdul Wahab, Shri ",IUML,Kerala
2,"Abraham, Shri Joy ",KC(M),Kerala
3,"Aga, Ms. Anu ",NOM.,Nominated
4,"Agrawal, Shri Naresh ",SP,Uttar Pradesh
5,"Aiyar, Shri Mani Shankar ",INC,Nominated
6,"Akhtar, Shri Javed ",NOM.,Nominated
7,"Ali, Shri Munquad ",BSP,Uttar Pradesh
8,"Anand Sharma, Shri ",INC,Rajasthan
9,"Ansari, Shri Ali Anwar ",JD(U),Bihar
10,"Ansari, Shri Salim ",BSP,Uttar Pradesh
11,"Antony, Shri A.K. ",INC,Kerala
12,"Arjunan, Shri K. R. ",AIADMK,Tamil Nadu
13,"Ashk Ali Tak, Shri ",INC,Rajasthan
14,"Ashwani Kumar, Shri ",INC,Punjab
15,"Athawale, Shri Ramdas ",RPI(A),Maharashtra
16,"Azad, Shri Ghulam Nabi ",INC,Jammu & Kashmir
17,"Babbar, Shri Raj ",INC,Uttarakhand
18,"Bachchan, Smt. Jaya ",SP,Uttar Pradesh
19,"Baidya, Smt. Jharna Das ",CPI(M),Tripura
20,"Balagopal, Shri K.N. ",CPI(M),Kerala
21,"Balmuchu, Dr. Pradeep Kumar ",INC,Jharkhand
22,"Balyawi, Shri Gulam Rasool ",JD(U),Bihar
23,"Bandyopadhyay, Shri D. ",AITC,West Bengal
24,"Banerjee, Shri Ritabrata ",CPI(M),West Bengal
25,"Batra, Shri Shadi Lal ",INC,Haryana
26,"Bernard, Shri A. W. Rabi ",AIADMK,Tamil Nadu
27,"Bhattacharya, Shri P. ",INC,West Bengal
28,"Bhunder, Shri Balwinder Singh ",SAD,Punjab
29,"Biswal, Shri Ranjib ",INC,Odisha
30,"Bora, Shri Pankaj ",INC,Assam
31,"Budania, Shri Narendra ",INC,Rajasthan
32,"Chakraborty, Shri Mithun ",AITC,West Bengal
33,"Chandrasekhar, Shri Rajeev ",IND.,Karnataka
34,"Chaturvedi, Shri Satyavrat ",INC,Madhya Pradesh
35,"Chavan, Smt. Vandana ",NCP,Maharashtra
36,"Chiranjeevi, Dr. K. ",INC,Andhra Pradesh
37,"Chowdary, Shri Y. S. ",TDP,Andhra Pradesh
38,"Chowdhury, Prof. Jogen ",AITC,West Bengal
39,"Chowdhury, Smt. Renuka ",INC,Andhra Pradesh
40,"Daimary, Shri Biswajit ",BPF,Assam
41,"Dalwai, Shri Husain ",INC,Maharashtra
42,"Darda, Shri Vijay Jawaharlal ",INC,Maharashtra
43,"Das, Shri Kalpataru ",BJD,Odisha
44,"Dave, Shri Anil Madhav ",BJP,Madhya Pradesh
45,"Deo, Shri A.U. Singh ",BJD,Odisha
46,"Desai, Shri Anil ",SS,Maharashtra
47,"Dhindsa, Sardar Sukhdev Singh ",SAD,Punjab
48,"Dhoot, Shri Rajkumar ",SS,Maharashtra
49,"Dua, Shri H.K. ",NOM.,Nominated
50,"Dudi, Shri Ram Narain ",BJP,Rajasthan
51,"Dwivedi, Shri Janardan ",INC,National Capital Territory of Delhi
52,"Faruque, Smt. Naznin ",INC,Assam
53,"Fayaz, Mir Mohammad ",J&K PDP,Jammu & Kashmir
54,"Fernandes, Shri Oscar ",INC,Karnataka
55,"Ganguly, Dr. Ashok S. ",NOM.,Nominated
56,"Gehlot, Shri Thaawar Chand ",BJP,Madhya Pradesh
57,"Ghosh, Shri Kunal Kumar ",AITC,West Bengal
58,"Gill, Dr. M.S. ",INC,Punjab
59,"Goel, Shri Vijay ",BJP,Rajasthan
60,"Gohel, Shri Chunibhai Kanjibhai ",BJP,Gujarat
61,"Goud T., Shri Devender ",TDP,Andhra Pradesh
62,"Gowda, Prof. M.V. Rajeev ",INC,Karnataka
63,"Goyal, Shri Piyush ",BJP,Maharashtra
64,"Gujral, Shri Naresh ",SAD,Punjab
65,"Gupta, Shri Prem Chand ",RJD,Jharkhand
66,"Gupta, Shri Vivek ",AITC,West Bengal
67,"Haque, Shri Md. Nadimul ",AITC,West Bengal
68,"Hariprasad, Shri B.K. ",INC,Karnataka
69,"Harivansh, Shri ",JD(U),Bihar
70,"Hashmi, Shri Parvez ",INC,National Capital Territory of Delhi
71,"Hassan, Shri Ahamed ",AITC,West Bengal
72,"Hembram, Smt. Sarojini ",BJD,Odisha
73,"Heptulla, Dr. Najma A. ",BJP,Madhya Pradesh
74,"Irani, Smt. Smriti Zubin ",BJP,Gujarat
75,"Jain, Shri Ishwarlal Shankarlal ",NCP,Maharashtra
76,"Jain, Shri Meghraj ",BJP,Madhya Pradesh
77,"Jaitley, Shri Arun ",BJP,Gujarat
78,"Jangde, Dr. Bhushan Lal ",BJP,Chhattisgarh
79,"Jatiya, Dr. Satyanarayan ",BJP,Madhya Pradesh
80,"Javadekar, Shri Prakash ",BJP,Madhya Pradesh
81,"Jayashree, Smt. B. ",NOM.,Nominated
82,"Jethmalani, Shri Ram ",IND.,Rajasthan
83,"Jha, Shri Prabhat ",BJP,Madhya Pradesh
84,"Judev, Shri Ranvijay Singh ",BJP,Chhattisgarh
85,"Jugul Kishore, Shri ",BSP,Uttar Pradesh
86,"Kakade, Shri Sanjay Dattatraya ",IND.,Maharashtra
87,"Kalita, Shri Bhubaneswar ",INC,Assam
88,"Kanimozhi, Smt. ",DMK,Tamil Nadu
89,"Kannan, Shri P. ",INC,Puducherry
90,"Karan Singh, Dr. ",INC,National Capital Territory of Delhi
91,"Kashyap, Shri Narendra Kumar ",BSP,Uttar Pradesh
92,"Kashyap, Shri Ram Kumar ",INLD,Haryana
93,"Katiyar, Shri Vinay ",BJP,Uttar Pradesh
94,"Khan, Shri Javed Ali ",SP,Uttar Pradesh
95,"Khan, Shri K. Rahman ",INC,Karnataka
96,"Khan, Shri Mohd. Ali ",INC,Andhra Pradesh
97,"Khanna, Shri Avinash Rai ",BJP,Punjab
98,"Kidwai, Smt. Mohsina ",INC,Chhattisgarh
99,"Kore, Dr. Prabhakar ",BJP,Karnataka
100,"Kujur, Shri Santiuse ",INC,Assam
101,"Kurien, Prof. P.J. ",INC,Kerala
102,"Lachungpa, Shri Hishey ",SDF,Sikkim
103,"Lakshmanan, Dr. R. ",AIADMK,Tamil Nadu
104,"Laway, Shri Nazir Ahmed ",J&K PDP,Jammu & Kashmir
105,"Mahendra Prasad, Dr. ",JD(U),Bihar
106,"Mahra, Shri Mahendra Singh ",INC,Uttarakhand
107,"Maitreyan, Dr. V. ",AIADMK,Tamil Nadu
108,"Mallya, Dr. Vijay ",IND.,Karnataka
109,"Mandaviya, Shri Mansukh L. ",BJP,Gujarat
