State,Constituency,Date Of Election,Candidate,Candidate ID,Party,Age,Sex,Category
ANDAMAN & NICOBAR ISLANDS,ANDAMAN & NICOBAR ISLANDS,4/10/2014,Bishnu Pada Ray,585,BJP,64,M,GEN
ANDHRA PRADESH,AMALAPURAM,5/7/2014,Pandula Ravindra Babu,8160,TDP,58,M,SC
ANDHRA PRADESH,ANAKAPALLE,5/7/2014,Muttamsetti Srinivasa Rao,8245,TDP,47,M,GEN
ANDHRA PRADESH,ANANTAPUR,5/7/2014,Jutur Chinna Reddy Divakar Reddy,8326,TDP,70,M,GEN
ANDHRA PRADESH,ARAKU,5/7/2014,Kothapalli Geetha,8865,Yuvajana Sramika Rythu Congress Party,43,F,ST
ANDHRA PRADESH,BAPATLA,5/7/2014,Malyadri Sriram,8482,TDP,60,M,SC
ANDHRA PRADESH,CHITTOOR,5/7/2014,Naramalli Sivaprasad,8170,TDP,62,M,SC
ANDHRA PRADESH,ELURU,5/7/2014,Venkateswara Rao Maganti,8178,TDP,54,M,GEN
ANDHRA PRADESH,GUNTUR,5/7/2014,Jayadev Galla,8183,TDP,48,M,GEN
ANDHRA PRADESH,HINDUPUR,5/7/2014,Kristappa Nimmala,8911,TDP,57,M,GEN
ANDHRA PRADESH,KADAPA,5/7/2014,Avinash Reddy Yeduguri Sandinti,8191,Yuvajana Sramika Rythu Congress Party,29,M,GEN
ANDHRA PRADESH,KAKINADA,5/7/2014,Thota Venkata Narasimham,8194,TDP,53,M,GEN
ANDHRA PRADESH,KURNOOL,5/7/2014,Butta Renuka,8202,Yuvajana Sramika Rythu Congress Party,42,F,GEN
ANDHRA PRADESH,MACHILIPATNAM,5/7/2014,Konakalla Narayana Rao,8339,TDP,64,M,GEN
ANDHRA PRADESH,NANDYAL,5/7/2014,S.P.Y Reddy,8211,Yuvajana Sramika Rythu Congress Party,64,M,GEN
ANDHRA PRADESH,NARASARAOPET,5/7/2014,Rayapati Sambasiva Rao,8213,TDP,70,M,GEN
ANDHRA PRADESH,NARSAPURAM,5/7/2014,Gokaraju Ganga Raju,9455,BJP,69,M,GEN
ANDHRA PRADESH,NELLORE,5/7/2014,Mekapati Rajamohan Reddy,8343,Yuvajana Sramika Rythu Congress Party,69,M,GEN
ANDHRA PRADESH,ONGOLE,5/7/2014,Yarram Venkata Subbareddy,8505,Yuvajana Sramika Rythu Congress Party,53,M,GEN
ANDHRA PRADESH,RAJAHMUNDRY,5/7/2014,Murali Mohan Maganti,8985,TDP,73,M,GEN
ANDHRA PRADESH,RAJAMPET,5/7/2014,P.V.Midhun Reddy,8510,Yuvajana Sramika Rythu Congress Party,36,M,GEN
ANDHRA PRADESH,SRIKAKULAM,5/7/2014,Rammohannaidu Kinjarapu,8230,TDP,27,M,GEN
ANDHRA PRADESH,TIRUPATI,5/7/2014,Varaprasad Rao Velagapalli,8233,Yuvajana Sramika Rythu Congress Party,61,M,SC
ANDHRA PRADESH,VIJAYAWADA,5/7/2014,Srinivas Kesineni,8239,TDP,48,M,GEN
ANDHRA PRADESH,VISAKHAPATNAM,5/7/2014,Dr. Kambhampati Hari Babu,9055,BJP,60,M,GEN
ANDHRA PRADESH,VIZIANAGARAM,5/7/2014,Ashok Gajapathi Raju Pusapati,9061,TDP,62,M,GEN
ARUNACHAL PRADESH,ARUNACHAL EAST,4/9/2014,Ninong Ering,406,INC,55,M,GEN
ARUNACHAL PRADESH,ARUNACHAL WEST,4/9/2014,Kiren Rijiju,246,BJP,42,M,GEN
ASSAM,AUTONOMOUS DISTRICT,4/12/2014,Biren Singh Engti,2271,INC,74,M,ST
ASSAM,BARPETA,4/24/2014,Siraj Uddin Ajmal,4857,AIUDF,57,M,GEN
ASSAM,DHUBRI,4/24/2014,Badruddin Ajmal,4088,AIUDF,50,M,GEN
ASSAM,DIBRUGARH,4/7/2014,Rameshwar Teli,81,BJP,43,M,GEN
ASSAM,GAUHATI,4/24/2014,Smt. Bijoya Chakraborty,82,BJP,75,F,GEN
