s.no.,name,father,spouse,mother
1,Shri Abdul Wahab,Late Shri Alavikutty,Shrimati Yasmine Wahab,Shrimati Fathima
2,Shri Khekiho Zhimomi,Shri Hezukhu Zhimomi,Shrimati Khezheli Zhimomi,Shrimati Hetoli Zhimomi
3,Shri Sitaram Yechury,Late Shri S.S. Yechury,Shrimati Seema Chishti Yechury,Shrimati  Kalpakam Yechury
4,Shri Sharad Yadav,Late Shri Nand Kishore Yadav,Dr. Rekha  Yadav,Shrimati Sumitra Devi
5,Prof. Ram Gopal Yadav,Late Shri Bachchi Lal,Late Shrimati Phoolan Devi,Late Shrimati Phoolwati
6,Shri Darshan Singh Yadav,Late Shri Kamta Prasad Yadav,Shrimati Shakuntala Devi,Late Shrimati Rama Devi
7,Dr. Chandrapal Singh Yadav,Late Shri Thakur  Prasad Yadav,Shrimati Gyanwati Yadav,Late Shrimati Indrani Yadav
8,Shri Bhupender Yadav,Shri Kadam Singh,Shrimati Babita Yadav,Shrimati Santra Devi
9,Shri Motilal Vora,Late Shri Mohanlal Vora,Shrimati Shanti Devi Vora,Late Shrimati Amba Bai
10,Smt. Vijila Sathyananth,Shri P. John Ebenezer,Shri Sathyananth Srinivasagam,Shrimati Rethnakumari Ebenezer
11,Shri Ravi Prakash Verma,Late Shri Bal Govind Verma,Shrimati Anita Verma,Shrimati Usha Verma
12,Shri Shankarbhai N. Vegad,Shri Nanubhai,Shrimati Vijuben Shankarbhai Vegad,Shrimati Kankuben
13,Shri Pavan Kumar Varma,Shri Badri Nath Varma,Shrimati Renuka Varma,Shrimati Shakuntala Varma
14,Shri Lal Sinh Vadodia,Shri Udesinh Vadodia,Shrimati Madhukanta Ben L. Vadodia,Shrimati Fulba Vadodia
15,Shri K.C. Tyagi,Late Shri Jagram Singh Tyagi,Shrimati Pushpa Tyagi,Late Shrimati Rohtash Tyagi
16,Mahant Shambhuprasadji Tundiya,Shri Baldevdasji,Shrimati Amishaben,Shrimati Savitaben
17,Shri K.T.S. Tulsi,Late Shri Gurcharan Singh Tulsi,Shrimati Suman Tulsi,Late Shrimati Baljit Kaur Tulsi
18,Shri D.P. Tripathi,Late Shri Rajdeo Tripathi,Shrimati Rukmini Tripathi,Late Shrimati Ram Pyari Devi
19,Shri Ronald Sapa Tlau,Late Shri Chhuanvawra Tlau,Shrimati Ramthanpari Tlau,Late Shrimati Chawngthaneg Tlau
20,Shri Pramod Tiwari,Late Shri Saryu Prasad Tiwari,Late Dr. Alka Tiwari,Late Shrimati Indrani Devi
21,Shri Alok Tiwari,Late Shri Brij Bhushan Tiwari,Shrimati Prabha Tiwari,Shrimati Nirmala Tiwari
22,Shri Dilip Kumar Tirkey,Shri Vinsent Tirkey,Shrimati Meera Sushila Tirkey,Shrimati Regina Tirkey
23,Shri S. Thangavelu,Shri U. Sankaramurthy,Shrimati T. Packiam,Shrimati S. Kaliammal
24,Smt. Viplove Thakur,Late Shri Paras Ram,Late Shri Thakur Harnam Singh,Late Shrimati Sarla Sharma
