constid,State,Constituency
1,ANDAMAN & NICOBAR ISLANDS,ANDAMAN & NICOBAR ISLANDS
2,ANDHRA PRADESH,NARSAPURAM
3,ANDHRA PRADESH,VISAKHAPATNAM
4,ANDHRA PRADESH,AMALAPURAM
5,ANDHRA PRADESH,ANAKAPALLE
6,ANDHRA PRADESH,ANANTAPUR
7,ANDHRA PRADESH,BAPATLA
8,ANDHRA PRADESH,CHITTOOR
9,ANDHRA PRADESH,ELURU
10,ANDHRA PRADESH,GUNTUR
11,ANDHRA PRADESH,HINDUPUR
12,ANDHRA PRADESH,KAKINADA
13,ANDHRA PRADESH,MACHILIPATNAM
14,ANDHRA PRADESH,NARASARAOPET
15,ANDHRA PRADESH,RAJAHMUNDRY
16,ANDHRA PRADESH,SRIKAKULAM
17,ANDHRA PRADESH,VIJAYAWADA
18,ANDHRA PRADESH,VIZIANAGARAM
19,ANDHRA PRADESH,ARAKU
20,ANDHRA PRADESH,KADAPA
21,ANDHRA PRADESH,KURNOOL
22,ANDHRA PRADESH,NANDYAL
23,ANDHRA PRADESH,NELLORE
24,ANDHRA PRADESH,ONGOLE
25,ANDHRA PRADESH,RAJAMPET
26,ANDHRA PRADESH,TIRUPATI
27,ARUNACHAL PRADESH,ARUNACHAL WEST
28,ARUNACHAL PRADESH,ARUNACHAL EAST
29,ASSAM,BARPETA
30,ASSAM,DHUBRI
31,ASSAM,KARIMGANJ
32,ASSAM,DIBRUGARH
33,ASSAM,GAUHATI
34,ASSAM,JORHAT
35,ASSAM,LAKHIMPUR
36,ASSAM,MANGALDOI
37,ASSAM,NOWGONG
38,ASSAM,TEZPUR
39,ASSAM,AUTONOMOUS DISTRICT
40,ASSAM,KALIABOR
41,ASSAM,SILCHAR
42,ASSAM,KOKRAJHAR
43,BIHAR,ARRAH
44,BIHAR,AURANGABAD
45,BIHAR,BEGUSARAI
46,BIHAR,BUXAR
47,BIHAR,DARBHANGA
48,BIHAR,GAYA
49,BIHAR,GOPALGANJ
50,BIHAR,JHANJHARPUR
51,BIHAR,MADHUBANI
52,BIHAR,MAHARAJGANJ
53,BIHAR,MUZAFFARPUR
54,BIHAR,NAWADA
55,BIHAR,PASCHIM CHAMPARAN
56,BIHAR,PATALIPUTRA
57,BIHAR,PATNA SAHIB
58,BIHAR,PURVI CHAMPARAN
59,BIHAR,SARAN
60,BIHAR,SASARAM
61,BIHAR,SHEOHAR
62,BIHAR,SIWAN
63,BIHAR,UJIARPUR
64,BIHAR,VALMIKI NAGAR
65,BIHAR,KISHANGANJ
66,BIHAR,SUPAUL
67,BIHAR,NALANDA
68,BIHAR,PURNIA
69,BIHAR,HAJIPUR
70,BIHAR,JAMUI
71,BIHAR,KHAGARIA
72,BIHAR,MUNGER
73,BIHAR,SAMASTIPUR
74,BIHAR,VAISHALI
75,BIHAR,KATIHAR
76,BIHAR,JAHANABAD
77,BIHAR,KARAKAT
78,BIHAR,SITAMARHI
79,BIHAR,ARARIA
80,BIHAR,BANKA
81,BIHAR,BHAGALPUR
82,BIHAR,MADHEPURA
83,CHANDIGARH,CHANDIGARH
84,CHHATTISGARH,BASTAR
85,CHHATTISGARH,BILASPUR
86,CHHATTISGARH,JANJGIR-CHAMPA
87,CHHATTISGARH,KANKER
88,CHHATTISGARH,KORBA
89,CHHATTISGARH,MAHASAMUND
90,CHHATTISGARH,RAIGARH
91,CHHATTISGARH,RAIPUR
92,CHHATTISGARH,RAJNANDGAON
93,CHHATTISGARH,SURGUJA
94,CHHATTISGARH,DURG
95,DADRA & NAGAR HAVELI,DADRA & NAGAR HAVELI
96,DAMAN & DIU,DAMAN & DIU
97,GOA,NORTH GOA
98,GOA,SOUTH GOA
99,GUJARAT,AHMEDABAD EAST
100,GUJARAT,AHMEDABAD WEST
101,GUJARAT,AMRELI
102,GUJARAT,ANAND
103,GUJARAT,BANASKANTHA
104,GUJARAT,BARDOLI
105,GUJARAT,BHARUCH
106,GUJARAT,BHAVNAGAR
107,GUJARAT,CHHOTA UDAIPUR
108,GUJARAT,DAHOD
109,GUJARAT,GANDHINAGAR
110,GUJARAT,JAMNAGAR
111,GUJARAT,JUNAGADH
112,GUJARAT,KACHCHH
113,GUJARAT,KHEDA
114,GUJARAT,MAHESANA
115,GUJARAT,NAVSARI
116,GUJARAT,PANCHMAHAL
117,GUJARAT,PATAN
118,GUJARAT,PORBANDAR
119,GUJARAT,RAJKOT
120,GUJARAT,SABARKANTHA
121,GUJARAT,SURAT
122,GUJARAT,SURENDRANAGAR
123,GUJARAT,VADODARA
124,GUJARAT,VALSAD
125,HARYANA,AMBALA
126,HARYANA,BHIWANI-MAHENDRAGARH
127,HARYANA,FARIDABAD
128,HARYANA,GURGAON
129,HARYANA,KARNAL
130,HARYANA,KURUKSHETRA
131,HARYANA,SONIPAT
132,HARYANA,ROHTAK
133,HARYANA,HISAR
134,HARYANA,SIRSA
135,HIMACHAL PRADESH,HAMIRPUR
136,HIMACHAL PRADESH,KANGRA
137,HIMACHAL PRADESH,MANDI
138,HIMACHAL PRADESH,SHIMLA
139,JAMMU & KASHMIR,JAMMU
140,JAMMU & KASHMIR,LADAKH
141,JAMMU & KASHMIR,UDHAMPUR
142,JAMMU & KASHMIR,ANANTNAG
143,JAMMU & KASHMIR,BARAMULLA
144,JAMMU & KASHMIR,SRINAGAR
145,JHARKHAND,CHATRA
146,JHARKHAND,DHANBAD
147,JHARKHAND,GIRIDIH
148,JHARKHAND,GODDA
149,JHARKHAND,HAZARIBAGH
150,JHARKHAND,KHUNTI
151,JHARKHAND,KODARMA
152,JHARKHAND,LOHARDAGA
153,JHARKHAND,PALAMAU
154,JHARKHAND,RANCHI
155,JHARKHAND,SINGHBHUM
156,JHARKHAND,DUMKA
157,JHARKHAND,RAJMAHAL
158,KARNATAKA,BAGALKOT
159,KARNATAKA,BANGALORE CENTRAL
160,KARNATAKA,BANGALORE NORTH
161,KARNATAKA,BANGALORE SOUTH
162,KARNATAKA,BELGAUM
163,KARNATAKA,BELLARY
164,KARNATAKA,BIDAR
165,KARNATAKA,BIJAPUR
166,KARNATAKA,DAKSHINA KANNADA
167,KARNATAKA,DAVANAGERE
168,KARNATAKA,DHARWAD
169,KARNATAKA,HAVERI
170,KARNATAKA,KOPPAL
171,KARNATAKA,MYSORE
172,KARNATAKA,SHIMOGA
173,KARNATAKA,UDUPI CHIKMAGALUR
174,KARNATAKA,UTTARA KANNADA
175,KARNATAKA,BANGALORE RURAL
176,KARNATAKA,CHAMARAJANAGAR
177,KARNATAKA,CHIKKBALLAPUR
178,KARNATAKA,CHIKKODI
179,KARNATAKA,CHITRADURGA
180,KARNATAKA,GULBARGA
181,KARNATAKA,KOLAR
182,KARNATAKA,RAICHUR
183,KARNATAKA,TUMKUR
184,KARNATAKA,HASSAN
185,KARNATAKA,MANDYA
186,KERALA,THRISSUR
187,KERALA,ALATHUR
188,KERALA,ATTINGAL
189,KERALA,KANNUR
190,KERALA,KASARAGOD
191,KERALA,PALAKKAD
192,KERALA,ALAPPUZHA
193,KERALA,ERNAKULAM
194,KERALA,KOZHIKODE
195,KERALA,MAVELIKKARA
196,KERALA,PATHANAMTHITTA
197,KERALA,THIRUVANANTHAPURAM
198,KERALA,VADAKARA
199,KERALA,WAYANAD
200,KERALA,CHALAKUDY
201,KERALA,IDUKKI
202,KERALA,MALAPPURAM
203,KERALA,PONNANI
204,KERALA,KOTTAYAM
205,KERALA,KOLLAM
206,LAKSHADWEEP,LAKSHADWEEP
207,MADHYA PRADESH,BALAGHAT
208,MADHYA PRADESH,BETUL
209,MADHYA PRADESH,BHIND
210,MADHYA PRADESH,BHOPAL
211,MADHYA PRADESH,DAMOH
212,MADHYA PRADESH,DEWAS
213,MADHYA PRADESH,DHAR
214,MADHYA PRADESH,GWALIOR
215,MADHYA PRADESH,HOSHANGABAD
216,MADHYA PRADESH,INDORE
217,MADHYA PRADESH,JABALPUR
218,MADHYA PRADESH,KHAJURAHO
219,MADHYA PRADESH,KHANDWA
220,MADHYA PRADESH,KHARGONE
221,MADHYA PRADESH,MANDLA
222,MADHYA PRADESH,MANDSOUR
223,MADHYA PRADESH,MORENA
224,MADHYA PRADESH,RAJGARH
225,MADHYA PRADESH,RATLAM
226,MADHYA PRADESH,REWA
227,MADHYA PRADESH,SAGAR
228,MADHYA PRADESH,SATNA
229,MADHYA PRADESH,SHAHDOL
230,MADHYA PRADESH,SIDHI
231,MADHYA PRADESH,TIKAMGARH
232,MADHYA PRADESH,UJJAIN
233,MADHYA PRADESH,VIDISHA
234,MADHYA PRADESH,CHHINDWARA
235,MADHYA PRADESH,GUNA
236,MAHARASHTRA,AHMEDNAGAR
237,MAHARASHTRA,AKOLA
238,MAHARASHTRA,BEED
239,MAHARASHTRA,BHANDARA-GONDIYA
240,MAHARASHTRA,BHIWANDI
241,MAHARASHTRA,CHANDRAPUR
242,MAHARASHTRA,DHULE
243,MAHARASHTRA,DINDORI
244,MAHARASHTRA,GADCHIROLI-CHIMUR
245,MAHARASHTRA,JALGAON
