id,name,person_name,designation
6,"ACC Ltd","N S Sekhsaria",Chairman
6,"ACC Ltd","Paul Hugentobler","Deputy Chairman"
6,"ACC Ltd","S M Palia",Director
6,"ACC Ltd","Naresh Chandra",Director
6,"ACC Ltd","M L Narula",Director
6,"ACC Ltd","R A Shah",Director
6,"ACC Ltd","Shailesh Haribhakti",Director
6,"ACC Ltd","Kuldip Kaura","Managing Director & CEO"
6,"ACC Ltd","Burjor Dorab Nariman","Company Secretary"
6,"ACC Ltd","Aidan Lynam",Director
6,"ACC Ltd","Sushil Kumar Roongta",Director
6,"ACC Ltd","Ashwin Dani","Additional Director"
6,"ACC Ltd","Bernard Fontana",Director
10,"Torrent Power AEC Ltd(merged)","Rohit C Mehta",Chairman
10,"Torrent Power AEC Ltd(merged)","Markand Bhatt",Director
10,"Torrent Power AEC Ltd(merged)","G K Choksi",Director
10,"Torrent Power AEC Ltd(merged)","S B Kunwar","Nominee (LIC)"
10,"Torrent Power AEC Ltd(merged)","S Majumder","Nominee (GIC)"
10,"Torrent Power AEC Ltd(merged)","Sudhir Mehta",Director
10,"Torrent Power AEC Ltd(merged)","Samir Mehta",Director
10,"Torrent Power AEC Ltd(merged)","P K Taneja","Nominee (Govt)"
10,"Torrent Power AEC Ltd(merged)","G Venkataraman","Additional Director"
10,"Torrent Power AEC Ltd(merged)","Murli Ranganathan","Director & Chief Executive Off"
10,"Torrent Power AEC Ltd(merged)","L Chuaungo",Director
10,"Torrent Power AEC Ltd(merged)","Jagdish Ajitkumar Mehta","Company Secretary"
23,"Apollo Tyres Ltd","S Narayan",Director
23,"Apollo Tyres Ltd","Onkar S Kanwar","Chairman & Managing Director"
23,"Apollo Tyres Ltd","M R B Punja",Director
23,"Apollo Tyres Ltd","Robert Steinmetz",Director
23,"Apollo Tyres Ltd","Neeraj Kanwar","Vice Chairman & M.D."
23,"Apollo Tyres Ltd","A K Purwar",Director
23,"Apollo Tyres Ltd","Sunam Sarkar","Whole-time Director"
23,"Apollo Tyres Ltd","U S Oberoi","Whole-time Director"
23,"Apollo Tyres Ltd","P N Wahal","Company Secretary"
23,"Apollo Tyres Ltd","K Jacob Thomas",Director
23,"Apollo Tyres Ltd","Shardul S Shroff",Director
23,"Apollo Tyres Ltd","Nimesh N Kampani",Director
23,"Apollo Tyres Ltd","V P Joy","Nominee (Kerala Govt)"
23,"Apollo Tyres Ltd","Alkesh Kumar Sharma","Nominee (Kerala Govt)"
29,"Arvind Ltd","Sanjay S Lalbhai","Chairman & Managing Director"
29,"Arvind Ltd","Jayesh K Shah","Whole Time Director & CFO"
29,"Arvind Ltd","R V Bhimani","Company Secretary"
29,"Arvind Ltd","Sudhir Mehta",Director
29,"Arvind Ltd","Munesh Khanna",Director
29,"Arvind Ltd","G M Yadwadkar","Nominee (IDBI)"
29,"Arvind Ltd","Bakul H Dholakia",Director
29,"Arvind Ltd","Renuka Ramnath",Director
