name,mynetaid,partyid,stateid,StateType,constid
Bishnu Pada Ray,585,9,1,U,1
Gokaraju Ganga Raju,9455,9,2,S,2
Dr. Kambhampati Hari Babu,9055,9,2,S,3
Pandula Ravindra Babu,8160,34,2,S,4
Muttamsetti Srinivasa Rao,8245,34,2,S,5
Jutur Chinna Reddy Divakar Reddy,8326,34,2,S,6
Malyadri Sriram,8482,34,2,S,7
Naramalli Sivaprasad,8170,34,2,S,8
Venkateswara Rao Maganti,8178,34,2,S,9
Jayadev Galla,8183,34,2,S,10
Kristappa Nimmala,8911,34,2,S,11
Thota Venkata Narasimham,8194,34,2,S,12
Konakalla Narayana Rao,8339,34,2,S,13
Rayapati Sambasiva Rao,8213,34,2,S,14
Murali Mohan Maganti,8985,34,2,S,15
Rammohannaidu Kinjarapu,8230,34,2,S,16
Srinivas Kesineni,8239,34,2,S,17
Ashok Gajapathi Raju Pusapati,9061,34,2,S,18
Kothapalli Geetha,8865,36,2,S,19
Avinash Reddy Yeduguri Sandinti,8191,36,2,S,20
Butta Renuka,8202,36,2,S,21
S.P.Y Reddy,8211,36,2,S,22
Mekapati Rajamohan Reddy,8343,36,2,S,23
Yarram Venkata Subbareddy,8505,36,2,S,24
P.V.Midhun Reddy,8510,36,2,S,25
Varaprasad Rao Velagapalli,8233,36,2,S,26
Kiren Rijiju,246,9,3,S,27
Ninong Ering,406,12,3,S,28
Rameshwar Teli,81,9,4,S,32
Smt. Bijoya Chakraborty,82,9,4,S,33
Kamakhya Prasad Tasa,85,9,4,S,34
Sarbananda Sonowal,517,9,4,S,35
Ramen Deka,83,9,4,S,36
Rajen Gohain,84,9,4,S,37
Ram Prasad Sarmah,80,9,4,S,38
Biren Singh Engti,2271,12,4,S,39
Gourav Gogoi,115,12,4,S,40
Sushmita Dev,2255,12,4,S,41
Siraj Uddin Ajmal,4857,4,4,S,29
Badruddin Ajmal,4088,4,4,S,30
Radheshyam Biswas,2240,4,4,S,31
Naba Kumar Sarania,4096,13,4,S,42
Raj Kumar Singh,2641,9,5,S,43
Sushil Kumar Singh,371,9,5,S,44
Bhola Singh,6156,9,5,S,45
Ashwini Kumar Choubey,2656,9,5,S,46
Kirti Azad,6166,9,5,S,47
Hari Manjhi,155,9,5,S,48
Janak Ram,9138,9,5,S,49
Birendra Kumar Chaudhary,6180,9,5,S,50
Hukum Deo Narayan Yadav,6237,9,5,S,51
Janardan Singh Sigriwal,87,9,5,S,52
Ajay Nishad,8130,9,5,S,53
Giriraj Singh,149,9,5,S,54
Dr. Sanjay Jayaswal,114,9,5,S,55
Ram Kripal Yadav,2750,9,5,S,56
Shatrughan Sinha,88,9,5,S,57
Radha Mohan Singh,9156,9,5,S,58
Rajiv Pratap Rudy,8143,9,5,S,59
Chhedi Paswan,145,9,5,S,60
Rama Devi,8144,9,5,S,61
Om Prakash Yadav,9167,9,5,S,62
Nityanand Rai,8154,9,5,S,63
Satish Dubey,113,9,5,S,64
Mohammad Asrarul Haque,4488,12,5,S,65
Ranjeet Ranjan,4499,12,5,S,66
Taslim Uddin,4456,27,5,S,79
Jaiprakash Narayan Yadav,4467,27,5,S,80
Shailesh Kumar Urph Bulo Mandal,4470,27,5,S,81
Rajesh Ranjan Urf Pappu Yadav,6198,27,5,S,82
Ram Vilas Paswan,8120,21,5,S,69
Chirag Kumar Paswan,158,21,5,S,70
Choudhary Mahboob Ali Kaiser,6773,21,5,S,71
Veena Devi,2695,21,5,S,72
Ram Chandra Paswan,6248,21,5,S,73
Rama Kishore Singh,9179,21,5,S,74
Dr. Arun Kumar,2671,26,5,S,76
Upendra Kushwaha,554,26,5,S,77
Ram Kumar Sharma,8558,26,5,S,78
Shah Tariq Anwar,4109,22,5,S,75
Kaushlendra Kumar,2725,17,5,S,67
Santosh Kumar,3975,17,5,S,68
Smt. Kirron Kher,72,9,6,S,83
Dinesh Kashyap,111,9,7,U,84
Lakhanlal Sau S/O Kalyan Lal Sahu,106,9,7,U,85
Smt. Kamla Patle,104,9,7,U,86
Vikram Usendi,112,9,7,U,87
Dr. Banshilal Mahato,105,9,7,U,88
Chandu Lal Sahu (Chandu Bhaiya) S/O Late Puneen Ram,110,9,7,U,89
Vishnudev Sai,103,9,7,U,90
Ramesh Bais,109,9,7,U,91
Abhishek Singh,107,9,7,U,92
Kamalbhan Singh,102,9,7,U,93
Tamradwaj Sahu,3985,12,7,U,94
Natubhai G. Patel,7905,9,8,U,95
Patel Lalubhai Babubhai,6084,9,9,U,96
Shripad Yesso Naik,1979,9,10,S,97
Adv. Narendra Keshav Sawaikar,1989,9,10,S,98
Paresh Dahyalal Rawal,5283,9,11,S,99
Dr. Solanki Kiritbhai Premjibhai,4562,9,11,S,100
Kachhadiya Naranbhai Bhikhabhai,5294,9,11,S,101
Patel Dilipbhai Manibhai,5296,9,11,S,102
Chaudhry Haribhai Parthibhai,4570,9,11,S,103
Parbhubhai Nagarbhai Vasava,7303,9,11,S,104
Mansukhbhai Dhanjibhai Vasava,4581,9,11,S,105
Shyal Bhartiben Dhirubhai,5309,9,11,S,106
Rathwa Ramsingbhai Patalbhai,4588,9,11,S,107
Bhabhor Jasvantsinh Sumanbhai,5311,9,11,S,108
Lal Krishna Advani,4596,9,11,S,109
Maadam Poonamben Hematbhai,5336,9,11,S,110
Chudasama Rajeshbhai Naranbhai,4605,9,11,S,111
Chavda Vinod Lakhmashi,4608,9,11,S,112
Chauhan Devusinh Jesingbhai,4615,9,11,S,113
Patel Jayshreeben Kanubhai,5354,9,11,S,114
Patil Chandrakant Raghunath,5358,9,11,S,115
Chauhan Prabhatsinh Pratapsinh,5362,9,11,S,116
Vaghela Liladharbhai Khodaji,6500,9,11,S,117
Radadiya Vithalbhai Hansrajbhai,6518,9,11,S,118
Mohanbhai Kalyanjibhai Kundariya,6531,9,11,S,119
Rathod Dipsinh Shankarsinh,6552,9,11,S,120
Jardosh Darshnaben Vikrambhai,5315,9,11,S,121
Fatepara Devajibhai Govindbhai,6575,9,11,S,122
Bhatt Ranjanaben Dhananjay,9858,9,11,S,123
Dr. K.C.Patel,6597,9,11,S,124
