name,id,income_rs_crore,expenditure_rs_crore,net_profit_rs_crore,value_rs_crore
"Indian Oil Corporation Ltd",12002,"340,669.23","324,324.56","7,445.48",340669.2300
"Reliance Industries Ltd",476,"336,968.00","297,157.00","20,040.00",336968.0000
"Bharat Petroleum Corporation Ltd",2290,"154,649.20","149,481.87","1,546.68",154649.2000
"Hindustan Petroleum Corporation Ltd",2305,"139,305.65","134,668.56","1,539.01",139305.6500
"SBI Dfhi Ltd",13156,"88,792.89","88,707.11",56.94,88792.8900
"Food Corporation of India",12058,"74,713.55","72,592.02",-364.62,74713.5500
"Oil & Natural Gas Corpn Ltd",6068,"71,735.93","42,095.11","18,924.00",71735.9300
"MMTC Ltd",2292,"68,072.67","67,495.44",121.64,68072.6700
"NTPC Ltd",12001,"59,102.33","42,417.96","9,102.59",59102.3300
"Essar Oil Ltd",5302,"49,416.97","46,637.48",653.88,49416.9700
"Tata Motors Ltd",560,"48,817.65","43,876.66","1,811.82",48817.6500
"Steel Authority of India Ltd",2299,"46,375.04","37,219.98","4,904.74",46375.0400
"Larsen & Toubro Ltd",348,"45,978.37","38,753.57","3,957.89",45978.3700
"Bharat Heavy Electricals Ltd",2306,"43,382.37","33,778.08","6,011.20",43382.3700
"Tata Consultancy Services Ltd",5400,"41,543.46","27,472.56","10,975.98",41543.4600
"Mangalore Refinery And Petrochemicals Ltd",2496,"40,007.99","37,775.12","1,176.63",40007.9900
"Bharti Airtel Ltd",15542,"38,346.00","25,085.60","7,716.90",38346.0000
"Maruti Suzuki India Ltd",5496,"37,582.40","33,435.70","2,288.60",37582.4000
"Chennai Petroleum Corporation Ltd",2339,"33,743.40","32,410.79",511.52,33743.4000
"Infosys Ltd",2806,"33,567.00","21,191.00","8,470.00",33567.0000
"GAIL (India) Ltd",12350,"33,109.71","27,138.57","3,561.13",33109.7100
"Tata Steel Ltd",566,"30,746.45","18,137.14","6,865.69",30746.4500
"Bharat Sanchar Nigam Ltd",22008,"29,687.62","26,147.60","-6,384.26",29687.6200
"Reliance Petroleum Ltd (Merged)",3306,"28,983.93","25,700.79","1,463.55",28983.9300
"Wipro Ltd",614,"26,935.40","20,571.20","4,843.70",26935.4000
"Hindalco Industries Ltd",252,"24,570.63","21,068.45","2,136.92",24570.6300
"JSW Steel Ltd",4764,"24,284.60","19,273.19","2,010.67",24284.6000
"Mahindra & Mahindra Ltd",365,"24,244.79","20,240.46","2,662.10",24244.7900
"Petronet LNG Ltd",20099,"22,780.74","20,866.37","1,057.54",22780.7400
"ITC Ltd",301,"22,269.95","14,267.69","4,987.61",22269.9500
"Indian Farmers Fertilizer Cooperative Ltd",12399,"21,926.25","19,689.46",791.49,21926.2500
