,Sno_df1,Candidate_df1,Constituency_df1,Party_df1,Criminal Case_df1,Education_df1,Total Assets_df1,Liabilities_df1,id_df2,name_df2,person_name_df2,designation_df2
0,14,aditya nath,Gorakhpur,BJP,2,Graduate,"Rs 21,82,212
~ 21 Lacs+","Rs 0
~",751,McNally Bharat Engineering Company Ltd,aditya khaitan,Director
1,14,aditya nath,Gorakhpur,BJP,2,Graduate,"Rs 21,82,212
~ 21 Lacs+","Rs 0
~",18593,Andhra Pradesh Power Generation Corporation Ltd,aditya nath das,Director
2,14,aditya nath,Gorakhpur,BJP,2,Graduate,"Rs 21,82,212
~ 21 Lacs+","Rs 0
~",24988,Mcleod Russel India Ltd,aditya khaitan,Managing Director
3,22,ajit singh,Baghpat,RLD,0,Post Graduate,"Rs 5,82,32,462
~ 5 Crore+","Rs 13,077
~ 13 Thou+",237,Hero MotoCorp Ltd,analjit singh,Director
4,22,ajit singh,Baghpat,RLD,0,Post Graduate,"Rs 5,82,32,462
~ 5 Crore+","Rs 13,077
~ 13 Thou+",557,Tata Global Beverages Ltd,analjit singh,Director
5,22,ajit singh,Baghpat,RLD,0,Post Graduate,"Rs 5,82,32,462
~ 5 Crore+","Rs 13,077
~ 13 Thou+",2966,Motherson Sumi Systems Ltd,amarjit singh,Director
6,22,ajit singh,Baghpat,RLD,0,Post Graduate,"Rs 5,82,32,462
~ 5 Crore+","Rs 13,077
~ 13 Thou+",2970,Trident Ltd,kavita singh,Director
7,22,ajit singh,Baghpat,RLD,0,Post Graduate,"Rs 5,82,32,462
~ 5 Crore+","Rs 13,077
~ 13 Thou+",3392,Dabur India Ltd,analjit singh,Director
8,22,ajit singh,Baghpat,RLD,0,Post Graduate,"Rs 5,82,32,462
~ 5 Crore+","Rs 13,077
~ 13 Thou+",6890,DLF Ltd,rajiv singh,Vice Chairman
9,22,ajit singh,Baghpat,RLD,0,Post Graduate,"Rs 5,82,32,462
~ 5 Crore+","Rs 13,077
~ 13 Thou+",6890,DLF Ltd,rajiv singh,Vice Chairman
10,22,ajit singh,Baghpat,RLD,0,Post Graduate,"Rs 5,82,32,462
~ 5 Crore+","Rs 13,077
~ 13 Thou+",27581,C & C Constructions Ltd,rajbir singh,Whole-time Director
11,22,ajit singh,Baghpat,RLD,0,Post Graduate,"Rs 5,82,32,462
~ 5 Crore+","Rs 13,077
~ 13 Thou+",3356,Rana Sugars Ltd,baljit singh,Director
12,22,ajit singh,Baghpat,RLD,0,Post Graduate,"Rs 5,82,32,462
~ 5 Crore+","Rs 13,077
~ 13 Thou+",5458,GVK Industries Ltd,ajit singh,Director
13,32,ananth kumar,Bangalore South,BJP,0,Graduate Professional,"Rs 1,22,06,366
~ 1 Crore+","Rs 0
~",12519,Vodafone Digilink Ltd,ranjan kumar,Company Secretary
14,40,anup kumar saha,Bardhaman Purba,CPM,0,Post Graduate,"Rs 74,72,944
~ 74 Lacs+","Rs 0
~",24474,IL&FS Financial Services Ltd,arun kumar saha,Director
