,state_x,Constituency,Date Of Election,name_x,Candidate ID,Party,Age,Sex,Category,score,Unnamed: 0,id,name_y,state_y,designation
0,ANDHRA PRADESH,GUNTUR,5/7/2014,Jayadev Galla,8183,TDP,48,M,GEN,0.9287559986,1906,2110,Jayadev Galla,Andhra Pradesh,Managing Director
0,ORISSA,KENDRAPARA,4/17/2014,Sri Baijayant Panda,3287,BJD,50,M,GEN,0.3924995065,7389,5807,Baijayant Panda,Orissa,Vice Chairman
0,ANDHRA PRADESH,ELURU,5/7/2014,Venkateswara Rao Maganti,8178,TDP,54,M,GEN,0.3335516453,3594,12208,C Venkateswara Rao,Andhra Pradesh,Director
0,UTTAR PRADESH,JALAUN,4/30/2014,Bhanu Pratap Singh,5540,BJP,55,M,SC,0.2310728431,4045,14057,Arun Pratap Singh,Uttar Pradesh,Company Secretary
0,UTTAR PRADESH,HATHRAS,4/24/2014,Rajesh Kumar,5018,BJP,43,M,SC,0.1758296341,9277,28565,Rajesh Kumar Dugar,Andhra Pradesh,Alternate Director
0,UTTAR PRADESH,ALIGARH,4/10/2014,Satish Kumar,682,BJP,42,M,GEN,0.1588195413,4779,21351,Satish Kumar Vuppalapati,Andhra Pradesh,Managing Director
0,UTTAR PRADESH,KHERI,4/17/2014,Ajay Kumar,3107,BJP,55,M,GEN,0.1562045813,8980,26539,Ajay Kumar Makhariya,Andhra Pradesh,Executive Director
0,WEST BENGAL,BARDHAMAN PURBA,4/30/2014,Sunil Kumar Mondal,6007,AITC,55,M,SC,0.1461143494,7941,13819,Sunil Kumar Agrawal,West Bengal,Whole-time Director
0,TAMIL NADU,DINDIGUL,4/24/2014,Udhaya Kumar .M,6322,AIADMK,45,M,GEN,0.1223854423,6614,1908,K Udhaya Kumar,Tamil Nadu,President & COO
0,RAJASTHAN,NAGAUR,4/17/2014,C R Choudhary,3452,BJP,66,M,GEN,0.1010783017,5889,288,C R Dua,Rajasthan,Director
0,UTTAR PRADESH,KAUSHAMBI,5/7/2014,Vinod Kumar,8080,BJP,44,M,SC,0.0942963064,4155,15192,Vinod Kumar Bhalla,Madhya Pradesh,Director
0,ANDHRA PRADESH,NARASARAOPET,5/7/2014,Rayapati Sambasiva Rao,8213,TDP,70,M,GEN,0.0696811229,8877,25048,Chunduru Sambasiva Rao,Andhra Pradesh,Director
0,UTTAR PRADESH,GHAZIABAD,4/10/2014,Vijay Kumar Singh,1667,BJP,62,M,GEN,0.0619368628,4147,15192,Vinay Kumar Singh,Madhya Pradesh,Managing Director
0,ANDHRA PRADESH,ANAKAPALLE,5/7/2014,Muttamsetti Srinivasa Rao,8245,TDP,47,M,GEN,0.0304060541,3593,12208,K Srinivasa Rao,Andhra Pradesh,Director
0,ANDHRA PRADESH,VISAKHAPATNAM,5/7/2014,Dr. Kambhampati Hari Babu,9055,BJP,60,M,GEN,0.0068971328,2850,4596,B Hari Babu,Andhra Pradesh,Executive Director & COO
0,UTTAR PRADESH,MUZAFFARNAGAR,4/10/2014,Dr. Sanjeev Kumar Balyan,663,BJP,41,M,GEN,0.0068950611,2852,4596,Sanjeev Kumar Sethi,Andhra Pradesh,Director
0,UTTAR PRADESH,SITAPUR,4/30/2014,Rajesh Kumar Singh,5798,BJP,54,M,GEN,0.004824046,8015,14266,Praveen Kumar Singh,Himachal Pradesh,Whole-time Director
0,UTTAR PRADESH,SAMBHAL,4/17/2014,Satya Pal Singh,3189,BJP,40,M,GEN,0.0020668446,1896,2089,Chandra Pal Singh Yadav,Andhra Pradesh,Nominee (KRIBHCO)
0,UTTAR PRADESH,ETAWAH,4/24/2014,Ashok Kumar Doharey,4279,BJP,43,M,SC,0.0013459651,4153,15192,Ashok Kumar Sarkar,Madhya Pradesh,Director
