,Unnamed: 0_x,did_x,cid_x,name_x,cname_x,designation_x,dupno,Unnamed: 0_y,did_y,cid_y,name_y,cname_y,designation_y,verification,name_x[remove],cid_x[remove]
0,9,10,1742,a b godrej,Godrej Industries Ltd,Chairman,0,10,11,16166,a b godrej,Godrej Agrovet Ltd,Director,y,a b godrej,1742
1,12,13,12584,a b l srivastava,NHPC Ltd,CMD & Director (Finance),1,13,14,20076,a b l srivastava,PTC India Ltd,Director,y,a b l srivastava,12584
2,23,24,209,a c chakrabortti,Grindwell Norton Ltd,Chairman,2,24,25,856,a c chakrabortti,Denso India Ltd,Director,y,a c chakrabortti,209
3,24,25,856,a c chakrabortti,Denso India Ltd,Director,3,25,26,27419,a c chakrabortti,Texmaco Rail & Engineering Ltd,Director,y,a c chakrabortti,856
4,31,32,525,a c muthiah,Southern Petrochemicals Industries Corporation Ltd,Chairman & Managing Director,4,32,33,848,a c muthiah,Tamil Nadu Petro Products Ltd,Director,y,a c muthiah,525
5,52,53,25353,a j engineer,Tata Power Delhi Distribution Ltd,Chairman,5,53,54,21,a j engineer,Andhra Valley Power Supply Company Ltd (Merged),Managing Director,y,a j engineer,25353
6,53,54,21,a j engineer,Andhra Valley Power Supply Company Ltd (Merged),Managing Director,6,54,55,554,a j engineer,Tata Power Company Ltd,Director,y,a j engineer,21
7,54,55,554,a j engineer,Tata Power Company Ltd,Director,7,55,56,171,a j engineer,Finolex Cables Ltd,Director,y,a j engineer,554
8,59,60,13869,a k bajaj,THDC India Ltd,Nominee (Govt),8,60,61,14556,a k bajaj,Amrit Banaspati Company Ltd,Director,y,a k bajaj,13869
9,64,65,1140,a k basu,Sarda Energy & Minerals Ltd,Director,9,65,66,554,a k basu,Tata Power Company Ltd,Director,y,a k basu,1140
10,65,66,554,a k basu,Tata Power Company Ltd,Director,10,66,67,2291,a k basu,MSTC Ltd,Director (Finance),y,a k basu,554
11,66,67,2291,a k basu,MSTC Ltd,Director (Finance),11,67,68,13279,a k basu,Uranium Corporation Of India Ltd,Director,y,a k basu,2291
12,71,72,12178,a k chattopadhyay,TRL Krosaki Refractories Ltd,Managing Director,12,72,73,12020,a k chattopadhyay,Haldia Petrochemicals Ltd,Deputy Company Secretary,y,a k chattopadhyay,12178
13,77,78,2227,a k dasgupta,Welspun India Ltd,Director,13,78,79,242,a k dasgupta,ABB Ltd,Director,y,a k dasgupta,2227
14,78,79,242,a k dasgupta,ABB Ltd,Director,14,79,80,227,a k dasgupta,Grasim Industries Ltd,Nominee (LIC),y,a k dasgupta,242
15,83,84,2626,a k goel,Dhampur Sugar Mills Ltd,Vice Chairman,15,84,85,18593,a k goel,Andhra Pradesh Power Generation Corporation Ltd,Chairman,y,a k goel,2626
16,84,85,18593,a k goel,Andhra Pradesh Power Generation Corporation Ltd,Chairman,16,85,86,13397,a k goel,Singareni Collieries Company Ltd,Director,y,a k goel,18593
17,86,87,14266,a k goswami,Jaiprakash Power Ventures Ltd,Director,17,87,88,2299,a k goswami,Steel Authority of India Ltd,Director(PartTime NonOfficial),y,a k goswami,14266
18,88,89,1021,a k gupta,Videocon International Ltd(merged),Nominee (IFCI),18,89,90,2626,a k gupta,Dhampur Sugar Mills Ltd,Director,y,a k gupta,1021
19,91,92,6068,a k hazarika,Oil & Natural Gas Corpn Ltd,Director (Onshore),19,92,93,5420,a k hazarika,ONGC Videsh Ltd,Chairman,y,a k hazarika,6068
20,93,94,85,a k hirjee,Bombay Dyeing & Manufacturing Company Ltd,Director,20,94,95,41,a k hirjee,Atlas Copco (India) Ltd,Chairman,y,a k hirjee,85
21,94,95,41,a k hirjee,Atlas Copco (India) Ltd,Chairman,21,95,96,93,a k hirjee,Britannia Industries Ltd,Director,y,a k hirjee,41
22,96,97,308,a k jain,Usha International Ltd,Director,22,97,98,665,a k jain,IBP Co. Ltd(merged),Director,y,a k jain,308
23,97,98,665,a k jain,IBP Co. Ltd(merged),Director,23,98,99,348,a k jain,Larsen & Toubro Ltd,Nominee (UTI),y,a k jain,665
24,98,99,348,a k jain,Larsen & Toubro Ltd,Nominee (UTI),24,99,100,3617,a k jain,Ipca Laboratories Ltd,Joint Managing Director,y,a k jain,348
25,99,100,3617,a k jain,Ipca Laboratories Ltd,Joint Managing Director,25,100,101,23244,a k jain,ISMT Ltd,Director,y,a k jain,3617
26,101,102,23244,a k jain,ISMT Ltd,Director,26,102,103,3392,a k jain,Dabur India Ltd,Company Secretary,y,a k jain,23244
27,102,103,3392,a k jain,Dabur India Ltd,Company Secretary,27,103,104,4490,a k jain,Bhilai Engineering Corporation Ltd,Joint Managing Director,y,a k jain,3392
28,107,108,24065,a k joti,Gujarat State Petronet Ltd,Chairman,28,108,109,213,a k joti,Gujarat Narmada Valley Fertilisers Company Ltd,Chairman,y,a k joti,24065
29,108,109,213,a k joti,Gujarat Narmada Valley Fertilisers Company Ltd,Chairman,29,109,110,217,a k joti,Gujarat Alkalies & Chemicals Ltd,Chairman,y,a k joti,213
30,109,110,217,a k joti,Gujarat Alkalies & Chemicals Ltd,Chairman,30,110,111,226,a k joti,Gujarat State Fertilizers & Chemicals Ltd,Chairman,y,a k joti,217
31,118,119,1879,a k mathur,Hind Lever Chemicals Ltd - (Merged),Chairman,31,119,120,22387,a k mathur,Ruchi Health Foods Ltd,Director,y,a k mathur,1879
32,120,121,2338,a k mehra,Mawana Sugars Ltd,Whole-time Director,32,121,122,4926,a k mehta,Era Infra Engineering Ltd,Director,y,a k mehra,2338
33,125,126,111,a k mukherjee,Exide Industries Ltd,Director (Finance) & CFO,33,126,127,5423,a k mukherjee,Indian Iron & Steel Company Ltd,Company Secretary,y,a k mukherjee,111
34,127,128,16996,a k nair,Strides Arcolab Ltd,Director,34,128,129,19611,a k nair,V-Guard Industries Ltd,Director,y,a k nair,16996
35,129,130,22071,a k nanda,Mahindra Intertrade Ltd,Director,35,130,131,365,a k nanda,Mahindra & Mahindra Ltd,Director,y,a k nanda,22071
36,133,134,13369,a k purwaha,Mahanagar Gas Ltd,Director,36,134,135,23296,a k purwar,India Infoline Ltd,Director,n,a k purwaha,13369
37,134,135,23296,a k purwar,India Infoline Ltd,Director,37,135,136,27206,a k purwar,Reliance Communications Ltd,Director,y,a k purwar,23296
38,135,136,27206,a k purwar,Reliance Communications Ltd,Director,38,136,137,23,a k purwar,Apollo Tyres Ltd,Director,y,a k purwar,27206
39,136,137,23,a k purwar,Apollo Tyres Ltd,Director,39,137,138,12029,a k purwar,Engineers India Ltd,Director(Parttime Non-officia),y,a k purwar,23
40,138,139,62,a k r nedungadi,Bayer CropScience Ltd,Director,40,139,140,256,a k r nedungadi,Sanofi India Ltd,Director,y,a k r nedungadi,62
41,143,144,12019,a k rath,Coal India Ltd,Independent Director,41,144,145,2496,a k rath,Mangalore Refinery And Petrochemicals Ltd,Director,y,a k rath,12019
