,Unnamed: 0,did,cid,name,cname,designation
0,0,1,195,a a nadkarni,Glaxosmithkline Pharma Ltd,Company Secretary
1,1,2,2598,a a v ranga raju,NCC Ltd,Managing Director
2,2,3,94,a abraham,Brooke Bond Lipton India Ltd (Merged),Director
3,3,4,566,a anjeneyan,Tata Steel Ltd,Company Secretary
4,4,5,4439,a appa rao,Heritage Foods (India) Ltd,Director
5,5,6,28591,a ayodhya rami reddy,Ramky Infrastructure Ltd,Executive Chairman
6,6,7,20695,a azhagesan,Telco Construction Equipment Company Ltd,Company Secretary
7,7,8,60,a b anand,Bata India Ltd,Vice President & CS
8,8,9,3663,a b chakrabartty,Kalpena Industries Ltd,Company Secretary
9,9,10,1742,a b godrej,Godrej Industries Ltd,Chairman
10,11,12,3627,a b joshi,Viraj Alloys Ltd,Director
11,12,13,12584,a b l srivastava,NHPC Ltd,CMD & Director (Finance)
12,14,15,1341,a b panchal,Torrent Power SEC Ltd(merged),Nominee (Govt)
13,15,16,3219,a b parekh,Pidilite Industries Ltd,Whole-time Director
14,16,17,23961,a b prasad,Sesa Resources Ltd,Director
15,17,18,704,a b rao,Ruchi Soya Industries Ltd,Director
16,18,19,25093,a b singh,Dharampal Satyapal Ltd,Company Secretary
17,19,20,24937,a b telang,National Textile Corpn. (South Maharashtra) Ltd,Nominee (BIFR)
18,20,21,3348,a bhattacharjee,SPML Infra Ltd,Director
19,21,22,2461,a c ashar,United Phosphorus Ltd,Director (Finance)
20,22,23,16233,a c burman,Gannon Dunkerley & Company Ltd,Director
21,23,24,209,a c chakrabortti,Grindwell Norton Ltd,Chairman
22,26,27,104,a c choksey,CEAT Ltd,Director
23,27,28,41,a c daga,Atlas Copco (India) Ltd,Company Secretary
24,28,29,361,a c gandhi,Mafatlal Industries Ltd,Director
25,29,30,2305,a c mahajan,Hindustan Petroleum Corporation Ltd,Director(PartTime NonOfficial)
26,30,31,22054,a c malik,Western Electricity Supply Co of Orissa Ltd,Director
27,31,32,525,a c muthiah,Southern Petrochemicals Industries Corporation Ltd,Chairman & Managing Director
28,33,34,2718,a c shah,Gujarat Industries Power Co Ltd,Company Secretary
29,34,35,17576,a c shroff,Excel Crop Care Ltd,Chairman
30,35,36,18363,a c wadhawan,Rajasthan State Mines & Minerals Ltd,Director
31,36,37,7620,a chatterjee,REI Agro Ltd,Director
32,37,38,12328,a chattopadhyay,Eastern Coalfields Ltd,Director (Personnel)
33,38,39,345,a d cooper,Trent Ltd,Director
34,39,40,4506,a d karajgaonkar,Jayaswal Neco Industries Ltd,Company Secretary
35,40,41,2897,a d mundhra,Simplex Infrastructures Ltd,Whole-time Director
36,41,42,12288,a didar singh,Hindustan Paper Corporation Ltd,Director
37,42,43,1250,a g bauskar,Venkys (India) Ltd,Company Secretary
38,43,44,2598,a g k raju,NCC Ltd,Executive Director
39,44,45,12288,a g kulkarni,Hindustan Paper Corporation Ltd,Director
40,45,46,28591,a g ravindranath,Ramky Infrastructure Ltd,Director
41,46,47,5452,a giridhar,Oil India Ltd,Director (Govt.)
42,47,48,12584,a gopalakrishnan,NHPC Ltd,Director
43,48,49,6437,a h divanji,Afcons Infrastructure Ltd,Director
44,49,50,1341,a h kalro,Torrent Power SEC Ltd(merged),Director
45,50,51,292,a h mody,Castrol India Ltd,Company Secretary
46,51,52,5458,a issac george,GVK Industries Ltd,Director (Finance)
47,52,53,25353,a j engineer,Tata Power Delhi Distribution Ltd,Chairman
48,56,57,1196,a j khan,Jyoti Structures Ltd,Director
49,57,58,2401,a j prasad,HBL Power Systems Ltd,Chairman & Managing Director
50,58,59,563,a janakiraman,Thirumalai Chemicals Ltd,Director
51,59,60,13869,a k bajaj,THDC India Ltd,Nominee (Govt)
52,62,63,12607,a k bandyopadhyay,Container Corporation Of India Ltd,Director(PartTime NonOfficial)
53,63,64,20561,a k bansal,Transport Corporation of India Ltd,Company Secretary
54,64,65,1140,a k basu,Sarda Energy & Minerals Ltd,Director
55,68,69,12288,a k bhatia,Hindustan Paper Corporation Ltd,Director
56,69,70,13819,a k chakraborty,Manaksia Ltd,Director
57,70,71,5540,a k chandra shekhar,Telecommunications Consultants India Ltd,Director (Finance)
58,71,72,12178,a k chattopadhyay,TRL Krosaki Refractories Ltd,Managing Director
59,73,74,1076,a k chaudhri,Usha Martin Ltd,Director
60,74,75,308,a k chowdhury,Usha International Ltd,Director
61,75,76,497,a k d jadhav,Sandvik Asia Ltd,Vice Chairman
62,76,77,31,a k das,Ashok Leyland Ltd,Director
63,77,78,2227,a k dasgupta,Welspun India Ltd,Director
64,80,81,2846,a k datta,Tide Water Oil Co (I) Ltd,Director
65,81,82,12008,a k dubey,Durgapur Projects Ltd,Chairman
66,82,83,20051,a k gharda,Gharda Chemicals Ltd,Director
67,83,84,2626,a k goel,Dhampur Sugar Mills Ltd,Vice Chairman
68,86,87,14266,a k goswami,Jaiprakash Power Ventures Ltd,Director
69,88,89,1021,a k gupta,Videocon International Ltd(merged),Nominee (IFCI)
70,90,91,1056,a k gurnani,Polyplex Corporation Ltd,Company Secretary
71,91,92,6068,a k hazarika,Oil & Natural Gas Corpn Ltd,Director (Onshore)
72,93,94,85,a k hirjee,Bombay Dyeing & Manufacturing Company Ltd,Director
73,96,97,308,a k jain,Usha International Ltd,Director
74,104,105,51,a k jalan,Bajaj Electricals Ltd,Director
75,105,106,17560,a k jhamb,National Projects Construction Corporation Ltd,Director (Engineering)
76,106,107,6423,a k joshi,Emami Ltd,Company Secretary
77,107,108,24065,a k joti,Gujarat State Petronet Ltd,Chairman
78,111,112,14705,a k jyotishi,South Eastern Coalfields Ltd,Director (Part-Time)
79,112,113,12350,a k khandelwal,GAIL (India) Ltd,Part Time Non Official Ind.Dir
80,113,114,16966,a k khanna,Emcure Pharmaceuticals Ltd,Director (Operation)
81,114,115,2415,a k kothari,Gillanders Arbuthnot & Company Ltd,Chairman
82,115,116,1220,a k ladha,Indo Rama Synthetics (India) Ltd,Director
83,116,117,12584,a k mago,NHPC Ltd,Director(PartTime NonOfficial)
84,117,118,1057,a k mahendru,Uttam Galva Steels Ltd,Director (Marketing & Sales)
85,118,119,1879,a k mathur,Hind Lever Chemicals Ltd - (Merged),Chairman
86,120,121,2338,a k mehra,Mawana Sugars Ltd,Whole-time Director
87,122,123,22221,a k mirchandani,PEC Ltd,Chairman & Managing Director
88,123,124,5671,a k misra,Tata Projects Ltd,Whole-time Director
89,124,125,2295,a k mittal,Tata Communications Ltd,Director (Non-Retiring)
90,125,126,111,a k mukherjee,Exide Industries Ltd,Director (Finance) & CFO
91,127,128,16996,a k nair,Strides Arcolab Ltd,Director
92,129,130,22071,a k nanda,Mahindra Intertrade Ltd,Director
93,131,132,2299,a k pandey,Steel Authority of India Ltd,Executive Director
94,132,133,57,a k perumalsamy,Bannari Amman Sugars Ltd,Director
95,133,134,13369,a k purwaha,Mahanagar Gas Ltd,Director
96,138,139,62,a k r nedungadi,Bayer CropScience Ltd,Director
97,140,141,1119,a k rao,Pennar Industries Ltd,Director
98,141,142,12001,a k rastogi,NTPC Ltd,Company Secretary
99,143,144,12019,a k rath,Coal India Ltd,Independent Director
100,145,146,14252,a k ratwani,Engineering Projects (India) Ltd,Director (Projects)
101,146,147,23220,a k ravi nedungadi,United Breweries Ltd,Director
102,149,150,4335,a k roy,Lloyd Electric & Engineering Ltd,Whole-time Director
103,150,151,15293,a k sahoo,Jaiprakash Associates Ltd,Nominee (LIC)
104,152,153,24268,a k sanwalka,Rites Ltd,Director
105,153,154,2324,a k sarmah,Bongaigaon Refinery & Petrochemicals Ltd(merged),Managing Director
106,154,155,28443,a k shah,Parle Biscuits Pvt Ltd,Director
107,155,156,23257,a k singh,Uttar Haryana Bijli Vitran Nigam Ltd,Managing Director
108,161,162,1076,a k somani,Usha Martin Ltd,CFO & Company Secretary
109,162,163,2304,a k srivastava,National Aluminium Company Ltd,Chairman & Managing Director
110,165,166,23753,a k sureka,Mauria Udyog Ltd,Director
111,167,168,5498,a k taneja,Shriram Pistons & Rings Ltd,Managing Director & CEO
112,168,169,544,a k thakur,SML ISUZU Ltd,Director
113,169,170,20944,a k thiagarajan,Alstom Projects India Ltd,Director
114,170,171,5497,a k tiwari,Ircon International Ltd,Official Director (Part time)
115,171,172,27419,a k vijay,Texmaco Rail & Engineering Ltd,Company Secretary
116,172,173,12734,a k vora,Tata International Ltd,Director
117,173,174,2831,a karati,Sangam (India) Ltd,Director
118,175,176,578,a khaitan,Eveready Industries India Ltd,Whole-time Director
119,176,177,23884,a krishnamoorthy,Simpson & Company Ltd,Vice Chairman & M.D.
120,178,179,5200,a l suri,Lakshmi Energy & Foods Ltd,Director
121,179,180,14057,a lgaki,Honda Siel Cars India Ltd,Whole-time Director
122,180,181,20099,a m k sinha,Petronet LNG Ltd,Nominee Director IOCL
123,182,183,18105,a m naik,Larsen & Toubro Infotech Ltd,Chairman
124,185,186,28009,a m palanisamy,K P R Mill Ltd,Director
125,186,187,459,a m sawhney,Punjab Tractors Ltd(merged),Deputy Managing Director
126,187,188,213,a m tiwari,Gujarat Narmada Valley Fertilisers Company Ltd,Managing Director
127,188,189,21960,a mahendran,Godrej Consumer Products Ltd,Managing Director
128,189,190,4666,a mohan rami reddy,Aurobindo Pharma Ltd,Company Secretary
129,190,191,2897,a mukherjee,Simplex Infrastructures Ltd,Whole-time Director
130,191,192,12466,a murugappan,ICICI Securities Ltd,Executive Director
131,192,193,3511,a n alawani,Kirloskar Ferrous Industries Ltd,Director
132,194,195,700,a n choudhury,RSWM Ltd,Director
133,195,196,6437,a n jangle,Afcons Infrastructure Ltd,Executive Director
134,196,197,2990,a n jariwala,Banswara Syntex Ltd,Director
135,197,198,24345,a n mani,L & T-Komatsu Ltd,Director
136,198,199,1768,a n nair,Winro Commercial (India) Ltd,Director
137,199,200,3219,a n parekh,Pidilite Industries Ltd,Whole-time Director
138,200,201,195,a n roy,Glaxosmithkline Pharma Ltd,Additional Director
139,201,202,12420,a n saksena,Panacea Biotec Ltd,Director
140,203,204,16012,a n sinha,Tulip Telecom Ltd,Director
141,204,205,255,a narayan,Hindustan Unilever Ltd,Director
142,205,206,3099,a naresh kumar,Sathavahana Ispat Ltd,Managing Director
143,206,207,256,a ortoli,Sanofi India Ltd,Director
144,207,208,12212,a p choudhary,Rashtriya Ispat Nigam Ltd,Director (Projects)
145,208,209,782,a p gandhi,Lumax Industries Ltd,Director
146,209,210,12177,a p joshi,Nuclear Power Corporation,Director (Part-Time)
147,210,211,2400,a p kothari,Precision Wires India Ltd,Director
148,211,212,21241,a p kurian,National Stock Exchange Of India Ltd,Director
149,212,213,12324,a p parigi,"Bennett, Coleman & Company Ltd",Director
150,213,214,20314,a p rao,GMR Vemagiri Power Generation Ltd,Director
151,214,215,56,a p singh,Ballarpur Industries Ltd,Nominee (LIC)
152,216,217,2303,a p v n sarma,Neyveli Lignite Corporation Ltd,Director(PartTime NonOfficial)
153,219,220,24936,a p vasantha kumar,Zylog Systems Ltd,Director
154,220,221,4402,a p venkateshwaran,Tulsyan NEC Ltd,Director (Finance)
155,221,222,502,a pradhan,Sesa Goa Ltd,Whole-time Director
156,222,223,12399,a praveen reddy,Indian Farmers Fertilizer Cooperative Ltd,Director
157,223,224,2303,a r ansari,Neyveli Lignite Corporation Ltd,Chairman & Managing Director
158,224,225,342,a r broacha,KSB Pumps Ltd,Director
159,225,226,31,a r chandrasekharan,Ashok Leyland Ltd,Executive Director & CS
160,226,227,911,a r gandhi,Indo Gulf Corporation Ltd (Merged),Director
161,229,230,3511,a r jamenis,Kirloskar Ferrous Industries Ltd,Director
162,230,231,25777,a r mundra,Bombay Rayon Fashions Ltd,Executive Director (Finance)
