cin;name;startdate;regnum;typeofcompany;listingtype;busscategory;companynature;subcategory;regauth;authcap;paidupcap;email;comp.address;status
L40101DL1975GOI007966;NTPC LIMITED;07/11/1975;7966;Public;Listed;Electricity, Gas & Water companies;Company limited by shares;Union Government Company;Registrar of Company-Delhi;100000000000;82454644000;akrastogi@ntpc.co.in;NTPC BHAWAN, SCOPE COMPLEX, 7, INSTITUTIONAL AREA LODHI ROAD NEW DELHI Delhi INDIA 110003;Active
L11100GJ1989PLC032116;ESSAR OIL LIMITED;12/09/1989;32116;Public;Listed;Mining & Quarrying;Company limited by shares;Indian Non-Government Company;Registrar of Company-Ahmedabad;50000000000;14495169000;EOLCompanySec@essar.com;KHAMBHALIA, POST BOX NO-24 JAMNAGAR Gujarat INDIA;Active
L28920MH1945PLC004520;TATA MOTORS LIMITED;01/09/1945;4520;Public;Listed;Commercial Vehicles;Company limited by shares;Indian Non-Government Company;Registrar of Company-Mumbai;39000000000;6437360134;inv_rel@tatamotors.com;Bombay House, 24 Homi Mody Street, MUMBAI Maharashtra INDIA 400001;Active
L27109DL1973GOI006454;STEEL AUTHORITY OF INDIA LIMITED;24/01/1973;6454;Public;Listed;Manufacturing (Metals & Chemicals, and products thereof);Company limited by shares;Union Government Company;Registrar of Company-Delhi;50000000000;41305252890;secy.sail@sailex.com;ISPAT BHAWAN LODHI ROAD NEW DELHI Delhi INDIA 110003;Active
L99999MH1946PLC004768;LARSEN AND TOUBRO LIMITED;07/02/1946;4768;Public;Listed;Construction and Engineering;Company limited by shares;Indian Non-Government Company;Registrar of Company-Mumbai;3250000000;1854817954;subhodh.shetty@larsentoubro.com;L & T HOUSEBALLARD ESTATE MUMBAI Maharashtra INDIA 400001;Active
L74899DL1964GOI004281;BHARAT HEAVY ELECTRICALS LIMITED;13/11/1964;4281;Public;Listed;Business Services;Company limited by shares;Union Government Company;Registrar of Company-Delhi;20000000000;4895200000;inder@bhel.in;BHEL HOUSE SIRI FORT NEW DELHI Delhi INDIA 110049;Active
L22210MH1995PLC084781;TATA CONSULTANCY SERVICES LIMITED;19/01/1995;84781;Public;Listed;IT Consulting and Software;Company limited by shares;Indian Non-Government Company;Registrar of Company-Mumbai;5250750000;2958727979;suprakash.mukhopadhyay@tcs.com;9TH FLOOR, NIRMAL BUILDING NARIMAN POINT MUMBAI Maharashtra INDIA 400021;Active
L85110KA1988GOI008959;MANGALORE REFINERY AND PETROCHEMICALS LIMITED;07/03/1988;8959;Public;Listed;Refineries Petro-Products;Company limited by shares;Union Government Company;Registrar of Company-Bangalore;20000000000;17525987770;mrpl@mrplindia.com;MUDAPADA KUTHETHUR P.O.,VIA KATIPALLA, KARNATAKA Karnataka INDIA;Active
L74899DL1995PLC070609;BHARTI AIRTEL LIMITED;07/07/1995;70609;Public;Listed;Business Services;Company limited by shares;Indian Non-Government Company;Registrar of Company-Delhi;25000000000;19987000510;compliance.officer@bharti.in;Bharti Crescent 1, Nelson Mandela Road, Vasant Kunj, Phase II, New Delhi Delhi INDIA 110070;Active
L34103DL1981PLC011375;MARUTI SUZUKI INDIA LIMITED;24/02/1981;11375;Public;Listed;Manufacturing (Machinery & Equipments);Company limited by shares;Indian Non-Government Company;Registrar of Company-Delhi;18720000000;1510400300;sanjeev.grover@maruti.co.in;Plot No.1,Nelson Mandela Road Vasant Kunj New Delhi Delhi INDIA 110070;Active
L40101TN1965GOI005389;CHENNAI PETROLEUM CORPORATION LIMITED;30/12/1965;5389;Public;Listed;Refineries Petro-Products;Company limited by shares;Union Government Company;Registrar of Company-Chennai;4000000000;1489114000;sld@cpcl.co.in;536, ANNA SALAI, TEYNAMPET MADRAS Tamil Nadu INDIA 600018;Active
L85110KA1981PLC013115;INFOSYS LIMITED;02/07/1981;13115;Public;Listed;Not Available;Company limited by shares;Indian Non-Government Company;Registrar of Company-Bangalore;12000000000;11484723320;Manikantha_AGS@infosys.com;ELECTRONICS CITY,HOSUR ROAD, BANGALORE KARNATAKA Karnataka INDIA 560100;Active
L40200DL1984GOI018976;GAIL (INDIA) LIMITED;16/08/1984;18976;Public;Listed;Electricity, Gas & Water companies;Company limited by shares;Union Government Company;Registrar of Company-Delhi;20000000000;12684774000;nknagpal@gail.co.in;16 BHIKAIJI CAMA PLACE R K PURAM NEW DELHI Delhi INDIA 110066;Active
L27100MH1907PLC000260;TATA STEEL LIMITED;26/08/1907;260;Public;Listed;Iron and Steel Interm Products;Company limited by shares;Indian Non-Government Company;Registrar of Company-Mumbai;83500000000;9712154050;cosec@tatasteel.com;BOMBAY HOUSE, 24-HOMI MODY STREET, FORT, MUMBAI Maharashtra INDIA 400001;Active
