Candidate,Constituency,Criminal Cases,Education,ID,Party,Sno,Total Assets,Total Liabilities,Year,
Kaushal Yadav,NAWADA,8,Post Graduate,148,JD(U),1,154566136,2604969,2014,
M. Aamir Rashadi,AZAMGARH,1,Others,9496,Rashtriya Ulama Council,2,2191523,0,2014,
Rakesh Kumar Giri,MAHARAJGANJ,0,Graduate Professional,9706,IND,3,306023,0,2014,
(Kuppal)G.Devadoss,CHENNAI SOUTH,0,8th Pass,6912,IND,4,3630000,850000,2014,
(Maj Gen (Retd.) ) Bhuwan Chandra Khanduri (Avsm),GARHWAL,0,Graduate Professional,74,BJP,5,44357368,0,2014,
A Biju,ALATHUR,0,8th Pass,1906,IND,6,564425,175000,2014,
A N Radhakrishnan,ERNAKULAM,0,Graduate,8,BJP,7,7813475,0,2014,
A Nelson,SIVAGANGA,0,12th Pass,4337,IND,8,37322,0,2014,
A P Jithender Reddy,MAHBUBNAGAR,4,Graduate,4536,TRS,9,140831576,1386969,2014,
A Pandian,ANDAMAN & NICOBAR ISLANDS,0,12th Pass,901,AIFB,10,859410,350000,2014,
A Prasad,KOLAR,0,10th Pass,1105,IND,11,840000,0,2014,
A Sampath,ATTINGAL,1,Doctorate,340,CPI(M),12,17791149,1421392,2014,
A Thavamani,MADURAI,0,Illiterate,7501,BSP,13,51000,0,2014,
A Vijayaraghavan,KOZHIKODE,0,Graduate Professional,173,CPI(M),14,5757792,152305,2014,
A. Devadas,BELLARY,0,10th Pass,397,SUCI(C),15,1154658,0,2014,
A. Irudayadass,CHENNAI SOUTH,0,Graduate,6929,IND,16,551640,0,2014,
A. Jaiganesh,CHENNAI SOUTH,0,Graduate,6913,Lok Satta Party,17,5855905,0,2014,
A. Josekutty,KOLLAM,0,10th Pass,336,IND,18,545117,224328,2014,
A. Magesh,CHENNAI SOUTH,0,Graduate,6943,IND,19,6894841,66500,2014,
A. P. Shamseer,VADAKARA,0,Literate,1850,IND,20,55620,0,2014,
A. Raghunath Varma,BERHAMPUR,0,Post Graduate,117,IND,21,270800,0,2014,
A. Shadhick Batcha,TIRUCHIRAPPALLI,0,Post Graduate,4341,IND,22,752760,700000,2014,
A.Arunmozhithevan,CUDDALORE,9,Graduate Professional,3955,AIADMK,23,15765250,0,2014,
A.Baskar,CUDDALORE,0,10th Pass,4048,IND,24,1100000,0,2014,
A.Ganesan,ARANI,0,8th Pass,6284,BSP,25,2110000,0,2014,
A.Govindasamy,KALLAKURICHI,0,8th Pass,6356,IND,26,1891000,300000,2014,
A.Hamid Sh. Habib,DHULE,3,8th Pass,5202,IND,27,63500,0,2014,
A.K. Aggarwal,VARANASI,1,10th Pass,9741,Agar Jan Party,28,14058166,0,2014,
A.K. Aggarwal,NORTH EAST DELHI,1,10th Pass,993,Agar Jan Party,29,14058166,0,2014,
A.K. Mohan,DURG,0,10th Pass,5381,AITC,30,290000,0,2014,
A.K.Moorthy,ARANI,0,Post Graduate,6292,PMK,31,55271210,17008423,2014,
A.K.Parashurama Kotemallur,DAVANAGERE,0,12th Pass,2206,BSP,32,215000,0,2014,
A.K.Perumal,KALLAKURICHI,0,Post Graduate,6357,Jharkhand Mukti Morcha (Ulgulan),33,5302255,0,2014,
A.K.Salahudeen,KOLLAM,1,12th Pass,700,SDPI,34,6562365,0,2014,
A.K.Sheikdavood,TIRUPPUR,0,Graduate,4041,IND,35,0,0,2014,
A.Kannan,MADURAI,0,8th Pass,7496,IND,36,262590,0,2014,
A.Krishnappa,TUMKUR,0,Graduate,183,JD(S),37,701833242,175031509,2014,
A.M.H. Nazeem,PONDICHERRY,3,12th Pass,5583,DMK,38,5930000,60000,2014,
A.M.Smitha,VADAKARA,0,Graduate,1847,CPI(ML) Red star,39,22000,0,2014,
A.Mahadevan,ARANI,0,12th Pass,6300,IND,40,577000,0,2014,
A.Mogheeth Khan,TIRUPPUR,0,Graduate,7434,IND,41,3253500,1475000,2014,
A.P. Ahamad,HASSAN,0,Illiterate,2612,BSP,42,1100000,500000,2014,
A.Ponnusamy,TIRUPPUR,0,Literate,7432,IND,43,1581000,0,2014,
A.R. Krishna Murthy,CHAMARAJANAGAR,0,Post Graduate,1222,BJP,44,41281286,2886427,2014,
A.Ramesh,VILUPPURAM,0,10th Pass,5470,IND,45,350000,0,2014,
A.S.Dsilva,TUMKUR,0,Graduate,2571,AAP,46,33229897,0,2014,
A.Shajahan,KALLAKURICHI,0,Graduate Professional,6358,IND,47,4402000,325000,2014,
A.T. Dadakhalandar,DAVANAGERE,0,10th Pass,1081,IND,48,36042,19623,2014,
A.V.Thamarakshan,ALAPPUZHA,1,Post Graduate,1951,Revolutionary Socialist Party of Kerala (B),49,10641399,0,2014,
Aaftab Alam Khan,SANT KABIR NAGAR,0,Graduate Professional,8438,AAP,50,578842,0,2014,
"Aaron Rashid, J.M.",THENI,0,12th Pass,7503,INC,51,649632943,8318576,2014,
Aasutosh Verma,GIRIDIH,0,Graduate Professional,2818,AITC,52,384828136,46546450,2014,
Aayar Muljibhai Khanabhai,AHMEDABAD WEST,0,10th Pass,7267,IND,53,430286,0,2014,
Ab Hamid Malik,BARAMULLA,0,Graduate Professional,8541,IND,54,10675000,0,2014,
Abanindra Nath Baidya,MATHURAPUR,0,10th Pass,9820,IND,55,56279,6000,2014,
Abbas Hussain Shaikh,MUMBAI SOUTH CENTRAL,3,10th Pass,5949,SP,56,7967355,258960,2014,
Abbas Mothalappara,KASARAGOD,0,10th Pass,250,AITC,57,102000,0,2014,
Abburi Koteswara Rao,GUNTUR,0,10th Pass,8182,Pyramid Party of India,58,17620000,3800000,2014,
Abdul Ahad Mir,ANANTNAG,0,12th Pass,4693,IND,59,17950000,0,2014,
Abdul Aleem,HARDWAR,0,Post Graduate,8796,IND,60,6258320,0,2014,
Abdul Amir Amiro,CHANDNI CHOWK,0,5th Pass,983,IND,61,4122551,0,2014,
Abdul Azeem,BANGALORE NORTH,0,Post Graduate,2630,JD(S),62,158909760,0,2014,
Abdul Aziz,NAGAUR,0,Graduate,3451,BSP,63,2400000,0,2014,
Abdul Aziz Bhartiya,JAIPUR,0,Graduate,2386,Rashtriya Ulama Council,64,67000,0,2014,
Abdul Bari Siddiqui,MADHUBANI,3,12th Pass,6238,RJD,65,16343817,2718221,2014,
Abdul Basit Ibrahim Faith,MUMBAI SOUTH,0,Graduate,5929,IND,66,888656,0,2014,
Abdul Gani,NIZAMABAD,2,Graduate,6471,B. C. United Front,67,3633263,705948,2014,
Abdul Hafeez Abdul Aziz,BULDHANA,0,12th Pass,212,BSP,68,425000,225000,2014,
Abdul Hameed,BIDAR,0,Post Graduate,360,Welfare Party of India,69,15287118,0,2014,
Abdul Hussain,BARAMULLA,0,Others,8601,IND,70,21441634,697808,2014,
Abdul Jabbar K K,KANNUR,4,10th Pass,258,SDPI,71,3403545,0,2014,
Abdul Jaleel,WAYANAD,0,Graduate,171,SDPI,72,8813205,0,2014,
Abdul Kareem,CHALAKUDY,0,10th Pass,1923,RJD,73,2746000,0,2014,
Abdul Kareem Khan,NIZAMABAD,0,8th Pass,6483,IND,74,6850000,800000,2014,
Abdul Khaleque,MALDAHA UTTAR,0,Graduate,4847,AIUDF,75,4367584,980000,2014,
Abdul Latif,GURGAON,0,5th Pass,460,IND,76,50000,0,2014,
Abdul Latif Abdul Kadir Shaikh,MUMBAI SOUTH,3,8th Pass,5916,IND,77,3393500,0,2014,
Abdul Majid Chouhan,JAMMU,0,10th Pass,880,IND,78,2600000,0,2014,
Abdul Mannan,SREERAMPUR,1,Graduate,6055,INC,79,2206559,0,2014,
Abdul Mannan Barbhuiya,SILCHAR,0,Graduate,2265,AAP,80,1042000,900000,2014,
Abdul Mannan Hossain,MURSHIDABAD,1,Graduate,3827,INC,81,13846286,0,2014,
Abdul Muneer,LAKSHADWEEP,0,Post Graduate,908,CPI(M),82,1395365,0,2014,
Abdul Rahim,HAZARIBAGH,0,Graduate,3997,Bahujan Mukti Party,83,1800000,0,2014,
Abdul Rahman,ARARIA,0,Literate,5236,BSP,84,813848,0,2014,
"Abdul Rahman, B.",VELLORE,0,10th Pass,7403,IND,85,1036500,0,2014,
"Abdul Rahman, M.",VELLORE,0,Post Graduate,7396,IUML,86,46864136,9836275,2014,
"Abdul Rahman, N.",VELLORE,0,10th Pass,7402,IND,87,530000,0,2014,
"Abdul Rahman, R.",PERAMBALUR,0,10th Pass,7120,IND,88,8165500,340000,2014,
Abdul Rashid Sheikh,BARAMULLA,0,Graduate,8603,IND,89,2301000,883000,2014,
Abdul Rashid Tantray,SRINAGAR,0,10th Pass,6811,IND,90,410000,0,2014,
Abdul Safiq Khan,RAIPUR,0,10th Pass,4141,IND,91,582300,0,2014,
Abdul Salam,GARHWAL,0,Illiterate,8301,IND,92,2170500,0,2014,
Abdul Salam N U,KASARAGOD,1,Post Graduate,1212,SDPI,93,3620329,1182188,2014,
"Abdul Salam, A.",COIMBATORE,0,5th Pass,6973,IND,94,1768600,700000,2014,
Abdul Sami Salmani,NORTH EAST DELHI,0,Others,990,BSP,95,4331561,160000,2014,
Abdul Tahir (Bablu - Advocate),BHOPAL,0,Graduate Professional,3921,IND,96,2573572,1600,2014,
Abdul Wafati Ansari Urf Yuvraj Tailors,REWA,0,10th Pass,1540,Samata Party,97,1131000,1200000,2014,
Abdul Waheed Shaik,GUNTUR,0,10th Pass,9451,INC,98,7654500,7000000,2014,
Abdul Wahid I,SALEM,0,Post Graduate,4290,IND,99,1800,0,2014,
Abdur Rahaman,KATIHAR,0,12th Pass,4110,Bharatiya Momin Front,100,627100,35000,2014,
Abdur Rezak Sk,TAMLUK,0,12th Pass,9442,IND,101,368000,800000,2014,
Abdurahiman Vadakkathinakath,PONNANI,0,8th Pass,1883,IND,102,5488050,0,2014,
Abdurahiman Varikottil,PONNANI,0,Literate,1885,IND,103,13110077,0,2014,
Abdurahiman Vayarakath,PONNANI,0,Literate,1884,IND,104,3037410,375000,2014,
Abdus Sadek Sarkar,BALURGHAT,2,Graduate Professional,4355,AIUDF,105,10907085,3064329,2014,
Abdus Sattar Mujahed,SECUNDERABAD,1,Graduate,6414,Akhil Bharatiya Muslim League (Secular),106,1785000,0,2014,
Abdus Sayeed,JANGIPUR,0,12th Pass,3823,SUCI(C),107,1204412,0,2014,
Abdus Sukur,BAHARAMPUR,0,Others,9776,IUML,108,6829000,0,2014,
Abha Pandey,MAHASAMUND,0,8th Pass,2800,Chhattisgarh Swabhiman Manch,109,5708000,150000,2014,
Abhay Subrao Kulkarni,THANE,0,8th Pass,5628,IND,110,2000,0,2014,
Abhijit Anil Apte,MAVAL,0,12th Pass,3362,IND,111,462306,0,2014,
Abhijit Das (Bobby),DIAMOND HARBOUR,2,Post Graduate,9355,BJP,112,4153000,0,2014,
Abhijit Mukherjee,JANGIPUR,0,Graduate Professional,4831,INC,113,63014502,15160000,2014,
Abhijit Ramesh Panse,THANE,1,Graduate,5629,MNS,114,6995050,5800000,2014,
Abhijit Sarkar,JANGIPUR,0,5th Pass,4834,IND,115,92600,0,2014,
Abhijit Shriram Hegshetye,RATNAGIRI SINDHUDURG,0,Post Graduate,3643,AAP,116,20692366,4273594,2014,
Abhilakh Rawat,BARABANKI,0,10th Pass,6644,IND,117,427900,0,2014,
Abhimanyu Singh Patel,VARANASI,0,12th Pass,9756,Bahujan Mukti Party,118,2445000,139257,2014,
Abhimod,PALAKKAD,0,Post Graduate,3,IND,119,2908779,370000,2014,
Abhinesh Maharshi,CHURU,0,Post Graduate,2316,BSP,120,38238575,4130000,2014,
Abhishek Banerjee,DIAMOND HARBOUR,0,Post Graduate,9347,AITC,121,15199272,0,2014,
Abhishek Mishra,LUCKNOW,0,Doctorate,6688,SP,122,15197365,700000,2014,
Abhishek Singh,RAJNANDGAON,0,Graduate Professional,107,BJP,123,44093207,0,2014,
Aboobacker Siddique,KASARAGOD,0,8th Pass,253,IND,124,38000,0,2014,
Aboobakker Sidique,PALAKKAD,0,Illiterate,1896,AITC,125,47004,0,2014,
Abraham Benhur,WAYANAD,0,Post Graduate,1855,IND,126,9999242,1421961,2014,
Abrar Ahmad Mahmud Khan,YAVATMAL-WASHIM,0,Others,1507,Welfare Party of India,127,6299991,700000,2014,
Abrar Beg Sarvar Beg Mirza,JALGAON,0,8th Pass,5836,RPI,128,85000,0,2014,
Abu Farhan Azmi,MUMBAI NORTH CENTRAL,0,12th Pass,7218,SP,129,637688791,15872212,2014,
Abu Hasem Kahn Chowdhury,MALDAHA DAKSHIN,0,Doctorate,4363,INC,130,11560825,654320,2014,
Abu Naseem Khan,MAINPURI,0,12th Pass,5046,Peace Party,131,5225000,160000,2014,
Abu Qaiser,BHAGALPUR,1,Graduate,4475,JD(U),132,45138014,1700000,2014,
Abul Awal,BARPETA,0,12th Pass,4427,SP,133,1224844,379980,2014,
Abul Hasan,RANCHI,0,Post Graduate,4015,IND,134,165500,0,2014,
Abul Hasnat Khan,MALDAHA DAKSHIN,0,Post Graduate,4360,CPI(M),135,10785663,0,2014,
Abul Qasem,ULUBERIA,0,Post Graduate,6063,Indian Unity Centre,136,4613889,0,2014,
Abullais.T.P,PONNANI,0,12th Pass,277,IND,137,6692346,0,2014,
Acharya Pramod Krishnam,SAMBHAL,0,Post Graduate,3194,INC,138,49900443,0,2014,
Achchhelal,LALGANJ,0,5th Pass,9675,IND,139,1251500,0,2014,
Achhe Lal Gupta,GORAKHPUR,0,8th Pass,9628,IND,140,1738500,600000,2014,
Achutananda Nag,BOLANGIR,0,Graduate Professional,1151,Ambedkarite Party of India,141,208500,0,2014,
Ad. Dr. Kolekar Anita Balasaheb,BHIWANDI,0,Doctorate,5190,Prabuddha Republican Party,142,450000,0,2014,
Ad. Mahesh Vitthalrao Kharat,JALNA,0,Post Graduate,7622,IND,143,123000,0,2014,
