,id,name,state,designation
0,6,N S Sekhsaria,Maharashtra,Chairman
1,6,Paul Hugentobler,Maharashtra,Deputy Chairman
2,6,S M Palia,Maharashtra,Director
3,6,Naresh Chandra,Maharashtra,Director
4,6,M L Narula,Maharashtra,Director
5,6,R A Shah,Maharashtra,Director
6,6,Shailesh Haribhakti,Maharashtra,Director
7,6,Kuldip Kaura,Maharashtra,Managing Director & CEO
8,6,Burjor Dorab Nariman,Maharashtra,Company Secretary
9,6,Aidan Lynam,Maharashtra,Director
10,6,Sushil Kumar Roongta,Maharashtra,Director
11,6,Ashwin Dani,Maharashtra,Additional Director
12,6,Bernard Fontana,Maharashtra,Director
13,10,Rohit C Mehta,Gujarat,Chairman
14,10,Markand Bhatt,Gujarat,Director
15,10,G K Choksi,Gujarat,Director
16,10,S B Kunwar,Gujarat,Nominee (LIC)
17,10,S Majumder,Gujarat,Nominee (GIC)
18,10,Sudhir Mehta,Gujarat,Director
19,10,Samir Mehta,Gujarat,Director
20,10,P K Taneja,Gujarat,Nominee (Govt)
21,10,G Venkataraman,Gujarat,Additional Director
22,10,Murli Ranganathan,Gujarat,Director & Chief Executive Off
23,10,L Chuaungo,Gujarat,Director
24,10,Jagdish Ajitkumar Mehta,Gujarat,Company Secretary
25,23,S Narayan,Kerala,Director
26,23,Onkar S Kanwar,Kerala,Chairman & Managing Director
27,23,M R B Punja,Kerala,Director
28,23,Robert Steinmetz,Kerala,Director
29,23,Neeraj Kanwar,Kerala,Vice Chairman & M.D.
30,23,A K Purwar,Kerala,Director
31,23,Sunam Sarkar,Kerala,Whole-time Director
32,23,U S Oberoi,Kerala,Whole-time Director
33,23,P N Wahal,Kerala,Company Secretary
34,23,K Jacob Thomas,Kerala,Director
35,23,Shardul S Shroff,Kerala,Director
36,23,Nimesh N Kampani,Kerala,Director
37,23,V P Joy,Kerala,Nominee (Kerala Govt)
38,23,Alkesh Kumar Sharma,Kerala,Nominee (Kerala Govt)
39,29,Sanjay S Lalbhai,Gujarat,Chairman & Managing Director
40,29,Jayesh K Shah,Gujarat,Whole Time Director & CFO
41,29,R V Bhimani,Gujarat,Company Secretary
42,29,Sudhir Mehta,Gujarat,Director
43,29,Munesh Khanna,Gujarat,Director
44,29,G M Yadwadkar,Gujarat,Nominee (IDBI)
45,29,Bakul H Dholakia,Gujarat,Director
46,29,Renuka Ramnath,Gujarat,Director
47,29,Prabhakar Dalal,Gujarat,Nominee (EXIM)
48,31,D G Hinduja,Tamil Nadu,Chairman
49,31,D J Balaji Rao,Tamil Nadu,Director
50,31,A K Das,Tamil Nadu,Director
51,31,F Sahami,Tamil Nadu,Director
52,31,Shardul S Shroff,Tamil Nadu,Director
53,31,R Seshasayee,Tamil Nadu,Executive Vice Chairman
54,31,Vinod K Dasari,Tamil Nadu,Managing Director
55,31,A R Chandrasekharan,Tamil Nadu,Executive Director & CS
56,31,V Sumantran,Tamil Nadu,Vice Chairman (Non-executive)
57,31,Anil Harish,Tamil Nadu,Director
58,31,Y M Kale,Tamil Nadu,Alternate Director
59,31,Jean Brunol,Tamil Nadu,Director
60,31,Sanjay K Asher,Tamil Nadu,Director
61,31,Jorma Antero Halonen,Tamil Nadu,Director
62,34,Amar Vakil,Maharashtra,Director
63,34,Tarjani Vakil,Maharashtra,Director
64,34,Dipankar Basu,Maharashtra,Director
65,34,Mahendra Shah,Maharashtra,Director
66,34,Deepak Satwalekar,Maharashtra,Director
67,34,R A Shah,Maharashtra,Director
68,34,S Sivaram,Maharashtra,Director
69,34,Jayesh Merchant,Maharashtra,CFO & Company Secretary
70,34,S Ramadorai,Maharashtra,Director
71,34,Ina Dani,Maharashtra,Director
72,34,K B S Anand,Maharashtra,Managing Director & CEO
73,37,Kamlesh C Mehra,Maharashtra,Chairman
74,37,Henrik Lange,Maharashtra,Director
75,37,Darius C Shroff,Maharashtra,Director
76,37,Tryggve Sthen,Maharashtra,Director
77,37,Rakesh Makhija,Maharashtra,Director
78,37,Vartan Vartanian,Maharashtra,Director
79,37,Pradeep Bhandari,Maharashtra,Company Secretary
80,37,Shishir Joshipura,Maharashtra,Managing Director & CEO
81,37,Tore Bertilsson,Maharashtra,Director
82,37,Prasad R Menon,Maharashtra,Director
83,37,David Bishop,Maharashtra,Alternate Director
84,41,A K Hirjee,Maharashtra,Chairman
85,41,F Vandenberghe,Maharashtra,Managing Director
86,41,H O Meyer,Maharashtra,Director
87,41,J Livijn,Maharashtra,Director
88,41,D B Engineer,Maharashtra,Director
89,41,B K Poddar,Maharashtra,Director
90,41,J K Delvadavala,Maharashtra,Alternate Director
91,41,A C Daga,Maharashtra,Company Secretary
92,41,P Leys,Maharashtra,Additional Director
93,43,S S Lalbhai,Gujarat,Chairman & Managing Director
94,43,G S Patel,Gujarat,Director
