state,name,candidate id,party,uuid
ANDAMAN & NICOBAR ISLANDS,Bishnu Pada Ray,585,BJP,1
ANDHRA PRADESH,Pandula Ravindra Babu,8160,TDP,2
ANDHRA PRADESH,Muttamsetti Srinivasa Rao,8245,TDP,3
ANDHRA PRADESH,Jutur Chinna Reddy Divakar Reddy,8326,TDP,4
ANDHRA PRADESH,Kothapalli Geetha,8865,Yuvajana Sramika Rythu Congress Party,5
ANDHRA PRADESH,Malyadri Sriram,8482,TDP,6
ANDHRA PRADESH,Naramalli Sivaprasad,8170,TDP,7
ANDHRA PRADESH,Venkateswara Rao Maganti,8178,TDP,8
ANDHRA PRADESH,Jayadev Galla,8183,TDP,9
ANDHRA PRADESH,Kristappa Nimmala,8911,TDP,10
ANDHRA PRADESH,Avinash Reddy Yeduguri Sandinti,8191,Yuvajana Sramika Rythu Congress Party,11
ANDHRA PRADESH,Thota Venkata Narasimham,8194,TDP,12
ANDHRA PRADESH,Butta Renuka,8202,Yuvajana Sramika Rythu Congress Party,13
ANDHRA PRADESH,Konakalla Narayana Rao,8339,TDP,14
ANDHRA PRADESH,S.P.Y Reddy,8211,Yuvajana Sramika Rythu Congress Party,15
ANDHRA PRADESH,Rayapati Sambasiva Rao,8213,TDP,16
ANDHRA PRADESH,Gokaraju Ganga Raju,9455,BJP,17
ANDHRA PRADESH,Mekapati Rajamohan Reddy,8343,Yuvajana Sramika Rythu Congress Party,18
ANDHRA PRADESH,Yarram Venkata Subbareddy,8505,Yuvajana Sramika Rythu Congress Party,19
ANDHRA PRADESH,Murali Mohan Maganti,8985,TDP,20
ANDHRA PRADESH,P.V.Midhun Reddy,8510,Yuvajana Sramika Rythu Congress Party,21
ANDHRA PRADESH,Rammohannaidu Kinjarapu,8230,TDP,22
ANDHRA PRADESH,Varaprasad Rao Velagapalli,8233,Yuvajana Sramika Rythu Congress Party,23
ANDHRA PRADESH,Srinivas Kesineni,8239,TDP,24
ANDHRA PRADESH,Dr. Kambhampati Hari Babu,9055,BJP,25
ANDHRA PRADESH,Ashok Gajapathi Raju Pusapati,9061,TDP,26
ARUNACHAL PRADESH,Ninong Ering,406,INC,27
ARUNACHAL PRADESH,Kiren Rijiju,246,BJP,28
ASSAM,Biren Singh Engti,2271,INC,29
ASSAM,Siraj Uddin Ajmal,4857,AIUDF,30
ASSAM,Badruddin Ajmal,4088,AIUDF,31
ASSAM,Rameshwar Teli,81,BJP,32
ASSAM,Smt. Bijoya Chakraborty,82,BJP,33
ASSAM,Kamakhya Prasad Tasa,85,BJP,34
ASSAM,Gourav Gogoi,115,INC,35
ASSAM,Radheshyam Biswas,2240,AIUDF,36
ASSAM,Naba Kumar Sarania,4096,IND,37
ASSAM,Sarbananda Sonowal,517,BJP,38
ASSAM,Ramen Deka,83,BJP,39
ASSAM,Rajen Gohain,84,BJP,40
ASSAM,Sushmita Dev,2255,INC,41
ASSAM,Ram Prasad Sarmah,80,BJP,42
BIHAR,Taslim Uddin,4456,RJD,43
BIHAR,Raj Kumar Singh,2641,BJP,44
BIHAR,Sushil Kumar Singh,371,BJP,45
BIHAR,Jaiprakash Narayan Yadav,4467,RJD,46
BIHAR,Bhola Singh,6156,BJP,47
BIHAR,Shailesh Kumar Urph Bulo Mandal,4470,RJD,48
BIHAR,Ashwini Kumar Choubey,2656,BJP,49
BIHAR,Kirti Azad,6166,BJP,50
BIHAR,Hari Manjhi,155,BJP,51
BIHAR,Janak Ram,9138,BJP,52
BIHAR,Ram Vilas Paswan,8120,LJP,53
BIHAR,Dr. Arun Kumar,2671,Rashtriya Lok Samta Party,54
BIHAR,Chirag Kumar Paswan,158,LJP,55
BIHAR,Birendra Kumar Chaudhary,6180,BJP,56
BIHAR,Upendra Kushwaha,554,Rashtriya Lok Samta Party,57
BIHAR,Shah Tariq Anwar,4109,NCP,58
BIHAR,Choudhary Mahboob Ali Kaiser,6773,LJP,59
BIHAR,Mohammad Asrarul Haque,4488,INC,60
BIHAR,Rajesh Ranjan Urf Pappu Yadav,6198,RJD,61
BIHAR,Hukum Deo Narayan Yadav,6237,BJP,62
BIHAR,Janardan Singh Sigriwal,87,BJP,63
BIHAR,Veena Devi,2695,LJP,64
BIHAR,Ajay Nishad,8130,BJP,65
BIHAR,Kaushlendra Kumar,2725,JD(U),66
BIHAR,Giriraj Singh,149,BJP,67
BIHAR,Dr. Sanjay Jayaswal,114,BJP,68
BIHAR,Ram Kripal Yadav,2750,BJP,69
BIHAR,Shatrughan Sinha,88,BJP,70
BIHAR,Santosh Kumar,3975,JD(U),71
BIHAR,Radha Mohan Singh,9156,BJP,72
BIHAR,Ram Chandra Paswan,6248,LJP,73
BIHAR,Rajiv Pratap Rudy,8143,BJP,74
BIHAR,Chhedi Paswan,145,BJP,75
BIHAR,Rama Devi,8144,BJP,76
BIHAR,Ram Kumar Sharma,8558,Rashtriya Lok Samta Party,77
BIHAR,Om Prakash Yadav,9167,BJP,78
BIHAR,Ranjeet Ranjan,4499,INC,79
BIHAR,Nityanand Rai,8154,BJP,80
BIHAR,Rama Kishore Singh,9179,LJP,81
BIHAR,Satish Dubey,113,BJP,82
CHANDIGARH,Smt. Kirron Kher,72,BJP,83
CHHATTISGARH,Dinesh Kashyap,111,BJP,84
CHHATTISGARH,Lakhanlal Sau S/O Kalyan Lal Sahu,106,BJP,85
CHHATTISGARH,Tamradwaj Sahu,3985,INC,86
CHHATTISGARH,Smt. Kamla Patle,104,BJP,87
CHHATTISGARH,Vikram Usendi,112,BJP,88
CHHATTISGARH,Dr. Banshilal Mahato,105,BJP,89
CHHATTISGARH,Chandu Lal Sahu (Chandu Bhaiya) S/O Late Puneen Ram,110,BJP,90
CHHATTISGARH,Vishnudev Sai,103,BJP,91
CHHATTISGARH,Ramesh Bais,109,BJP,92
CHHATTISGARH,Abhishek Singh,107,BJP,93
CHHATTISGARH,Kamalbhan Singh,102,BJP,94
DADRA & NAGAR HAVELI,Natubhai G. Patel,7905,BJP,95
DAMAN & DIU,Patel Lalubhai Babubhai,6084,BJP,96
GOA,Shripad Yesso Naik,1979,BJP,97
GOA,Adv. Narendra Keshav Sawaikar,1989,BJP,98
GUJARAT,Paresh Dahyalal Rawal,5283,BJP,99
GUJARAT,Dr. Solanki Kiritbhai Premjibhai,4562,BJP,100
GUJARAT,Kachhadiya Naranbhai Bhikhabhai,5294,BJP,101
GUJARAT,Patel Dilipbhai Manibhai,5296,BJP,102
GUJARAT,Chaudhry Haribhai Parthibhai,4570,BJP,103
GUJARAT,Parbhubhai Nagarbhai Vasava,7303,BJP,104
GUJARAT,Mansukhbhai Dhanjibhai Vasava,4581,BJP,105
GUJARAT,Shyal Bhartiben Dhirubhai,5309,BJP,106
GUJARAT,Rathwa Ramsingbhai Patalbhai,4588,BJP,107
GUJARAT,Bhabhor Jasvantsinh Sumanbhai,5311,BJP,108
GUJARAT,Lal Krishna Advani,4596,BJP,109
GUJARAT,Maadam Poonamben Hematbhai,5336,BJP,110
GUJARAT,Chudasama Rajeshbhai Naranbhai,4605,BJP,111
GUJARAT,Chavda Vinod Lakhmashi,4608,BJP,112
GUJARAT,Chauhan Devusinh Jesingbhai,4615,BJP,113
GUJARAT,Patel Jayshreeben Kanubhai,5354,BJP,114
GUJARAT,Patil Chandrakant Raghunath,5358,BJP,115
GUJARAT,Chauhan Prabhatsinh Pratapsinh,5362,BJP,116
GUJARAT,Vaghela Liladharbhai Khodaji,6500,BJP,117
GUJARAT,Radadiya Vithalbhai Hansrajbhai,6518,BJP,118
GUJARAT,Mohanbhai Kalyanjibhai Kundariya,6531,BJP,119
GUJARAT,Rathod Dipsinh Shankarsinh,6552,BJP,120
GUJARAT,Jardosh Darshnaben Vikrambhai,5315,BJP,121
GUJARAT,Fatepara Devajibhai Govindbhai,6575,BJP,122
GUJARAT,Bhatt Ranjanaben Dhananjay,9858,BJP,123
GUJARAT,Dr. K.C.Patel,6597,BJP,124
HARYANA,Rattan Lal Kataria,89,BJP,125
HARYANA,Dharambir,865,BJP,126
HARYANA,Krishan Pal,1047,BJP,127
HARYANA,Inderjit Singh,1046,BJP,128
HARYANA,Dushyant Chautala,201,INLD,129
HARYANA,Ashwini Kumar,1052,BJP,130
HARYANA,Rajkumar Saini,90,BJP,131
HARYANA,Deepender Singh,1268,INC,132
