uuid,did,cid,name,cname,designation
550,1,195,A A Nadkarni,Glaxosmithkline Pharma Ltd,Company Secretary
551,2,2598,A A V Ranga Raju,NCC Ltd,Managing Director
552,3,94,A Abraham,Brooke Bond Lipton India Ltd (Merged),Director
553,4,566,A Anjeneyan,Tata Steel Ltd,Company Secretary
554,5,4439,A Appa Rao,Heritage Foods (India) Ltd,Director
555,6,28591,A Ayodhya Rami Reddy,Ramky Infrastructure Ltd,Executive Chairman
556,7,20695,A Azhagesan,Telco Construction Equipment Company Ltd,Company Secretary
557,8,60,A B Anand,Bata India Ltd,Vice President & CS
558,9,3663,A B Chakrabartty,Kalpena Industries Ltd,Company Secretary
559,10,1742,A B Godrej,Godrej Industries Ltd,Chairman
560,11,16166,A B Godrej,Godrej Agrovet Ltd,Director
561,12,3627,A B Joshi,Viraj Alloys Ltd,Director
562,13,12584,A B L Srivastava,NHPC Ltd,CMD & Director (Finance)
563,14,20076,A B L Srivastava,PTC India Ltd,Director
564,15,1341,A B Panchal,Torrent Power SEC Ltd(merged),Nominee (Govt)
565,16,3219,A B Parekh,Pidilite Industries Ltd,Whole-time Director
566,17,23961,A B Prasad,Sesa Resources Ltd,Director
567,18,704,A B Rao,Ruchi Soya Industries Ltd,Director
568,19,25093,A B Singh,Dharampal Satyapal Ltd,Company Secretary
569,20,24937,A B Telang,National Textile Corpn. (South Maharashtra) Ltd,Nominee (BIFR)
570,21,3348,A Bhattacharjee,SPML Infra Ltd,Director
571,22,2461,A C Ashar,United Phosphorus Ltd,Director (Finance)
572,23,16233,A C Burman,Gannon Dunkerley & Company Ltd,Director
573,24,209,A C Chakrabortti,Grindwell Norton Ltd,Chairman
574,25,856,A C Chakrabortti,Denso India Ltd,Director
575,26,27419,A C Chakrabortti,Texmaco Rail & Engineering Ltd,Director
576,27,104,A C Choksey,CEAT Ltd,Director
577,28,41,A C Daga,Atlas Copco (India) Ltd,Company Secretary
578,29,361,A C Gandhi,Mafatlal Industries Ltd,Director
579,30,2305,A C Mahajan,Hindustan Petroleum Corporation Ltd,Director(PartTime NonOfficial)
580,31,22054,A C Malik,Western Electricity Supply Co of Orissa Ltd,Director
