"ID","state","city","SID"
0,"Andaman and Nicobar Islands","Nicobar",36
1,"Andaman and Nicobar Islands","North And Middle Andaman",36
2,"Andaman and Nicobar Islands","South Andaman",36
3,"Andhra Pradesh","Adoni",6
4,"Andhra Pradesh","Amadalavalasa",6
5,"Andhra Pradesh","Amalapuram",6
6,"Andhra Pradesh","Anakapalle",6
7,"Andhra Pradesh","Anantapur",6
8,"Andhra Pradesh","Badepalle",6
9,"Andhra Pradesh","Banganapalle",6
10,"Andhra Pradesh","Bapatla",6
11,"Andhra Pradesh","Bellampalle",6
12,"Andhra Pradesh","Bethamcherla",6
13,"Andhra Pradesh","Bhadrachalam",6
14,"Andhra Pradesh","Bhainsa",6
15,"Andhra Pradesh","Bheemunipatnam",6
16,"Andhra Pradesh","Bhimavaram",6
17,"Andhra Pradesh","Bhongir",6
18,"Andhra Pradesh","Bobbili",6
19,"Andhra Pradesh","Bodhan",6
20,"Andhra Pradesh","Chapirevula",6
21,"Andhra Pradesh","Chilakaluripet",6
22,"Andhra Pradesh","Chirala",6
23,"Andhra Pradesh","Chittoor",6
24,"Andhra Pradesh","Cuddapah",6
25,"Andhra Pradesh","Devarakonda",6
26,"Andhra Pradesh","Dharmavaram",6
27,"Andhra Pradesh","Eluru",6
28,"Andhra Pradesh","Farooqnagar",6
29,"Andhra Pradesh","Gadwal",6
30,"Andhra Pradesh","Gooty",6
31,"Andhra Pradesh","Gudivada",6
32,"Andhra Pradesh","Gudur",6
33,"Andhra Pradesh","Guntakal",6
34,"Andhra Pradesh","Guntur",6
35,"Andhra Pradesh","Hanuman Junction",6
36,"Andhra Pradesh","Hindupur",6
37,"Andhra Pradesh","Ichchapuram",6
38,"Andhra Pradesh","Jaggaiahpet",6
39,"Andhra Pradesh","Jagtial",6
40,"Andhra Pradesh","Jammalamadugu",6
41,"Andhra Pradesh","Jangaon",6
42,"Andhra Pradesh","Kadapa",6
43,"Andhra Pradesh","Kadiri",6
44,"Andhra Pradesh","Kagaznagar",6
45,"Andhra Pradesh","Kakinada",6
46,"Andhra Pradesh","Kalyandurg",6
47,"Andhra Pradesh","Kamareddy",6
48,"Andhra Pradesh","Kandukur",6
49,"Andhra Pradesh","Kavali",6
50,"Andhra Pradesh","Kodad",6
51,"Andhra Pradesh","Koratla",6
52,"Andhra Pradesh","Kothagudem",6
53,"Andhra Pradesh","Kothapeta",6
54,"Andhra Pradesh","Kovvur",6
55,"Andhra Pradesh","Kurnool",6
56,"Andhra Pradesh","Kyathampalle",6
57,"Andhra Pradesh","Macherla",6
58,"Andhra Pradesh","Machilipatnam",6
59,"Andhra Pradesh","Madanapalle",6
60,"Andhra Pradesh","Mancherial",6
61,"Andhra Pradesh","Mandamarri",6
62,"Andhra Pradesh","Mandapeta",6
63,"Andhra Pradesh","Mangalagiri",6
64,"Andhra Pradesh","Manuguru",6
65,"Andhra Pradesh","Markapur",6
66,"Andhra Pradesh","Miryalaguda",6
67,"Andhra Pradesh","Mogalthur",6
68,"Andhra Pradesh","Nagari",6
69,"Andhra Pradesh","Nagarkurnool",6
70,"Andhra Pradesh","Nandyal",6
71,"Andhra Pradesh","Narasapur",6
72,"Andhra Pradesh","Narasaraopet",6
73,"Andhra Pradesh","Narayanpet",6
74,"Andhra Pradesh","Narsipatnam",6
75,"Andhra Pradesh","Nellore",6
76,"Andhra Pradesh","Nidadavole",6
77,"Andhra Pradesh","Nirmal",6
78,"Andhra Pradesh","Nuzvid",6
79,"Andhra Pradesh","Ongole",6
80,"Andhra Pradesh","Palacole",6
81,"Andhra Pradesh","Palasa Kasibugga",6
82,"Andhra Pradesh","Palwancha",6
83,"Andhra Pradesh","Parvathipuram",6
84,"Andhra Pradesh","Pedana",6
85,"Andhra Pradesh","Peddapuram",6
86,"Andhra Pradesh","Pithapuram",6
87,"Andhra Pradesh","Pondur",6
88,"Andhra Pradesh","Ponnur",6
89,"Andhra Pradesh","Proddatur",6
90,"Andhra Pradesh","Punganur",6
91,"Andhra Pradesh","Puttur",6
92,"Andhra Pradesh","East godavari",6
93,"Andhra Pradesh","Krishna",6
94,"Andhra Pradesh","Prakasam",6
95,"Andhra Pradesh","Sri Potti Sriramulu Nellore",6
96,"Andhra Pradesh","Srikakulam",6
97,"Andhra Pradesh","Visakhapatanam",6
98,"Andhra Pradesh","Vizianagaram",6
99,"Andhra Pradesh","West Godavari",6
100,"Andhra Pradesh","YSR district",6
101,"Arunachal Pradesh","Dibang Valley",17
102,"Arunachal Pradesh","East Kameng",17
103,"Arunachal Pradesh","East Siang",17
104,"Arunachal Pradesh","Kurung Kumey",17
105,"Arunachal Pradesh","Lohit",17
106,"Arunachal Pradesh","Lower Dibang Valley",17
107,"Arunachal Pradesh","Lower Subansiri",17
108,"Arunachal Pradesh","Papum Pare",17
109,"Arunachal Pradesh","Tawang",17
110,"Arunachal Pradesh","Tirap",17
111,"Arunachal Pradesh","Upper Siang",17
112,"Arunachal Pradesh","Upper Subansiri",17
113,"Arunachal Pradesh","West Kameng",17
114,"Arunachal Pradesh","West Siang",17
115,"Assam ","Cachar",1
116,"Assam ","Darrang",1
117,"Assam ","Dhemaji",1
118,"Assam ","Dima Hasao",1
119,"Assam ","Kamrup",1
120,"Assam ","Karbi Anglong",1
121,"Assam ","Lakhimpur",1
122,"Assam ","Sivasagar",1
123,"Assam ","Sonitpur",1
124,"Assam ","Tinsukia",1
125,"Assam ","Abhayapuri",1
126,"Assam ","Amguri",1
127,"Assam ","Anandnagaar",1
128,"Assam ","Barpeta",1
129,"Assam ","Barpeta Road",1
130,"Assam ","Bilasipara",1
131,"Assam ","Bongaigaon",1
132,"Assam ","Dhekiajuli",1
133,"Assam ","Dhubri",1
