,ID,SID,city,state
0,0,36,Nicobar,Andaman and Nicobar Islands
1,1,36,North and Middle Andaman,Andaman and Nicobar Islands
2,2,36,,Andaman and Nicobar Islands
3,3,6,Kurnool,Andhra Pradesh
4,4,6,Srikakulam,Andhra Pradesh
5,5,6,East Godavari,Andhra Pradesh
6,6,6,Vishakhapatnam,Andhra Pradesh
7,7,6,Anantapuram,Andhra Pradesh
8,8,6,Guntur,Andhra Pradesh
9,9,6,Kurnool,Andhra Pradesh
10,10,6,Guntur,Andhra Pradesh
11,11,6,Prakasam,Andhra Pradesh
12,12,6,Kurnool,Andhra Pradesh
13,13,6,Khammam,Telangana
14,15,6,Vishakhapatnam,Andhra Pradesh
15,16,6,West Godavari,Andhra Pradesh
16,18,6,Vizianagaram,Andhra Pradesh
17,19,6,Nizamabad,Andhra Pradesh
18,20,6,Kurnool,Andhra Pradesh
19,21,6,Guntur,Andhra Pradesh
20,22,6,Prakasam,Andhra Pradesh
21,23,6,Chittoor,Andhra Pradesh
22,24,6,Kadapa,Andhra Pradesh
23,25,6,Chittoor,Andhra Pradesh
24,26,6,Anantapuram,Andhra Pradesh
25,27,6,West Godavari,Andhra Pradesh
26,28,6,Mahabubnagar,Telangana
27,29,6,Mahabubnagar,Telangana
28,30,6,Anantapuram,Andhra Pradesh
29,31,6,Krishna,Andhra Pradesh
30,32,6,Nellore,Andhra Pradesh
31,33,6,Anantapuram,Andhra Pradesh
32,34,6,Guntur,Andhra Pradesh
33,35,6,Krishna,Andhra Pradesh
34,36,6,Anantapuram,Andhra Pradesh
35,37,6,Srikakulam,Andhra Pradesh
36,38,6,Krishna,Andhra Pradesh
37,39,6,Karimnagar,Telangana
38,40,6,Kadapa,Andhra Pradesh
39,41,6,Adilabad,Andhra Pradesh
40,42,6,Kadapa,Andhra Pradesh
41,43,6,Anantapuram,Andhra Pradesh
42,44,6,Adilabad,Telangana
43,45,6,East Godavari,Andhra Pradesh
44,46,6,Anantapuram,Andhra Pradesh
45,48,6,Prakasam,Andhra Pradesh
46,49,6,Nellore,Andhra Pradesh
47,50,6,Nalgonda,Telangana
48,52,6,West Godavari,Andhra Pradesh
49,53,6,East Godavari,Andhra Pradesh
50,54,6,West Godavari,Andhra Pradesh
51,55,6,Kurnool,Andhra Pradesh
52,56,6,Chittoor,Andhra Pradesh
53,57,6,Guntur,Andhra Pradesh
54,58,6,Krishna,Andhra Pradesh
55,59,6,Chittoor,Andhra Pradesh
56,60,6,Adilabad,Telangana
57,62,6,East Godavari,Andhra Pradesh
58,63,6,Guntur,Andhra Pradesh
59,64,6,Khammam,Telangana
60,65,6,Prakasam,Andhra Pradesh
61,66,6,Nalgonda,Telangana
62,67,6,West Godavari,Andhra Pradesh
63,68,6,Chittoor,Andhra Pradesh
64,69,6,Mahabubnagar,Telangana
65,70,6,Kurnool,Andhra Pradesh
66,71,6,West Godavari,Andhra Pradesh
67,72,6,Guntur,Andhra Pradesh
68,73,6,Mahabubnagar,Andhra Pradesh
69,74,6,Vishakhapatnam,Andhra Pradesh
70,75,6,Nellore,Andhra Pradesh
71,76,6,West Godavari,Andhra Pradesh
72,77,6,Krishna,Andhra Pradesh
73,78,6,Krishna,Andhra Pradesh
74,79,6,Prakasam,Andhra Pradesh
75,80,6,West Godavari,Andhra Pradesh
76,81,6,Srikakulam,Andhra Pradesh
77,82,6,Khammam,Telangana
78,83,6,Vizianagaram,Andhra Pradesh
79,84,6,Krishna,Andhra Pradesh
80,85,6,East Godavari,Andhra Pradesh
81,86,6,East Godavari,Andhra Pradesh
82,87,6,Prakasam,Andhra Pradesh
83,88,6,Guntur,Andhra Pradesh
84,89,6,Kadapa,Andhra Pradesh
85,90,6,Chittoor,Andhra Pradesh
86,91,6,Chittoor,Andhra Pradesh
87,92,6,East Godavari,Andhra Pradesh
88,93,6,Krishna,Andhra Pradesh
89,94,6,Prakasam,Andhra Pradesh
90,95,6,Nellore,Andhra Pradesh
91,96,6,Srikakulam,Andhra Pradesh
92,97,6,Vishakhapatnam,Andhra Pradesh
93,98,6,Vizianagaram,Andhra Pradesh
94,99,6,West Godavari,Andhra Pradesh
95,100,6,Kadapa,Andhra Pradesh
96,101,17,Dibang Valley,
97,102,17,East Kameng,
98,103,17,East Siang,Arunachal Pradesh
99,105,17,Lohit,Arunachal Pradesh
100,106,17,Lower Dibang Valley,Arunachal Pradesh
101,107,17,Lower Subansiri,
102,108,17,Papum Pare,
103,109,17,Tawang,
104,110,17,Tirap,Arunachal Pradesh
105,111,17,Upper Siang,
106,112,17,Upper Subansiri,
107,113,17,West Kameng,
108,114,17,West Siang,
109,115,1,Cachar,Assam
110,116,1,Darrang,Assam
111,117,1,Dhemaji,Assam
112,118,1,Dima Hasao,Assam
113,119,1,Kamrup,Assam
114,120,1,Karbi Anglong,Assam
115,121,1,Lakhimpur,Assam
116,122,1,Sivasagar,Assam
117,123,1,Sonitpur,Assam
118,124,1,Tinsukia,Assam
119,125,1,Bongaigaon,Assam
120,126,1,Sonitpur,Assam
121,127,1,Dhubri,Assam
122,128,1,Barpeta,Assam
123,129,1,Barpeta,Assam
124,130,1,Dhubri,Assam
125,131,1,Bongaigaon,Assam
126,132,1,Sonitpur,Assam
127,133,1,Dhubri,Assam
128,134,1,Dibrugarh,Assam
129,135,1,Tinsukia,Assam
130,136,1,Karbi Anglong,Assam
131,137,1,Kamrup,Assam
132,138,1,Dibrugarh,Assam
133,139,1,Dhubri,Assam
134,140,1,Goalpara,Assam
135,141,1,,Assam
136,142,1,Kamrup,Assam
137,143,1,Dima Hasao,Assam
138,144,1,Hailakandi,Assam
139,145,1,Nagaon,Assam
140,146,1,Jorhat,Assam
141,147,1,Karimganj,Assam
142,148,1,Kokrajhar,Assam
143,149,1,Nagaon,Assam
144,150,1,Nagaon,Assam
145,151,1,Darrang,Assam
146,152,1,Dhubri,Assam
147,153,1,Tinsukia,Assam
148,154,1,Jorhat,Assam
149,155,1,Morigaon,Assam
150,156,1,Nagaon,Assam
151,157,1,Nalbari,Assam
152,158,1,Lakhimpur,Assam
153,159,18,Banka,Bihar
154,160,18,Araria,Bihar
155,161,18,Purvi Champaran,Bihar
156,162,18,Bhojpur,Bihar
157,163,18,Bhojpur,Bihar
158,164,18,Munger,Bihar
159,165,18,Aurangabad,Bihar
160,166,18,Gaya,Bihar
161,167,18,Kishanganj,Bihar
162,168,18,Sitamarhi,Bihar
163,169,18,Saharsa,Bihar
164,170,18,Banka,Bihar
165,171,18,Purnia,Bihar
166,172,18,Lakhisarai,Bihar
167,173,18,Gopalganj,Bihar
168,174,18,Sheikhpura,Bihar
169,175,18,Patna,Bihar
170,176,18,Begusarai,Bihar
171,177,18,Bhojpur,Bihar
172,178,18,Pashchim Champaran,Bihar
173,179,18,Kaimur,Bihar
174,180,18,Bhagalpur,Bihar
175,181,18,Bhojpur,Bihar
176,182,18,Nalanda,Bihar
177,183,18,Rohtas,Bihar
178,184,18,Gaya,Bihar
179,185,18,Buxar,Bihar
180,186,18,Purvi Champaran,Bihar
