CountryName,StateName,DistrictName,SubDistrictName
India,Andaman and Nicobar Island,Nicobar,Car Nicobar
India,Andaman and Nicobar Island,Nicobar,Great Nicobar
India,Andaman and Nicobar Island,Nicobar,Nancowry
India,Andaman and Nicobar Island,North and Middle Andaman,Diglipur
India,Andaman and Nicobar Island,North and Middle Andaman,Mayabunder
India,Andaman and Nicobar Island,North and Middle Andaman,Rangat
India,Andaman and Nicobar Island,South Andaman,Ferrargunj
India,Andaman and Nicobar Island,South Andaman,Little Andaman
India,Andaman and Nicobar Island,South Andaman,Port Blair
India,Andhra Pradesh,Anantapur,Dharmavaram
India,Andhra Pradesh,Anantapur,Gooty
India,Andhra Pradesh,Anantapur,Guntakal
India,Andhra Pradesh,Anantapur,Hindupur
India,Andhra Pradesh,Anantapur,Kadiri
India,Andhra Pradesh,Anantapur,Kalyandurg
India,Andhra Pradesh,Anantapur,Rayadurg
India,Andhra Pradesh,Anantapur,Tadpatri
India,Andhra Pradesh,Chittoor,Madanapalle
India,Andhra Pradesh,Chittoor,Nagari
India,Andhra Pradesh,Chittoor,Palamaner
India,Andhra Pradesh,Chittoor,Punganur
India,Andhra Pradesh,Chittoor,Puttur
India,Andhra Pradesh,Chittoor,Srikalahasti
India,Andhra Pradesh,Cuddapah,Badvel
India,Andhra Pradesh,Cuddapah,Mydukur
India,Andhra Pradesh,Cuddapah,Proddatur
India,Andhra Pradesh,Cuddapah,Pulivendula
India,Andhra Pradesh,Cuddapah,Rayachoti
India,Andhra Pradesh,East Godavari,Amalapuram
India,Andhra Pradesh,East Godavari,Mandapeta
India,Andhra Pradesh,East Godavari,Peddapuram
India,Andhra Pradesh,East Godavari,Pithapuram
India,Andhra Pradesh,East Godavari,Ramachandrapuram
India,Andhra Pradesh,East Godavari,Samalkot
India,Andhra Pradesh,East Godavari,Tuni
India,Andhra Pradesh,Guntur,Bapatla
India,Andhra Pradesh,Guntur,Chilakaluripet
India,Andhra Pradesh,Guntur,Macherla
India,Andhra Pradesh,Guntur,Mangalagiri
India,Andhra Pradesh,Guntur,Narasaraopet
India,Andhra Pradesh,Guntur,Piduguralla
India,Andhra Pradesh,Guntur,Ponnur
India,Andhra Pradesh,Guntur,Repalle
India,Andhra Pradesh,Guntur,Sattenapalle
India,Andhra Pradesh,Guntur,Tadepalle
India,Andhra Pradesh,Guntur,Tenali
India,Andhra Pradesh,Guntur,Vinukonda
India,Andhra Pradesh,Krishna,Gudivada
India,Andhra Pradesh,Krishna,Jaggaiahpet
India,Andhra Pradesh,Krishna,Nuzvid
India,Andhra Pradesh,Krishna,Pedana
India,Andhra Pradesh,Kurnool,Adoni
India,Andhra Pradesh,Kurnool,Nandyal
India,Andhra Pradesh,Kurnool,Yemmiganur
India,Andhra Pradesh,Nellore,Atmakur
India,Andhra Pradesh,Nellore,Gudur
India,Andhra Pradesh,Nellore,Kavali
India,Andhra Pradesh,Nellore,Sullurpeta
India,Andhra Pradesh,Nellore,Venkatagiri
India,Andhra Pradesh,Prakasam,Chirala
India,Andhra Pradesh,Prakasam,Kandukur
India,Andhra Pradesh,Prakasam,Markapur
India,Andhra Pradesh,Srikakulam,Amudalavalasa
India,Andhra Pradesh,Srikakulam,Ichchapuram
India,Andhra Pradesh,Srikakulam,Palasa-Kasibugga
India,Andhra Pradesh,Visakhapatnam,Narsipatnam
India,Andhra Pradesh,Visakhapatnam,Yelamanchili
India,Andhra Pradesh,Vizianagaram,Bobbili
India,Andhra Pradesh,Vizianagaram,Parvathipuram
India,Andhra Pradesh,Vizianagaram,Salur
India,Andhra Pradesh,West Godavari,Bhimavaram
India,Andhra Pradesh,West Godavari,Jangareddygudem
India,Andhra Pradesh,West Godavari,Kovvur
India,Andhra Pradesh,West Godavari,Narasapuram
India,Andhra Pradesh,West Godavari,Nidadavole
India,Andhra Pradesh,West Godavari,Palakollu
India,Andhra Pradesh,West Godavari,Tadepalligudem
India,Andhra Pradesh,West Godavari,Tanuku
India,Arunachal Pradesh,Anjaw,Chaglagam
India,Arunachal Pradesh,Anjaw,Goiliang
India,Arunachal Pradesh,Anjaw,Hawai
India,Arunachal Pradesh,Anjaw,Hayuliang
India,Arunachal Pradesh,Anjaw,Kibithoo
India,Arunachal Pradesh,Anjaw,Manchal
India,Arunachal Pradesh,Anjaw,Metengliang
India,Arunachal Pradesh,Anjaw,Walong
India,Arunachal Pradesh,Changlang,Bordumsa
India,Arunachal Pradesh,Changlang,Changlang
India,Arunachal Pradesh,Changlang,Diyun
India,Arunachal Pradesh,Changlang,Jairampur
India,Arunachal Pradesh,Changlang,Kharsang
India,Arunachal Pradesh,Changlang,Khimiyong
India,Arunachal Pradesh,Changlang,Lyngok-Longtoi
India,Arunachal Pradesh,Changlang,Manmao
India,Arunachal Pradesh,Changlang,Miao
India,Arunachal Pradesh,Changlang,Nampong
India,Arunachal Pradesh,Changlang,Namtok
India,Arunachal Pradesh,Changlang,Renuk
India,Arunachal Pradesh,Changlang,Tikhak Rima Putok
India,Arunachal Pradesh,Changlang,Vijoynagar
India,Arunachal Pradesh,Changlang,Yatdam
India,Arunachal Pradesh,Dibang Valley,Anelih
India,Arunachal Pradesh,Dibang Valley,Anini
India,Arunachal Pradesh,Dibang Valley,Etalin
India,Arunachal Pradesh,Dibang Valley,Kronli (Arzoo circle)
India,Arunachal Pradesh,Dibang Valley,Mipi
India,Arunachal Pradesh,East Kameng,Bameng
India,Arunachal Pradesh,East Kameng,Chayangtajo
India,Arunachal Pradesh,East Kameng,Dissing-Passo
India,Arunachal Pradesh,East Kameng,Gyawe Purang
India,Arunachal Pradesh,East Kameng,Khenewa
India,Arunachal Pradesh,East Kameng,Lada
India,Arunachal Pradesh,East Kameng,Pakke-Kessang
India,Arunachal Pradesh,East Kameng,Pipu-Dipu
India,Arunachal Pradesh,East Kameng,Pizirang(Veo)
India,Arunachal Pradesh,East Kameng,Richukrong
India,Arunachal Pradesh,East Kameng,Sawa
India,Arunachal Pradesh,East Kameng,Seijosa
India,Arunachal Pradesh,East Kameng,Seppa
India,Arunachal Pradesh,East Siang,Bilat
India,Arunachal Pradesh,East Siang,Boleng
India,Arunachal Pradesh,East Siang,Kebang
India,Arunachal Pradesh,East Siang,Kora
India,Arunachal Pradesh,East Siang,Koyu
India,Arunachal Pradesh,East Siang,Mebo
India,Arunachal Pradesh,East Siang,Namsing
India,Arunachal Pradesh,East Siang,Nari
India,Arunachal Pradesh,East Siang,New Seren
India,Arunachal Pradesh,East Siang,Pangin
India,Arunachal Pradesh,East Siang,Pasighat
India,Arunachal Pradesh,East Siang,Rebo-Perging
India,Arunachal Pradesh,East Siang,Riga
India,Arunachal Pradesh,East Siang,Ruksin
India,Arunachal Pradesh,East Siang,Sille-Oyan
India,Arunachal Pradesh,Kurung Kumey,Chambang
India,Arunachal Pradesh,Kurung Kumey,Damin
India,Arunachal Pradesh,Kurung Kumey,Gangte
India,Arunachal Pradesh,Kurung Kumey,Koloriang
India,Arunachal Pradesh,Kurung Kumey,Longding Koling (Pipsorang)
India,Arunachal Pradesh,Kurung Kumey,Nyapin
India,Arunachal Pradesh,Kurung Kumey,Palin
India,Arunachal Pradesh,Kurung Kumey,Parsi-Parlo
India,Arunachal Pradesh,Kurung Kumey,Phassang
India,Arunachal Pradesh,Kurung Kumey,Sangram
India,Arunachal Pradesh,Kurung Kumey,Sarli
India,Arunachal Pradesh,Kurung Kumey,Tali
India,Arunachal Pradesh,Kurung Kumey,Tarak-Lengdi
India,Arunachal Pradesh,Kurung Kumey,Yangte
India,Arunachal Pradesh,Lohit,Chongkham
India,Arunachal Pradesh,Lohit,Lathao
India,Arunachal Pradesh,Lohit,Lekang (Mahadevpur)
India,Arunachal Pradesh,Lohit,Namsai
India,Arunachal Pradesh,Lohit,Piyong
India,Arunachal Pradesh,Lohit,Sunpura
India,Arunachal Pradesh,Lohit,Tezu
India,Arunachal Pradesh,Lohit,Wakro
India,Arunachal Pradesh,Longding,Kanubari
India,Arunachal Pradesh,Longding,Lawnu
India,Arunachal Pradesh,Longding,Longding
India,Arunachal Pradesh,Longding,Pongchau
India,Arunachal Pradesh,Longding,Pumao
India,Arunachal Pradesh,Longding,Wakka
India,Arunachal Pradesh,Lower Dibang Valley,Dambuk
India,Arunachal Pradesh,Lower Dibang Valley,Desali
India,Arunachal Pradesh,Lower Dibang Valley,Hunli
India,Arunachal Pradesh,Lower Dibang Valley,Koronu
India,Arunachal Pradesh,Lower Dibang Valley,Roing
India,Arunachal Pradesh,Lower Dibang Valley,Tinali ( Paglam )
India,Arunachal Pradesh,Lower Subansiri,Dollungmukh
India,Arunachal Pradesh,Lower Subansiri,Kamporijo
India,Arunachal Pradesh,Lower Subansiri,Old Ziro
India,Arunachal Pradesh,Lower Subansiri,Pistana
India,Arunachal Pradesh,Lower Subansiri,Raga
India,Arunachal Pradesh,Lower Subansiri,Yachuli
India,Arunachal Pradesh,Lower Subansiri,Yazali
India,Arunachal Pradesh,Lower Subansiri,Ziro (Sadar)
India,Arunachal Pradesh,Papum Pare,Balijan
India,Arunachal Pradesh,Papum Pare,Banderdawa
India,Arunachal Pradesh,Papum Pare,Doimukh
India,Arunachal Pradesh,Papum Pare,Gumto
India,Arunachal Pradesh,Papum Pare,Itanagar
India,Arunachal Pradesh,Papum Pare,Kakoi
India,Arunachal Pradesh,Papum Pare,Kimin
India,Arunachal Pradesh,Papum Pare,Leporiang
India,Arunachal Pradesh,Papum Pare,Mengio
India,Arunachal Pradesh,Papum Pare,Naharlagun
India,Arunachal Pradesh,Papum Pare,Parang
India,Arunachal Pradesh,Papum Pare,Sagalee
India,Arunachal Pradesh,Papum Pare,Sangdupota (Besar Nello)
India,Arunachal Pradesh,Papum Pare,Taraso
India,Arunachal Pradesh,Papum Pare,Toru
India,Arunachal Pradesh,Tawang,Bongkhar
India,Arunachal Pradesh,Tawang,Dudunghar
India,Arunachal Pradesh,Tawang,Jang
India,Arunachal Pradesh,Tawang,Kitpi
India,Arunachal Pradesh,Tawang,Lhou
India,Arunachal Pradesh,Tawang,Lumla
India,Arunachal Pradesh,Tawang,Mukto
India,Arunachal Pradesh,Tawang,Tawang
India,Arunachal Pradesh,Tawang,Thingbu
India,Arunachal Pradesh,Tawang,Zemithang
India,Arunachal Pradesh,Tirap,Dadam
India,Arunachal Pradesh,Tirap,Kanubari
India,Arunachal Pradesh,Tirap,Khonsa
India,Arunachal Pradesh,Tirap,Laju
India,Arunachal Pradesh,Tirap,Lawnu
India,Arunachal Pradesh,Tirap,Longding
India,Arunachal Pradesh,Tirap,Namsang
India,Arunachal Pradesh,Tirap,Pangchao
India,Arunachal Pradesh,Tirap,Pumao
India,Arunachal Pradesh,Tirap,Soha
India,Arunachal Pradesh,Tirap,Wakka
India,Arunachal Pradesh,Upper Siang,Geku
India,Arunachal Pradesh,Upper Siang,Gelling
India,Arunachal Pradesh,Upper Siang,Jengging
India,Arunachal Pradesh,Upper Siang,Katan
India,Arunachal Pradesh,Upper Siang,Mariyang
India,Arunachal Pradesh,Upper Siang,Migging
India,Arunachal Pradesh,Upper Siang,Mopom ( Adipasi )
India,Arunachal Pradesh,Upper Siang,Palling
India,Arunachal Pradesh,Upper Siang,Singa
India,Arunachal Pradesh,Upper Siang,Tuting
India,Arunachal Pradesh,Upper Siang,Yingkiong
India,Arunachal Pradesh,Upper Subansiri,Baririjo
India,Arunachal Pradesh,Upper Subansiri,Chetam (Peer Yapu)
India,Arunachal Pradesh,Upper Subansiri,Daporijo
India,Arunachal Pradesh,Upper Subansiri,Dumporijo
India,Arunachal Pradesh,Upper Subansiri,Giba
India,Arunachal Pradesh,Upper Subansiri,Gite-Ripa
