"ID","SID","city","state"
0,36,"Nicobar","Andaman and Nicobar Islands"
1,36,"North and Middle Andaman","Andaman and Nicobar Islands"
2,36,,"Andaman and Nicobar Islands"
3,6,"Kurnool","Andhra Pradesh"
4,6,"Srikakulam","Andhra Pradesh"
5,6,"East Godavari","Andhra Pradesh"
6,6,"Vishakhapatnam","Andhra Pradesh"
7,6,"Anantapuram","Andhra Pradesh"
8,6,"Guntur","Andhra Pradesh"
9,6,"Kurnool","Andhra Pradesh"
10,6,"Guntur","Andhra Pradesh"
11,6,"Prakasam","Andhra Pradesh"
12,6,"Kurnool","Andhra Pradesh"
13,6,"Khammam","Telangana"
15,6,"Vishakhapatnam","Andhra Pradesh"
16,6,"West Godavari","Andhra Pradesh"
18,6,"Vizianagaram","Andhra Pradesh"
19,6,"Nizamabad","Andhra Pradesh"
20,6,"Kurnool","Andhra Pradesh"
21,6,"Guntur","Andhra Pradesh"
22,6,"Prakasam","Andhra Pradesh"
23,6,"Chittoor","Andhra Pradesh"
24,6,"Kadapa","Andhra Pradesh"
25,6,"Chittoor","Andhra Pradesh"
26,6,"Anantapuram","Andhra Pradesh"
27,6,"West Godavari","Andhra Pradesh"
28,6,"Mahabubnagar","Telangana"
29,6,"Mahabubnagar","Telangana"
30,6,"Anantapuram","Andhra Pradesh"
31,6,"Krishna","Andhra Pradesh"
32,6,"Nellore","Andhra Pradesh"
33,6,"Anantapuram","Andhra Pradesh"
34,6,"Guntur","Andhra Pradesh"
35,6,"Krishna","Andhra Pradesh"
36,6,"Anantapuram","Andhra Pradesh"
37,6,"Srikakulam","Andhra Pradesh"
38,6,"Krishna","Andhra Pradesh"
39,6,"Karimnagar","Telangana"
40,6,"Kadapa","Andhra Pradesh"
41,6,"Adilabad","Andhra Pradesh"
42,6,"Kadapa","Andhra Pradesh"
43,6,"Anantapuram","Andhra Pradesh"
44,6,"Adilabad","Telangana"
45,6,"East Godavari","Andhra Pradesh"
46,6,"Anantapuram","Andhra Pradesh"
48,6,"Prakasam","Andhra Pradesh"
49,6,"Nellore","Andhra Pradesh"
50,6,"Nalgonda","Telangana"
52,6,"West Godavari","Andhra Pradesh"
53,6,"East Godavari","Andhra Pradesh"
54,6,"West Godavari","Andhra Pradesh"
55,6,"Kurnool","Andhra Pradesh"
56,6,"Chittoor","Andhra Pradesh"
57,6,"Guntur","Andhra Pradesh"
58,6,"Krishna","Andhra Pradesh"
59,6,"Chittoor","Andhra Pradesh"
60,6,"Adilabad","Telangana"
62,6,"East Godavari","Andhra Pradesh"
63,6,"Guntur","Andhra Pradesh"
64,6,"Khammam","Telangana"
65,6,"Prakasam","Andhra Pradesh"
66,6,"Nalgonda","Telangana"
67,6,"West Godavari","Andhra Pradesh"
68,6,"Chittoor","Andhra Pradesh"
69,6,"Mahabubnagar","Telangana"
70,6,"Kurnool","Andhra Pradesh"
71,6,"West Godavari","Andhra Pradesh"
72,6,"Guntur","Andhra Pradesh"
73,6,"Mahabubnagar","Andhra Pradesh"
74,6,"Vishakhapatnam","Andhra Pradesh"
75,6,"Nellore","Andhra Pradesh"
76,6,"West Godavari","Andhra Pradesh"
77,6,"Krishna","Andhra Pradesh"
78,6,"Krishna","Andhra Pradesh"
79,6,"Prakasam","Andhra Pradesh"
80,6,"West Godavari","Andhra Pradesh"
81,6,"Srikakulam","Andhra Pradesh"
82,6,"Khammam","Telangana"
83,6,"Vizianagaram","Andhra Pradesh"
84,6,"Krishna","Andhra Pradesh"
85,6,"East Godavari","Andhra Pradesh"
86,6,"East Godavari","Andhra Pradesh"
87,6,"Prakasam","Andhra Pradesh"
88,6,"Guntur","Andhra Pradesh"
89,6,"Kadapa","Andhra Pradesh"
90,6,"Chittoor","Andhra Pradesh"
91,6,"Chittoor","Andhra Pradesh"
92,6,"East Godavari","Andhra Pradesh"
93,6,"Krishna","Andhra Pradesh"
94,6,"Prakasam","Andhra Pradesh"
95,6,"Nellore","Andhra Pradesh"
96,6,"Srikakulam","Andhra Pradesh"
97,6,"Vishakhapatnam","Andhra Pradesh"
98,6,"Vizianagaram","Andhra Pradesh"
99,6,"West Godavari","Andhra Pradesh"
100,6,"Kadapa","Andhra Pradesh"
101,17,"Dibang Valley",
102,17,"East Kameng",
103,17,"East Siang","Arunachal Pradesh"
105,17,"Lohit","Arunachal Pradesh"
106,17,"Lower Dibang Valley","Arunachal Pradesh"
107,17,"Lower Subansiri",
108,17,"Papum Pare",
109,17,"Tawang",
110,17,"Tirap","Arunachal Pradesh"
111,17,"Upper Siang",
112,17,"Upper Subansiri",
113,17,"West Kameng",
114,17,"West Siang",
115,1,"Cachar","Assam"
116,1,"Darrang","Assam"
117,1,"Dhemaji","Assam"
118,1,"Dima Hasao","Assam"
119,1,"Kamrup","Assam"
120,1,"Karbi Anglong","Assam"
121,1,"Lakhimpur","Assam"
122,1,"Sivasagar","Assam"
123,1,"Sonitpur","Assam"
124,1,"Tinsukia","Assam"
125,1,"Bongaigaon","Assam"
126,1,"Sonitpur","Assam"
127,1,"Dhubri","Assam"
128,1,"Barpeta","Assam"
129,1,"Barpeta","Assam"
130,1,"Dhubri","Assam"
131,1,"Bongaigaon","Assam"
132,1,"Sonitpur","Assam"
133,1,"Dhubri","Assam"
134,1,"Dibrugarh","Assam"
135,1,"Tinsukia","Assam"
136,1,"Karbi Anglong","Assam"
137,1,"Kamrup","Assam"
138,1,"Dibrugarh","Assam"
139,1,"Dhubri","Assam"
140,1,"Goalpara","Assam"
141,1,,"Assam"
142,1,"Kamrup","Assam"
143,1,"Dima Hasao","Assam"
144,1,"Hailakandi","Assam"
145,1,"Nagaon","Assam"
146,1,"Jorhat","Assam"
147,1,"Karimganj","Assam"
148,1,"Kokrajhar","Assam"
149,1,"Nagaon","Assam"
150,1,"Nagaon","Assam"
151,1,"Darrang","Assam"
152,1,"Dhubri","Assam"
153,1,"Tinsukia","Assam"
154,1,"Jorhat","Assam"
155,1,"Morigaon","Assam"
156,1,"Nagaon","Assam"
157,1,"Nalbari","Assam"
158,1,"Lakhimpur","Assam"
159,18,"Banka","Bihar"
160,18,"Araria","Bihar"
161,18,"Purvi Champaran","Bihar"
162,18,"Bhojpur","Bihar"
163,18,"Bhojpur","Bihar"
164,18,"Munger","Bihar"
165,18,"Aurangabad","Bihar"
166,18,"Gaya","Bihar"
167,18,"Kishanganj","Bihar"
168,18,"Sitamarhi","Bihar"
169,18,"Saharsa","Bihar"
170,18,"Banka","Bihar"
171,18,"Purnia","Bihar"
172,18,"Lakhisarai","Bihar"
173,18,"Gopalganj","Bihar"
174,18,"Sheikhpura","Bihar"
175,18,"Patna","Bihar"
176,18,"Begusarai","Bihar"
177,18,"Bhojpur","Bihar"
178,18,"Pashchim Champaran","Bihar"
179,18,"Kaimur","Bihar"
180,18,"Bhagalpur","Bihar"
181,18,"Bhojpur","Bihar"
182,18,"Nalanda","Bihar"
183,18,"Rohtas","Bihar"
184,18,"Gaya","Bihar"
185,18,"Buxar","Bihar"
186,18,"Purvi Champaran","Bihar"
187,18,"Pashchim Champaran","Bihar"
188,18,"Saran","Bihar"
189,18,"Bhagalpur","Bihar"
190,18,"Samastipur","Bihar"
191,18,"Darbhanga","Bihar"
192,18,"Aurangabad","Bihar"
193,18,"Rohtas","Bihar"
194,18,"Saran","Bihar"
195,18,"Buxar","Bihar"
196,18,"Purvi Champaran","Bihar"
197,18,"Patna","Bihar"
198,18,"Araria","Bihar"
199,18,"Gaya","Bihar"
200,18,"Khagaria","Bihar"
201,18,"Gopalganj","Bihar"
202,18,"Katihar","Bihar"
203,18,"Nalanda","Bihar"
204,18,"Nawada","Bihar"
205,18,"Nalanda","Bihar"
206,18,"Bhojpur","Bihar"
207,18,"Munger","Bihar"
208,18,"Jamui","Bihar"
209,18,"Jehanabad","Bihar"
210,18,"Jamui","Bihar"
211,18,"Madhubani","Bihar"
212,18,"Araria","Bihar"
213,18,"Kaimur","Bihar"
214,18,"Muzaffarpur","Bihar"
215,18,"Katihar","Bihar"
216,18,"Khagaria","Bihar"
217,18,"Munger","Bihar"
218,18,"Kishanganj","Bihar"
219,18,"Lakhisarai","Bihar"
220,18,"Vaishali","Bihar"
