"ID","SID","city"
1,1,"Nicobar"
2,1,"North and Middle Andaman"
3,1,"South Andaman"
4,2,"Kurnool"
5,2,"Srikakulam"
6,2,"East Godavari"
7,2,"Vishakhapatnam"
8,2,"Anantapuram"
9,2,"Guntur"
10,2,"Prakasam"
11,31,"Khammam"
12,2,"West Godavari"
13,2,"Vizianagaram"
14,2,"Nizamabad"
15,2,"Chittoor"
16,2,"Kadapa"
17,31,"Mahabubnagar"
18,2,"Krishna"
19,2,"Nellore"
20,31,"Karimnagar"
21,2,"Adilabad"
22,31,"Adilabad"
23,31,"Nalgonda"
24,2,"Mahabubnagar"
25,3,"East Siang"
26,3,"Lohit"
27,3,"Lower Dibang Valley"
28,3,"Tirap"
29,4,"Cachar"
30,4,"Darrang"
31,4,"Dhemaji"
32,4,"Dima Hasao"
33,4,"Kamrup"
34,4,"Karbi Anglong"
35,4,"Lakhimpur"
36,4,"Sivasagar"
37,4,"Sonitpur"
38,4,"Tinsukia"
39,4,"Bongaigaon"
40,4,"Dhubri"
41,4,"Barpeta"
42,4,"Dibrugarh"
43,4,"Goalpara"
44,4,"Golaghat"
45,4,"Hailakandi"
46,4,"Nagaon"
47,4,"Jorhat"
48,4,"Karimganj"
49,4,"Kokrajhar"
50,4,"Morigaon"
51,4,"Nalbari"
52,5,"Banka"
53,5,"Araria"
54,5,"Purvi Champaran"
55,5,"Bhojpur"
56,5,"Munger"
57,5,"Aurangabad"
58,5,"Gaya"
59,5,"Kishanganj"
60,5,"Sitamarhi"
61,5,"Saharsa"
62,5,"Purnia"
63,5,"Lakhisarai"
64,5,"Gopalganj"
65,5,"Sheikhpura"
66,5,"Patna"
67,5,"Begusarai"
68,5,"Pashchim Champaran"
69,5,"Kaimur"
70,5,"Bhagalpur"
71,5,"Nalanda"
72,5,"Rohtas"
73,5,"Buxar"
74,5,"Saran"
75,5,"Samastipur"
76,5,"Darbhanga"
77,5,"Khagaria"
78,5,"Katihar"
79,5,"Nawada"
80,5,"Jamui"
81,5,"Jehanabad"
82,5,"Madhubani"
83,5,"Muzaffarpur"
84,5,"Vaishali"
85,5,"Madhepura"
86,5,"Siwan"
87,5,"Sheohar"
88,5,"Supaul"
89,6,"Chandigarh"
90,7,"Durg"
91,7,"Janjgir-Champa"
92,7,"Rajnandgaon"
93,7,"Surguja"
94,7,"Raipur"
95,7,"Dantewada"
96,7,"Bastar"
97,7,"Mahasamund"
98,7,"Bilaspur"
99,7,"Koriya"
100,7,"Dhamtari"
101,7,"Korba"
102,7,"Jashpur"
103,7,"Kawardha"
104,7,"Kanker"
105,7,"Kondagaon"
106,7,"Raigarh"
107,8,"Dadra and Nagar Haveli"
108,9,"Daman"
109,9,"Diu"
110,10,"Delhi"
111,11,"Aldona"
112,11,"Curchorem Cacora"
113,11,"Goa Velha"
114,11,"Madgaon"
115,11,"Mapusa"
116,11,"Margao"
117,11,"Marmagao"
118,11,"North Goa"
119,11,"Panaji"
120,11,"South Goa"
121,12,"Gandhinagar"
122,12,"Porbandar"
123,12,"Ahmedabad"
124,12,"Bhavnagar"
125,12,"Banaskantha"
126,12,"Mehsana"
127,12,"Amreli"
128,12,"Anand"
129,12,"Bharuch"
130,12,"Kutch"
131,12,"Jamnagar"
132,12,"Valsad"
133,12,"Dahod"
134,12,"Dang"
135,12,"Panchmahal"
136,12,"Sabarkatha"
137,12,"Junagadh"
138,12,"Kheda"
139,12,"Vadodara"
140,12,"Surendranagar"
141,12,"Aravalli"
142,12,"Morbi"
143,12,"Narmada"
144,12,"Navsari"
145,12,"Patan"
146,12,"Rajkot"
147,12,"Surat"
148,12,"Tapi"
149,13,"Ambala"
150,13,"Panipat"
151,13,"Karnal"
152,13,"Mahendragarh"
153,13,"Hisar"
154,13,"Jhajjar"
155,13,"Faridabad"
156,13,"Rewari"
157,13,"Bhiwani"
158,13,"Kaithal"
159,13,"Sirsa"
160,13,"Fatehabad"
161,13,"Sonepat"
162,13,"Gurgaon"
163,13,"Palwal"
164,13,"Yamuna Nagar"
165,13,"Jind"
166,13,"Panchkula"
167,13,"Kurukshetra"
168,13,"Rohtak"
169,14,"Bilaspur"
170,14,"Chamba"
171,14,"Hamirpur"
172,14,"Kangra"
173,14,"Kinnaur"
174,14,"Kullu"
175,14,"Lahaul And Spiti"
176,14,"Mandi"
177,14,"Shimla"
178,14,"Sirmaur"
179,14,"Solan"
180,14,"Una"
181,15,"Bokaro"
182,15,"Ranchi"
183,15,"Ramgarh"
184,15,"West Singhbhum"
185,15,"Seraikela Kharsawan"
186,15,"Chatra"
187,15,"Dhanbad"
188,15,"Palamu"
189,15,"Deoghar"
190,15,"Dumka"
191,15,"East Singhbhum"
192,15,"Garhwa"
193,15,"Giridih"
194,15,"Godda"
195,15,"Gumla"
196,15,"Hazaribagh"
197,15,"Jamtara"
198,15,"Koderma"
199,15,"Khunti"
200,15,"Latehar"
201,15,"Lohardaga"
202,15,"Bardhaman"
203,15,"Pakur"
204,15,"Sahibganj"
205,15,"Simdega"
206,16,"Dakshina Kannada"
207,16,"Gulbarga"
208,16,"Hassan"
209,16,"Uttara Kannada"
210,16,"Bangalore Urban"
211,16,"Dharwad"
212,16,"Belagavi"
213,16,"Bidar"
214,16,"Bagalkot"
215,16,"Bellary"
216,16,"Bijapur"
217,16,"Chamarajanagar"
218,16,"Chikballapur"
219,16,"Chikkamagaluru"
220,16,"Chitradurga"
221,16,"Davanagere"
222,16,"Gadag"
223,16,"Haveri"
224,16,"Udupi"
225,16,"Kodagu"
226,16,"Kolar"
227,16,"Koppal"
228,16,"Raichur"
229,16,"Ramanagara"
230,16,"Mandya"
231,16,"Tumkur"
232,16,"Mysuru"
233,16,"Shimoga"
234,16,"Yadgir"
235,17,"Pathanamthitta"
236,17,"Thrissur"
237,17,"Alappuzha"
238,17,"Kannur"
239,17,"Kozhikode"
240,17,"Thiruvananthapuram"
241,17,"Kottayam"
242,17,"Ernakulam"
243,17,"Palakkad"
244,17,"Idukki"
245,17,"Wayanad"
